ocr_id,document_id,survey_extracted,owner_extracted_confidence,survey_confidence,language_detected,verification_required
OCR-021642,DOC-021642,129,0.775,0.814,English,No
OCR-021643,DOC-021643,6355,0.933,0.876,Tamil,No
OCR-021644,DOC-021644,2056,0.757,0.821,Tamil-English,Yes
OCR-021645,DOC-021645,37,0.99,0.904,Tamil,No
OCR-021646,DOC-021646,4257,0.985,0.911,English,No
OCR-021647,DOC-021647,563,0.792,0.882,Tamil-English,No
OCR-021648,DOC-021648,6478,0.855,0.89,Tamil,No
OCR-021649,DOC-021649,8330,0.899,0.917,Tamil,No
OCR-021650,DOC-021650,1166,0.961,0.99,Tamil-English,No
OCR-021651,DOC-021651,4768,0.862,0.889,Tamil,No
OCR-021652,DOC-021652,7703,0.884,0.869,Tamil,No
OCR-021653,DOC-021653,9013,0.973,0.79,Tamil,No
OCR-021654,DOC-021654,7460,0.855,0.83,Tamil-English,Yes
OCR-021655,DOC-021655,2420,0.843,0.809,Tamil,No
OCR-021656,DOC-021656,1925,0.738,0.944,Tamil-English,No
OCR-021657,DOC-021657,6758,0.775,0.891,Tamil,No
OCR-021658,DOC-021658,5757,0.919,0.903,English,No
OCR-021659,DOC-021659,4596,0.776,0.99,Tamil,No
OCR-021660,DOC-021660,3954,0.974,0.964,Tamil,Yes
OCR-021661,DOC-021661,7178,0.971,0.977,Tamil,No
OCR-021662,DOC-021662,2022,0.869,0.731,Tamil,No
OCR-021663,DOC-021663,2026,0.99,0.869,Tamil,No
OCR-021664,DOC-021664,6166,0.941,0.99,Tamil,No
OCR-021665,DOC-021665,1354,0.889,0.938,Tamil,No
OCR-021666,DOC-021666,5267,0.85,0.96,Tamil,No
OCR-021667,DOC-021667,4815,0.99,0.959,Tamil,No
OCR-021668,DOC-021668,3291,0.943,0.863,Tamil-English,No
OCR-021669,DOC-021669,1418,0.99,0.874,Tamil,No
OCR-021670,DOC-021670,1882,0.99,0.911,Tamil,No
OCR-021671,DOC-021671,9095,0.821,0.943,Tamil,No
OCR-021672,DOC-021672,4646,0.899,0.857,English,No
OCR-021673,DOC-021673,1775,0.823,0.843,Tamil-English,No
OCR-021674,DOC-021674,2869,0.827,0.825,Tamil,Yes
OCR-021675,DOC-021675,4123,0.815,0.981,Tamil,No
OCR-021676,DOC-021676,3037,0.977,0.966,Tamil,No
OCR-021677,DOC-021677,7127,0.99,0.983,Tamil,No
OCR-021678,DOC-021678,8031,0.855,0.891,Tamil-English,No
OCR-021679,DOC-021679,6599,0.99,0.99,Tamil,No
OCR-021680,DOC-021680,5055,0.935,0.833,Tamil-English,No
OCR-021681,DOC-021681,7755,0.95,0.809,Tamil,No
OCR-021682,DOC-021682,5211,0.918,0.848,Tamil,No
OCR-021683,DOC-021683,860,0.896,0.94,English,No
OCR-021684,DOC-021684,5553,0.926,0.961,Tamil,No
OCR-021685,DOC-021685,9027,0.772,0.796,Tamil,No
OCR-021686,DOC-021686,3594,0.858,0.825,Tamil,No
OCR-021687,DOC-021687,3187,0.809,0.983,Tamil,No
OCR-021688,DOC-021688,2429,0.807,0.824,Tamil-English,No
OCR-021689,DOC-021689,6155,0.931,0.951,Tamil,No
OCR-021690,DOC-021690,7268,0.99,0.844,Tamil,No
OCR-021691,DOC-021691,3613,0.947,0.88,Tamil,No
OCR-021692,DOC-021692,1388,0.726,0.977,Tamil,No
OCR-021693,DOC-021693,9402,0.924,0.965,Tamil,No
OCR-021694,DOC-021694,398,0.864,0.99,Tamil,No
OCR-021695,DOC-021695,8406,0.935,0.99,Tamil-English,Yes
OCR-021696,DOC-021696,6899,0.99,0.928,Tamil,Yes
OCR-021697,DOC-021697,298,0.914,0.981,Tamil,No
OCR-021698,DOC-021698,5828,0.969,0.938,Tamil,No
OCR-021699,DOC-021699,4740,0.99,0.94,Tamil,No
OCR-021700,DOC-021700,2393,0.99,0.744,Tamil,Yes
OCR-021701,DOC-021701,1657,0.937,0.912,Tamil,No
OCR-021702,DOC-021702,4970,0.885,0.847,Tamil,No
OCR-021703,DOC-021703,1235,0.99,0.922,Tamil,No
OCR-021704,DOC-021704,2788,0.891,0.849,Tamil,No
OCR-021705,DOC-021705,1226,0.99,0.986,Tamil-English,No
OCR-021706,DOC-021706,4697,0.94,0.903,Tamil-English,No
OCR-021707,DOC-021707,2941,0.946,0.861,Tamil,No
OCR-021708,DOC-021708,7214,0.775,0.863,Tamil,No
OCR-021709,DOC-021709,4824,0.83,0.764,Tamil,No
OCR-021710,DOC-021710,8252,0.825,0.864,Tamil,No
OCR-021711,DOC-021711,7975,0.942,0.974,Tamil,No
OCR-021712,DOC-021712,3991,0.958,0.99,Tamil,Yes
OCR-021713,DOC-021713,9257,0.861,0.871,Tamil,Yes
OCR-021714,DOC-021714,9272,0.929,0.99,Tamil,Yes
OCR-021715,DOC-021715,5012,0.878,0.931,Tamil-English,No
OCR-021716,DOC-021716,5203,0.863,0.977,English,No
OCR-021717,DOC-021717,7840,0.865,0.87,Tamil,No
OCR-021718,DOC-021718,6177,0.851,0.883,Tamil,Yes
OCR-021719,DOC-021719,8118,0.808,0.879,Tamil,No
OCR-021720,DOC-021720,1231,0.804,0.954,Tamil,No
OCR-021721,DOC-021721,3671,0.934,0.895,Tamil,No
OCR-021722,DOC-021722,7424,0.716,0.975,Tamil,No
OCR-021723,DOC-021723,3651,0.979,0.826,Tamil-English,No
OCR-021724,DOC-021724,6788,0.721,0.99,English,No
OCR-021725,DOC-021725,932,0.906,0.936,English,No
OCR-021726,DOC-021726,6337,0.84,0.87,Tamil,No
OCR-021727,DOC-021727,3448,0.821,0.99,Tamil,No
OCR-021728,DOC-021728,3185,0.898,0.99,Tamil,No
OCR-021729,DOC-021729,3696,0.789,0.806,Tamil,No
OCR-021730,DOC-021730,7947,0.984,0.898,Tamil,No
OCR-021731,DOC-021731,6170,0.81,0.885,Tamil,No
OCR-021732,DOC-021732,1186,0.828,0.806,Tamil-English,No
OCR-021733,DOC-021733,2510,0.875,0.895,Tamil,No
OCR-021734,DOC-021734,3763,0.971,0.878,Tamil,No
OCR-021735,DOC-021735,343,0.847,0.918,Tamil,No
OCR-021736,DOC-021736,2653,0.905,0.929,Tamil-English,Yes
OCR-021737,DOC-021737,8587,0.962,0.893,Tamil-English,No
OCR-021738,DOC-021738,5604,0.948,0.935,Tamil-English,No
OCR-021739,DOC-021739,5178,0.775,0.99,Tamil,Yes
OCR-021740,DOC-021740,3473,0.779,0.902,Tamil,No
OCR-021741,DOC-021741,6241,0.867,0.737,Tamil,No
OCR-021742,DOC-021742,3115,0.951,0.824,Tamil,No
OCR-021743,DOC-021743,3982,0.83,0.859,Tamil,Yes
OCR-021744,DOC-021744,5328,0.982,0.848,Tamil-English,No
OCR-021745,DOC-021745,3564,0.779,0.708,Tamil,No
OCR-021746,DOC-021746,3921,0.76,0.729,Tamil,No
OCR-021747,DOC-021747,284,0.871,0.872,Tamil-English,No
OCR-021748,DOC-021748,7446,0.859,0.897,Tamil-English,No
OCR-021749,DOC-021749,9347,0.99,0.972,Tamil,No
OCR-021750,DOC-021750,8135,0.933,0.819,Tamil-English,No
OCR-021751,DOC-021751,8874,0.846,0.9,Tamil,No
OCR-021752,DOC-021752,1743,0.809,0.916,Tamil,No
OCR-021753,DOC-021753,2618,0.884,0.913,Tamil,No
OCR-021754,DOC-021754,2915,0.831,0.99,Tamil,No
OCR-021755,DOC-021755,1886,0.983,0.925,Tamil,No
OCR-021756,DOC-021756,3613,0.99,0.818,Tamil,No
OCR-021757,DOC-021757,4941,0.963,0.858,Tamil-English,No
OCR-021758,DOC-021758,6417,0.872,0.743,Tamil,Yes
OCR-021759,DOC-021759,3515,0.877,0.949,Tamil,No
OCR-021760,DOC-021760,3784,0.911,0.783,English,Yes
OCR-021761,DOC-021761,1819,0.882,0.91,Tamil,No
OCR-021762,DOC-021762,4747,0.99,0.949,Tamil-English,No
OCR-021763,DOC-021763,416,0.779,0.859,Tamil,No
OCR-021764,DOC-021764,5261,0.959,0.84,Tamil,No
OCR-021765,DOC-021765,1378,0.959,0.781,Tamil,No
OCR-021766,DOC-021766,7709,0.971,0.9,Tamil,No
OCR-021767,DOC-021767,3291,0.918,0.99,Tamil,No
OCR-021768,DOC-021768,7029,0.87,0.85,Tamil,No
OCR-021769,DOC-021769,8203,0.871,0.853,Tamil,No
OCR-021770,DOC-021770,761,0.96,0.924,Tamil,No
OCR-021771,DOC-021771,5361,0.912,0.906,Tamil,No
OCR-021772,DOC-021772,6044,0.858,0.857,Tamil,Yes
OCR-021773,DOC-021773,2312,0.902,0.99,Tamil,No
OCR-021774,DOC-021774,8426,0.872,0.763,English,No
OCR-021775,DOC-021775,1485,0.9,0.898,Tamil,No
OCR-021776,DOC-021776,1624,0.749,0.901,Tamil,No
OCR-021777,DOC-021777,3690,0.855,0.751,Tamil,Yes
OCR-021778,DOC-021778,1860,0.862,0.847,Tamil,No
OCR-021779,DOC-021779,1040,0.821,0.908,Tamil-English,Yes
OCR-021780,DOC-021780,2534,0.783,0.95,Tamil,No
OCR-021781,DOC-021781,9455,0.897,0.99,English,No
OCR-021782,DOC-021782,4106,0.753,0.913,Tamil,Yes
OCR-021783,DOC-021783,4025,0.99,0.787,Tamil,No
OCR-021784,DOC-021784,5064,0.968,0.945,Tamil,Yes
OCR-021785,DOC-021785,1401,0.979,0.964,Tamil,Yes
OCR-021786,DOC-021786,4297,0.98,0.951,Tamil,Yes
OCR-021787,DOC-021787,5649,0.94,0.9,English,No
OCR-021788,DOC-021788,7293,0.954,0.881,Tamil,No
OCR-021789,DOC-021789,3096,0.855,0.802,Tamil-English,No
OCR-021790,DOC-021790,6328,0.779,0.816,Tamil-English,No
OCR-021791,DOC-021791,5184,0.807,0.954,Tamil-English,No
OCR-021792,DOC-021792,8683,0.975,0.802,Tamil,No
OCR-021793,DOC-021793,6270,0.859,0.889,English,No
OCR-021794,DOC-021794,6928,0.877,0.906,Tamil,No
OCR-021795,DOC-021795,1147,0.924,0.878,Tamil,No
OCR-021796,DOC-021796,6752,0.833,0.958,Tamil-English,No
OCR-021797,DOC-021797,1599,0.778,0.99,Tamil,No
OCR-021798,DOC-021798,2695,0.99,0.86,English,No
OCR-021799,DOC-021799,2113,0.934,0.981,Tamil-English,No
OCR-021800,DOC-021800,8212,0.764,0.941,Tamil,No
OCR-021801,DOC-021801,9393,0.88,0.833,Tamil,No
OCR-021802,DOC-021802,496,0.893,0.965,Tamil,No
OCR-021803,DOC-021803,4135,0.857,0.957,Tamil-English,No
OCR-021804,DOC-021804,4822,0.874,0.896,Tamil,Yes
OCR-021805,DOC-021805,2960,0.79,0.882,English,No
OCR-021806,DOC-021806,8082,0.934,0.976,Tamil,No
OCR-021807,DOC-021807,7798,0.915,0.928,Tamil,No
OCR-021808,DOC-021808,539,0.896,0.99,Tamil,Yes
OCR-021809,DOC-021809,7965,0.963,0.99,Tamil,No
OCR-021810,DOC-021810,3465,0.905,0.93,Tamil,No
OCR-021811,DOC-021811,5147,0.937,0.938,English,No
OCR-021812,DOC-021812,3883,0.896,0.9,Tamil,No
OCR-021813,DOC-021813,4854,0.911,0.764,Tamil,No
OCR-021814,DOC-021814,8231,0.889,0.797,Tamil-English,No
OCR-021815,DOC-021815,8484,0.743,0.951,English,No
OCR-021816,DOC-021816,4621,0.92,0.99,Tamil,No
OCR-021817,DOC-021817,4106,0.904,0.818,Tamil,No
OCR-021818,DOC-021818,8051,0.748,0.746,Tamil,No
OCR-021819,DOC-021819,1019,0.981,0.952,Tamil,No
OCR-021820,DOC-021820,8585,0.789,0.958,Tamil,No
OCR-021821,DOC-021821,1816,0.862,0.99,Tamil,No
OCR-021822,DOC-021822,8529,0.99,0.865,Tamil-English,No
OCR-021823,DOC-021823,5005,0.805,0.99,Tamil,No
OCR-021824,DOC-021824,6166,0.882,0.949,English,No
OCR-021825,DOC-021825,7021,0.868,0.89,Tamil,No
OCR-021826,DOC-021826,942,0.814,0.93,Tamil,No
OCR-021827,DOC-021827,2427,0.883,0.922,Tamil,No
OCR-021828,DOC-021828,1549,0.782,0.874,Tamil,No
OCR-021829,DOC-021829,3059,0.93,0.911,Tamil,No
OCR-021830,DOC-021830,5503,0.931,0.954,Tamil,No
OCR-021831,DOC-021831,347,0.941,0.793,English,No
OCR-021832,DOC-021832,8689,0.912,0.887,Tamil,Yes
OCR-021833,DOC-021833,162,0.87,0.917,Tamil,No
OCR-021834,DOC-021834,7691,0.975,0.816,Tamil,No
OCR-021835,DOC-021835,1885,0.99,0.99,English,No
OCR-021836,DOC-021836,8301,0.815,0.708,Tamil,No
OCR-021837,DOC-021837,3783,0.892,0.883,Tamil,No
OCR-021838,DOC-021838,1157,0.866,0.793,English,Yes
OCR-021839,DOC-021839,2107,0.956,0.875,Tamil,Yes
OCR-021840,DOC-021840,1674,0.898,0.909,Tamil,No
OCR-021841,DOC-021841,2046,0.904,0.838,Tamil-English,Yes
OCR-021842,DOC-021842,3310,0.796,0.812,Tamil,No
OCR-021843,DOC-021843,1477,0.877,0.944,Tamil,No
OCR-021844,DOC-021844,8273,0.879,0.98,Tamil-English,No
OCR-021845,DOC-021845,6522,0.835,0.794,Tamil-English,Yes
OCR-021846,DOC-021846,7215,0.896,0.842,Tamil,No
OCR-021847,DOC-021847,2790,0.889,0.915,English,No
OCR-021848,DOC-021848,199,0.975,0.99,Tamil,No
OCR-021849,DOC-021849,6262,0.934,0.816,English,No
OCR-021850,DOC-021850,4584,0.831,0.836,Tamil,Yes
OCR-021851,DOC-021851,380,0.813,0.927,Tamil-English,No
OCR-021852,DOC-021852,5036,0.823,0.99,Tamil,No
OCR-021853,DOC-021853,1405,0.938,0.975,Tamil-English,No
OCR-021854,DOC-021854,2284,0.949,0.866,English,No
OCR-021855,DOC-021855,943,0.9,0.869,Tamil,No
OCR-021856,DOC-021856,302,0.884,0.979,English,No
OCR-021857,DOC-021857,1245,0.859,0.853,Tamil-English,No
OCR-021858,DOC-021858,7727,0.795,0.931,Tamil,No
OCR-021859,DOC-021859,7084,0.901,0.811,English,No
OCR-021860,DOC-021860,9030,0.848,0.913,Tamil,No
OCR-021861,DOC-021861,3674,0.842,0.84,English,No
OCR-021862,DOC-021862,4394,0.909,0.99,English,No
OCR-021863,DOC-021863,6191,0.872,0.846,Tamil-English,No
OCR-021864,DOC-021864,3217,0.99,0.99,Tamil,No
OCR-021865,DOC-021865,6001,0.99,0.896,Tamil,No
OCR-021866,DOC-021866,7265,0.714,0.916,Tamil-English,No
OCR-021867,DOC-021867,8027,0.99,0.839,Tamil-English,No
OCR-021868,DOC-021868,5984,0.899,0.99,Tamil,No
OCR-021869,DOC-021869,2672,0.99,0.918,Tamil,No
OCR-021870,DOC-021870,7000,0.902,0.898,Tamil,No
OCR-021871,DOC-021871,7388,0.864,0.899,Tamil-English,No
OCR-021872,DOC-021872,8455,0.99,0.898,English,No
OCR-021873,DOC-021873,5702,0.78,0.912,Tamil,No
OCR-021874,DOC-021874,4423,0.836,0.932,Tamil-English,No
OCR-021875,DOC-021875,7529,0.941,0.77,English,No
OCR-021876,DOC-021876,3585,0.909,0.99,Tamil-English,No
OCR-021877,DOC-021877,7151,0.862,0.801,English,No
OCR-021878,DOC-021878,4659,0.858,0.813,Tamil,No
OCR-021879,DOC-021879,5333,0.72,0.811,Tamil-English,No
OCR-021880,DOC-021880,5485,0.834,0.825,Tamil-English,No
OCR-021881,DOC-021881,3534,0.838,0.98,Tamil,No
OCR-021882,DOC-021882,3825,0.848,0.956,English,No
OCR-021883,DOC-021883,8546,0.976,0.94,Tamil,No
OCR-021884,DOC-021884,2960,0.926,0.833,Tamil,No
OCR-021885,DOC-021885,2301,0.943,0.841,Tamil,No
OCR-021886,DOC-021886,7369,0.806,0.857,Tamil,Yes
OCR-021887,DOC-021887,2978,0.99,0.934,Tamil,No
OCR-021888,DOC-021888,1608,0.99,0.735,Tamil,No
OCR-021889,DOC-021889,6893,0.842,0.956,Tamil-English,No
OCR-021890,DOC-021890,7969,0.921,0.79,Tamil-English,No
OCR-021891,DOC-021891,6610,0.99,0.846,Tamil,No
OCR-021892,DOC-021892,3028,0.826,0.836,Tamil,No
OCR-021893,DOC-021893,9459,0.864,0.967,English,No
OCR-021894,DOC-021894,4619,0.82,0.99,Tamil,No
OCR-021895,DOC-021895,3841,0.851,0.915,Tamil-English,No
OCR-021896,DOC-021896,9142,0.852,0.941,Tamil,No
OCR-021897,DOC-021897,5273,0.87,0.868,Tamil-English,No
OCR-021898,DOC-021898,1250,0.925,0.829,Tamil,No
OCR-021899,DOC-021899,9102,0.82,0.832,Tamil-English,No
OCR-021900,DOC-021900,1368,0.99,0.915,Tamil,No
OCR-021901,DOC-021901,6618,0.879,0.812,Tamil,No
OCR-021902,DOC-021902,2047,0.793,0.779,Tamil,No
OCR-021903,DOC-021903,2688,0.99,0.746,Tamil,Yes
OCR-021904,DOC-021904,7320,0.892,0.852,Tamil,No
OCR-021905,DOC-021905,7474,0.888,0.853,English,No
OCR-021906,DOC-021906,3982,0.99,0.895,Tamil,No
OCR-021907,DOC-021907,8711,0.78,0.872,English,No
OCR-021908,DOC-021908,4188,0.821,0.897,Tamil-English,No
OCR-021909,DOC-021909,2689,0.794,0.99,English,Yes
OCR-021910,DOC-021910,8370,0.861,0.923,Tamil,No
OCR-021911,DOC-021911,8957,0.913,0.99,Tamil,Yes
OCR-021912,DOC-021912,2824,0.741,0.798,Tamil,Yes
OCR-021913,DOC-021913,9453,0.99,0.893,Tamil,No
OCR-021914,DOC-021914,1015,0.955,0.883,English,Yes
OCR-021915,DOC-021915,4333,0.99,0.852,Tamil,No
OCR-021916,DOC-021916,1418,0.873,0.873,Tamil,No
OCR-021917,DOC-021917,6266,0.919,0.896,Tamil,No
OCR-021918,DOC-021918,451,0.793,0.894,Tamil,No
OCR-021919,DOC-021919,8306,0.99,0.834,Tamil-English,No
OCR-021920,DOC-021920,3519,0.988,0.897,Tamil,No
OCR-021921,DOC-021921,7324,0.872,0.944,Tamil-English,No
OCR-021922,DOC-021922,7170,0.845,0.801,Tamil,No
OCR-021923,DOC-021923,7279,0.968,0.943,Tamil,No
OCR-021924,DOC-021924,6453,0.836,0.788,English,No
OCR-021925,DOC-021925,5174,0.972,0.801,Tamil,No
OCR-021926,DOC-021926,4279,0.918,0.937,Tamil,Yes
OCR-021927,DOC-021927,3670,0.92,0.894,Tamil,No
OCR-021928,DOC-021928,7348,0.887,0.936,Tamil-English,No
OCR-021929,DOC-021929,4931,0.8,0.793,Tamil,No
OCR-021930,DOC-021930,3500,0.889,0.934,Tamil,No
OCR-021931,DOC-021931,1518,0.844,0.99,Tamil,No
OCR-021932,DOC-021932,382,0.805,0.956,Tamil,No
OCR-021933,DOC-021933,1339,0.832,0.99,English,No
OCR-021934,DOC-021934,9138,0.99,0.852,Tamil,No
OCR-021935,DOC-021935,898,0.873,0.975,English,No
OCR-021936,DOC-021936,5282,0.947,0.911,Tamil,Yes
OCR-021937,DOC-021937,1718,0.974,0.965,Tamil,No
OCR-021938,DOC-021938,5936,0.869,0.889,Tamil-English,No
OCR-021939,DOC-021939,6762,0.783,0.99,Tamil,No
OCR-021940,DOC-021940,1360,0.922,0.904,Tamil,No
OCR-021941,DOC-021941,4521,0.99,0.784,Tamil-English,No
OCR-021942,DOC-021942,964,0.824,0.926,English,Yes
OCR-021943,DOC-021943,2380,0.782,0.99,English,No
OCR-021944,DOC-021944,742,0.805,0.917,Tamil-English,No
OCR-021945,DOC-021945,4292,0.866,0.99,Tamil,No
OCR-021946,DOC-021946,5637,0.981,0.952,Tamil,No
OCR-021947,DOC-021947,2630,0.926,0.832,Tamil,No
OCR-021948,DOC-021948,8923,0.779,0.941,Tamil,No
OCR-021949,DOC-021949,8756,0.99,0.848,Tamil,Yes
OCR-021950,DOC-021950,7886,0.835,0.87,Tamil,No
OCR-021951,DOC-021951,5332,0.99,0.831,Tamil,No
OCR-021952,DOC-021952,2615,0.89,0.743,Tamil,No
OCR-021953,DOC-021953,1713,0.971,0.795,Tamil,No
OCR-021954,DOC-021954,1184,0.824,0.951,Tamil,Yes
OCR-021955,DOC-021955,4566,0.919,0.913,Tamil-English,No
OCR-021956,DOC-021956,3582,0.695,0.831,Tamil,No
OCR-021957,DOC-021957,1535,0.822,0.792,Tamil,Yes
OCR-021958,DOC-021958,4652,0.863,0.807,English,No
OCR-021959,DOC-021959,2901,0.784,0.72,English,No
OCR-021960,DOC-021960,7059,0.913,0.863,Tamil,No
OCR-021961,DOC-021961,5023,0.816,0.922,English,Yes
OCR-021962,DOC-021962,9494,0.92,0.962,English,No
OCR-021963,DOC-021963,7431,0.802,0.903,Tamil,No
OCR-021964,DOC-021964,429,0.683,0.717,English,Yes
OCR-021965,DOC-021965,3239,0.909,0.867,Tamil,No
OCR-021966,DOC-021966,201,0.959,0.874,Tamil,No
OCR-021967,DOC-021967,2953,0.898,0.985,Tamil-English,No
OCR-021968,DOC-021968,1542,0.842,0.99,English,No
OCR-021969,DOC-021969,7413,0.857,0.79,Tamil,No
OCR-021970,DOC-021970,7783,0.847,0.862,Tamil,No
OCR-021971,DOC-021971,2772,0.874,0.797,Tamil,No
OCR-021972,DOC-021972,4554,0.759,0.899,Tamil,No
OCR-021973,DOC-021973,5698,0.859,0.855,Tamil,No
OCR-021974,DOC-021974,320,0.99,0.874,Tamil,No
OCR-021975,DOC-021975,6034,0.99,0.87,English,No
OCR-021976,DOC-021976,7746,0.99,0.838,Tamil,No
OCR-021977,DOC-021977,7673,0.77,0.873,Tamil,No
OCR-021978,DOC-021978,4309,0.969,0.811,Tamil,No
OCR-021979,DOC-021979,4965,0.931,0.891,Tamil,No
OCR-021980,DOC-021980,6400,0.849,0.99,Tamil,No
OCR-021981,DOC-021981,776,0.834,0.99,Tamil,Yes
OCR-021982,DOC-021982,2158,0.819,0.99,Tamil,Yes
OCR-021983,DOC-021983,3026,0.912,0.897,Tamil,Yes
OCR-021984,DOC-021984,8319,0.928,0.896,Tamil,No
OCR-021985,DOC-021985,5313,0.795,0.949,Tamil,Yes
OCR-021986,DOC-021986,5878,0.925,0.973,Tamil,No
OCR-021987,DOC-021987,2985,0.99,0.99,Tamil,No
OCR-021988,DOC-021988,757,0.99,0.814,Tamil-English,Yes
OCR-021989,DOC-021989,2880,0.99,0.99,Tamil,No
OCR-021990,DOC-021990,4287,0.776,0.848,Tamil,No
OCR-021991,DOC-021991,3343,0.827,0.937,Tamil-English,No
OCR-021992,DOC-021992,6106,0.976,0.924,Tamil,No
OCR-021993,DOC-021993,1935,0.84,0.911,Tamil,No
OCR-021994,DOC-021994,2629,0.805,0.768,English,Yes
OCR-021995,DOC-021995,6379,0.794,0.872,Tamil,No
OCR-021996,DOC-021996,5161,0.889,0.852,Tamil,Yes
OCR-021997,DOC-021997,5059,0.855,0.911,Tamil-English,No
OCR-021998,DOC-021998,9476,0.833,0.781,Tamil,No
OCR-021999,DOC-021999,5127,0.776,0.896,Tamil,Yes
OCR-022000,DOC-022000,4312,0.849,0.99,Tamil,No
OCR-022001,DOC-022001,9261,0.99,0.712,Tamil,No
OCR-022002,DOC-022002,8944,0.79,0.831,Tamil,No
OCR-022003,DOC-022003,2278,0.882,0.99,English,Yes
OCR-022004,DOC-022004,4863,0.774,0.936,Tamil-English,No
OCR-022005,DOC-022005,5398,0.96,0.887,Tamil,No
OCR-022006,DOC-022006,2033,0.866,0.91,Tamil,No
OCR-022007,DOC-022007,9498,0.856,0.99,Tamil,No
OCR-022008,DOC-022008,1088,0.814,0.852,Tamil,Yes
OCR-022009,DOC-022009,7973,0.854,0.841,Tamil,No
OCR-022010,DOC-022010,9354,0.796,0.99,Tamil,No
OCR-022011,DOC-022011,1267,0.99,0.99,Tamil,No
OCR-022012,DOC-022012,1227,0.845,0.934,English,Yes
OCR-022013,DOC-022013,8976,0.99,0.926,Tamil-English,No
OCR-022014,DOC-022014,2331,0.99,0.92,Tamil,No
OCR-022015,DOC-022015,546,0.91,0.777,Tamil,No
OCR-022016,DOC-022016,3442,0.787,0.855,Tamil-English,No
OCR-022017,DOC-022017,318,0.939,0.873,Tamil,No
OCR-022018,DOC-022018,4023,0.99,0.88,Tamil-English,No
OCR-022019,DOC-022019,9344,0.873,0.836,Tamil,No
OCR-022020,DOC-022020,2971,0.92,0.889,Tamil,Yes
OCR-022021,DOC-022021,9374,0.905,0.827,Tamil-English,No
OCR-022022,DOC-022022,4420,0.979,0.719,English,No
OCR-022023,DOC-022023,9299,0.91,0.939,Tamil,No
OCR-022024,DOC-022024,2929,0.852,0.954,Tamil,No
OCR-022025,DOC-022025,5202,0.99,0.88,Tamil,No
OCR-022026,DOC-022026,8743,0.945,0.974,English,No
OCR-022027,DOC-022027,664,0.99,0.967,Tamil,No
OCR-022028,DOC-022028,8980,0.847,0.957,Tamil,No
OCR-022029,DOC-022029,3658,0.753,0.904,Tamil,No
OCR-022030,DOC-022030,3110,0.778,0.99,Tamil,No
OCR-022031,DOC-022031,1687,0.982,0.782,Tamil,No
OCR-022032,DOC-022032,8948,0.909,0.99,Tamil-English,No
OCR-022033,DOC-022033,7076,0.906,0.72,Tamil,No
OCR-022034,DOC-022034,1473,0.862,0.988,Tamil,No
OCR-022035,DOC-022035,4118,0.99,0.781,Tamil,No
OCR-022036,DOC-022036,1335,0.851,0.908,English,No
OCR-022037,DOC-022037,8861,0.905,0.874,Tamil,No
OCR-022038,DOC-022038,738,0.885,0.979,Tamil,No
OCR-022039,DOC-022039,7280,0.989,0.99,Tamil,No
OCR-022040,DOC-022040,7678,0.933,0.833,Tamil-English,No
OCR-022041,DOC-022041,344,0.99,0.949,Tamil,No
OCR-022042,DOC-022042,4129,0.946,0.87,Tamil-English,No
OCR-022043,DOC-022043,6990,0.764,0.882,Tamil,No
OCR-022044,DOC-022044,7792,0.837,0.772,Tamil,No
OCR-022045,DOC-022045,3968,0.8,0.899,Tamil,No
OCR-022046,DOC-022046,5774,0.981,0.72,Tamil,No
OCR-022047,DOC-022047,4632,0.926,0.966,Tamil-English,No
OCR-022048,DOC-022048,9381,0.887,0.93,Tamil,No
OCR-022049,DOC-022049,5675,0.926,0.913,Tamil-English,No
OCR-022050,DOC-022050,9282,0.913,0.99,Tamil,No
OCR-022051,DOC-022051,7701,0.705,0.926,Tamil-English,No
OCR-022052,DOC-022052,8810,0.935,0.761,Tamil,No
OCR-022053,DOC-022053,213,0.843,0.99,Tamil,No
OCR-022054,DOC-022054,7662,0.851,0.935,Tamil,No
OCR-022055,DOC-022055,8919,0.754,0.858,Tamil,No
OCR-022056,DOC-022056,364,0.819,0.857,Tamil,No
OCR-022057,DOC-022057,6303,0.813,0.867,Tamil,No
OCR-022058,DOC-022058,5843,0.871,0.937,English,No
OCR-022059,DOC-022059,2337,0.893,0.94,Tamil,No
OCR-022060,DOC-022060,6328,0.818,0.907,Tamil,No
OCR-022061,DOC-022061,7954,0.855,0.792,Tamil,No
OCR-022062,DOC-022062,4112,0.949,0.89,Tamil,No
OCR-022063,DOC-022063,8281,0.865,0.872,English,No
OCR-022064,DOC-022064,3748,0.828,0.964,Tamil,No
OCR-022065,DOC-022065,2216,0.94,0.796,Tamil,No
OCR-022066,DOC-022066,4746,0.823,0.902,Tamil,No
OCR-022067,DOC-022067,16,0.918,0.865,Tamil,No
OCR-022068,DOC-022068,5231,0.834,0.817,Tamil,No
OCR-022069,DOC-022069,6497,0.99,0.79,Tamil-English,No
OCR-022070,DOC-022070,1061,0.917,0.948,Tamil,No
OCR-022071,DOC-022071,7956,0.91,0.831,Tamil,Yes
OCR-022072,DOC-022072,402,0.817,0.892,Tamil,No
OCR-022073,DOC-022073,2943,0.99,0.774,English,No
OCR-022074,DOC-022074,6333,0.94,0.889,Tamil-English,No
OCR-022075,DOC-022075,8231,0.868,0.867,Tamil,No
