risk_id,parcel_id,waterbody_distance_m,flood_risk,environmental_clearance
ENV-003428,PAR-003428,74.6,Medium,Approved
ENV-003429,PAR-003429,151.0,Medium,Approved
ENV-003430,PAR-003430,214.7,Low,Not Required
ENV-003431,PAR-003431,177.1,Low,Not Required
ENV-003432,PAR-003432,331.9,Medium,Not Required
ENV-003433,PAR-003433,90.2,Low,Not Required
ENV-003434,PAR-003434,199.2,Low,Not Required
ENV-003435,PAR-003435,549.0,Low,Not Required
ENV-003436,PAR-003436,416.4,Low,Not Required
ENV-003437,PAR-003437,331.8,Low,Not Required
ENV-003438,PAR-003438,104.7,Low,Not Required
ENV-003439,PAR-003439,139.7,Low,Approved
ENV-003440,PAR-003440,58.8,Low,Not Required
ENV-003441,PAR-003441,104.0,Low,Not Required
ENV-003442,PAR-003442,162.1,Low,Pending
ENV-003443,PAR-003443,250.7,Low,Not Required
ENV-003444,PAR-003444,304.1,Low,Not Required
ENV-003445,PAR-003445,431.4,Medium,Not Required
ENV-003446,PAR-003446,395.9,High,Not Required
ENV-003447,PAR-003447,71.6,Medium,Not Required
ENV-003448,PAR-003448,213.1,Medium,Not Required
ENV-003449,PAR-003449,327.5,Low,Pending
ENV-003450,PAR-003450,84.1,Low,Not Required
ENV-003451,PAR-003451,637.9,Low,Not Required
ENV-003452,PAR-003452,111.4,Low,Not Required
ENV-003453,PAR-003453,58.7,Low,Approved
ENV-003454,PAR-003454,110.6,High,Not Required
ENV-003455,PAR-003455,221.3,High,Not Required
ENV-003456,PAR-003456,345.9,Medium,Not Required
ENV-003457,PAR-003457,379.4,High,Not Required
ENV-003458,PAR-003458,181.4,Low,Approved
ENV-003459,PAR-003459,447.4,Low,Approved
ENV-003460,PAR-003460,87.3,Medium,Not Required
ENV-003461,PAR-003461,197.4,Low,Approved
ENV-003462,PAR-003462,535.4,Low,Approved
ENV-003463,PAR-003463,138.9,Low,Pending
ENV-003464,PAR-003464,46.8,Low,Approved
ENV-003465,PAR-003465,24.3,Low,Approved
ENV-003466,PAR-003466,16.4,Low,Not Required
ENV-003467,PAR-003467,107.6,Low,Not Required
ENV-003468,PAR-003468,44.7,Low,Pending
ENV-003469,PAR-003469,97.1,Low,Pending
ENV-003470,PAR-003470,131.7,Medium,Not Required
ENV-003471,PAR-003471,31.1,High,Not Required
ENV-003472,PAR-003472,77.2,Low,Not Required
ENV-003473,PAR-003473,78.4,Medium,Approved
ENV-003474,PAR-003474,544.5,Low,Not Required
ENV-003475,PAR-003475,165.6,Low,Approved
ENV-003476,PAR-003476,109.9,Low,Approved
ENV-003477,PAR-003477,583.9,Low,Not Required
ENV-003478,PAR-003478,58.2,Medium,Pending
ENV-003479,PAR-003479,615.2,Low,Approved
ENV-003480,PAR-003480,186.9,Low,Not Required
ENV-003481,PAR-003481,278.9,Low,Not Required
ENV-003482,PAR-003482,442.8,High,Approved
ENV-003483,PAR-003483,139.1,Low,Pending
ENV-003484,PAR-003484,82.0,Low,Approved
ENV-003485,PAR-003485,88.2,Low,Pending
ENV-003486,PAR-003486,459.2,Low,Pending
ENV-003487,PAR-003487,99.2,Medium,Not Required
ENV-003488,PAR-003488,346.1,Low,Pending
ENV-003489,PAR-003489,114.4,Low,Not Required
ENV-003490,PAR-003490,468.5,Low,Approved
ENV-003491,PAR-003491,390.1,Medium,Not Required
ENV-003492,PAR-003492,42.4,Low,Approved
ENV-003493,PAR-003493,512.9,Low,Pending
ENV-003494,PAR-003494,87.6,Low,Not Required
ENV-003495,PAR-003495,47.0,Medium,Not Required
ENV-003496,PAR-003496,117.8,Low,Pending
ENV-003497,PAR-003497,24.7,Low,Not Required
ENV-003498,PAR-003498,72.4,Low,Pending
ENV-003499,PAR-003499,163.1,Low,Not Required
ENV-003500,PAR-003500,393.2,Low,Not Required
ENV-003501,PAR-003501,68.1,High,Not Required
ENV-003502,PAR-003502,238.6,Low,Not Required
ENV-003503,PAR-003503,17.1,Medium,Not Required
ENV-003504,PAR-003504,83.9,Medium,Approved
ENV-003505,PAR-003505,84.3,Medium,Approved
ENV-003506,PAR-003506,36.0,Medium,Not Required
ENV-003507,PAR-003507,501.5,High,Not Required
ENV-003508,PAR-003508,42.6,Medium,Approved
ENV-003509,PAR-003509,419.3,Low,Not Required
ENV-003510,PAR-003510,382.7,Low,Not Required
ENV-003511,PAR-003511,121.4,High,Not Required
ENV-003512,PAR-003512,369.0,Low,Approved
ENV-003513,PAR-003513,554.3,Low,Approved
ENV-003514,PAR-003514,189.2,High,Not Required
ENV-003515,PAR-003515,208.5,Medium,Pending
ENV-003516,PAR-003516,104.3,Low,Pending
ENV-003517,PAR-003517,100.0,Low,Pending
ENV-003518,PAR-003518,1320.7,High,Not Required
ENV-003519,PAR-003519,77.0,Low,Not Required
ENV-003520,PAR-003520,388.8,Low,Approved
ENV-003521,PAR-003521,93.3,High,Not Required
ENV-003522,PAR-003522,85.6,High,Not Required
ENV-003523,PAR-003523,150.2,Low,Pending
ENV-003524,PAR-003524,24.7,Low,Not Required
ENV-003525,PAR-003525,630.2,High,Not Required
ENV-003526,PAR-003526,29.6,Low,Not Required
ENV-003527,PAR-003527,126.8,Low,Approved
ENV-003528,PAR-003528,54.8,Low,Not Required
ENV-003529,PAR-003529,53.7,Low,Approved
ENV-003530,PAR-003530,1651.3,Low,Not Required
ENV-003531,PAR-003531,63.3,High,Approved
ENV-003532,PAR-003532,106.6,Low,Not Required
ENV-003533,PAR-003533,180.3,High,Pending
ENV-003534,PAR-003534,165.2,Low,Approved
ENV-003535,PAR-003535,118.9,Medium,Not Required
ENV-003536,PAR-003536,153.6,Low,Not Required
ENV-003537,PAR-003537,128.4,Low,Pending
ENV-003538,PAR-003538,474.3,Low,Pending
ENV-003539,PAR-003539,12.9,Medium,Approved
ENV-003540,PAR-003540,530.3,Low,Not Required
ENV-003541,PAR-003541,34.6,Low,Not Required
ENV-003542,PAR-003542,326.5,High,Approved
ENV-003543,PAR-003543,91.7,Low,Not Required
ENV-003544,PAR-003544,510.8,Low,Not Required
ENV-003545,PAR-003545,395.0,Low,Pending
ENV-003546,PAR-003546,529.4,Medium,Not Required
ENV-003547,PAR-003547,94.7,High,Approved
ENV-003548,PAR-003548,2073.8,Low,Not Required
ENV-003549,PAR-003549,119.5,Medium,Not Required
ENV-003550,PAR-003550,242.5,Low,Approved
ENV-003551,PAR-003551,199.5,Low,Not Required
ENV-003552,PAR-003552,40.9,Low,Not Required
ENV-003553,PAR-003553,70.7,High,Not Required
ENV-003554,PAR-003554,66.1,Low,Approved
ENV-003555,PAR-003555,137.8,Medium,Not Required
ENV-003556,PAR-003556,229.5,Low,Approved
ENV-003557,PAR-003557,163.4,Low,Not Required
ENV-003558,PAR-003558,33.8,High,Not Required
ENV-003559,PAR-003559,163.6,Low,Not Required
ENV-003560,PAR-003560,508.7,Low,Pending
ENV-003561,PAR-003561,75.0,Low,Approved
ENV-003562,PAR-003562,59.3,Low,Approved
ENV-003563,PAR-003563,110.3,Low,Pending
ENV-003564,PAR-003564,68.7,High,Pending
ENV-003565,PAR-003565,21.6,Low,Not Required
ENV-003566,PAR-003566,868.2,Low,Not Required
ENV-003567,PAR-003567,67.6,Low,Not Required
ENV-003568,PAR-003568,65.3,High,Approved
ENV-003569,PAR-003569,197.9,Medium,Approved
ENV-003570,PAR-003570,632.1,Low,Approved
ENV-003571,PAR-003571,273.3,Low,Approved
ENV-003572,PAR-003572,81.0,Low,Approved
ENV-003573,PAR-003573,28.1,Low,Approved
ENV-003574,PAR-003574,44.5,Low,Not Required
ENV-003575,PAR-003575,201.0,Low,Approved
ENV-003576,PAR-003576,128.6,Low,Not Required
ENV-003577,PAR-003577,25.8,Low,Pending
ENV-003578,PAR-003578,124.1,Low,Not Required
ENV-003579,PAR-003579,253.9,Low,Pending
ENV-003580,PAR-003580,959.9,Medium,Approved
ENV-003581,PAR-003581,56.4,Low,Not Required
ENV-003582,PAR-003582,67.3,Low,Pending
ENV-003583,PAR-003583,160.4,Low,Not Required
ENV-003584,PAR-003584,44.0,Low,Approved
ENV-003585,PAR-003585,45.2,Low,Not Required
ENV-003586,PAR-003586,152.1,Medium,Not Required
ENV-003587,PAR-003587,501.7,Low,Not Required
ENV-003588,PAR-003588,166.1,Low,Not Required
ENV-003589,PAR-003589,524.7,Medium,Pending
ENV-003590,PAR-003590,1034.4,Low,Not Required
ENV-003591,PAR-003591,386.6,Low,Not Required
ENV-003592,PAR-003592,60.1,Low,Not Required
ENV-003593,PAR-003593,64.4,Low,Not Required
ENV-003594,PAR-003594,87.4,High,Pending
ENV-003595,PAR-003595,233.1,High,Pending
ENV-003596,PAR-003596,250.4,Low,Not Required
ENV-003597,PAR-003597,466.4,Medium,Approved
ENV-003598,PAR-003598,115.1,Low,Not Required
ENV-003599,PAR-003599,53.9,High,Pending
ENV-003600,PAR-003600,132.0,Low,Approved
ENV-003601,PAR-003601,53.6,Medium,Approved
ENV-003602,PAR-003602,116.0,Low,Approved
ENV-003603,PAR-003603,894.5,Medium,Approved
ENV-003604,PAR-003604,612.3,Low,Not Required
ENV-003605,PAR-003605,33.4,Low,Not Required
ENV-003606,PAR-003606,190.4,Low,Approved
ENV-003607,PAR-003607,290.4,Low,Pending
ENV-003608,PAR-003608,156.6,Low,Not Required
ENV-003609,PAR-003609,77.0,Low,Pending
ENV-003610,PAR-003610,119.9,Low,Approved
ENV-003611,PAR-003611,217.5,Low,Approved
ENV-003612,PAR-003612,204.2,Low,Not Required
ENV-003613,PAR-003613,963.4,Low,Not Required
ENV-003614,PAR-003614,2716.3,Low,Not Required
ENV-003615,PAR-003615,1270.6,Low,Not Required
ENV-003616,PAR-003616,137.9,Low,Pending
ENV-003617,PAR-003617,110.8,Low,Approved
ENV-003618,PAR-003618,141.3,Low,Approved
ENV-003619,PAR-003619,49.3,Low,Pending
ENV-003620,PAR-003620,24.8,Medium,Approved
ENV-003621,PAR-003621,48.1,Low,Not Required
ENV-003622,PAR-003622,554.9,Low,Pending
ENV-003623,PAR-003623,143.4,Low,Pending
ENV-003624,PAR-003624,73.0,Low,Pending
ENV-003625,PAR-003625,755.7,Low,Not Required
ENV-003626,PAR-003626,202.3,Medium,Not Required
ENV-003627,PAR-003627,41.0,High,Not Required
ENV-003628,PAR-003628,541.4,High,Approved
ENV-003629,PAR-003629,183.5,Medium,Not Required
ENV-003630,PAR-003630,125.7,Medium,Pending
ENV-003631,PAR-003631,1030.9,Medium,Not Required
ENV-003632,PAR-003632,172.3,Low,Approved
ENV-003633,PAR-003633,196.7,Low,Not Required
ENV-003634,PAR-003634,62.4,Low,Not Required
ENV-003635,PAR-003635,362.9,High,Approved
ENV-003636,PAR-003636,1055.5,Low,Approved
ENV-003637,PAR-003637,104.6,Medium,Approved
ENV-003638,PAR-003638,40.5,Medium,Not Required
ENV-003639,PAR-003639,24.4,Low,Pending
ENV-003640,PAR-003640,226.7,Low,Not Required
ENV-003641,PAR-003641,189.2,Medium,Pending
ENV-003642,PAR-003642,220.3,Low,Approved
ENV-003643,PAR-003643,104.8,Low,Pending
ENV-003644,PAR-003644,235.0,Low,Approved
ENV-003645,PAR-003645,883.9,High,Not Required
ENV-003646,PAR-003646,15.8,Low,Not Required
ENV-003647,PAR-003647,155.6,Medium,Not Required
ENV-003648,PAR-003648,46.9,Low,Approved
ENV-003649,PAR-003649,143.3,Low,Not Required
ENV-003650,PAR-003650,50.7,Medium,Approved
ENV-003651,PAR-003651,219.7,High,Not Required
ENV-003652,PAR-003652,250.4,Low,Pending
ENV-003653,PAR-003653,143.7,High,Not Required
ENV-003654,PAR-003654,357.5,Low,Pending
ENV-003655,PAR-003655,27.7,Low,Not Required
ENV-003656,PAR-003656,180.5,Low,Approved
ENV-003657,PAR-003657,51.0,High,Pending
ENV-003658,PAR-003658,241.4,High,Not Required
ENV-003659,PAR-003659,55.1,Low,Not Required
ENV-003660,PAR-003660,58.6,Low,Not Required
ENV-003661,PAR-003661,1346.3,Low,Not Required
ENV-003662,PAR-003662,467.0,Low,Approved
ENV-003663,PAR-003663,282.2,Low,Not Required
ENV-003664,PAR-003664,163.4,High,Not Required
ENV-003665,PAR-003665,194.2,Low,Not Required
ENV-003666,PAR-003666,161.8,Low,Not Required
ENV-003667,PAR-003667,94.2,Medium,Not Required
ENV-003668,PAR-003668,149.9,Medium,Pending
ENV-003669,PAR-003669,1239.2,High,Approved
ENV-003670,PAR-003670,199.6,Medium,Not Required
ENV-003671,PAR-003671,56.7,Low,Not Required
ENV-003672,PAR-003672,184.4,Low,Approved
ENV-003673,PAR-003673,1455.9,Low,Not Required
ENV-003674,PAR-003674,395.6,High,Not Required
ENV-003675,PAR-003675,81.7,Low,Approved
ENV-003676,PAR-003676,114.9,Low,Not Required
ENV-003677,PAR-003677,268.9,Low,Not Required
ENV-003678,PAR-003678,52.9,High,Pending
ENV-003679,PAR-003679,135.6,Low,Not Required
ENV-003680,PAR-003680,141.9,Low,Not Required
ENV-003681,PAR-003681,214.5,Low,Not Required
ENV-003682,PAR-003682,81.0,Medium,Not Required
ENV-003683,PAR-003683,111.7,Medium,Approved
ENV-003684,PAR-003684,310.5,Medium,Not Required
ENV-003685,PAR-003685,244.9,High,Not Required
ENV-003686,PAR-003686,100.4,Low,Not Required
ENV-003687,PAR-003687,64.4,Medium,Not Required
ENV-003688,PAR-003688,44.5,Low,Not Required
ENV-003689,PAR-003689,212.1,Medium,Pending
ENV-003690,PAR-003690,479.3,High,Approved
ENV-003691,PAR-003691,411.2,Low,Approved
ENV-003692,PAR-003692,58.8,Low,Not Required
ENV-003693,PAR-003693,389.6,Low,Not Required
ENV-003694,PAR-003694,88.3,Low,Not Required
ENV-003695,PAR-003695,163.5,Low,Not Required
ENV-003696,PAR-003696,313.5,High,Pending
ENV-003697,PAR-003697,41.4,Low,Not Required
ENV-003698,PAR-003698,1093.3,Low,Pending
ENV-003699,PAR-003699,28.1,Low,Not Required
ENV-003700,PAR-003700,281.8,High,Not Required
ENV-003701,PAR-003701,23.1,Low,Not Required
ENV-003702,PAR-003702,309.0,Low,Approved
ENV-003703,PAR-003703,98.5,High,Not Required
ENV-003704,PAR-003704,241.6,Low,Not Required
ENV-003705,PAR-003705,289.5,Low,Pending
ENV-003706,PAR-003706,300.6,Medium,Not Required
ENV-003707,PAR-003707,120.6,Medium,Approved
ENV-003708,PAR-003708,206.8,Low,Approved
ENV-003709,PAR-003709,16.6,Low,Not Required
ENV-003710,PAR-003710,103.0,Medium,Not Required
ENV-003711,PAR-003711,93.4,Medium,Not Required
ENV-003712,PAR-003712,444.3,Low,Not Required
ENV-003713,PAR-003713,50.9,High,Not Required
ENV-003714,PAR-003714,622.4,Low,Pending
ENV-003715,PAR-003715,183.1,Low,Approved
ENV-003716,PAR-003716,220.2,Medium,Not Required
ENV-003717,PAR-003717,71.8,High,Not Required
ENV-003718,PAR-003718,311.4,Low,Approved
ENV-003719,PAR-003719,61.6,High,Approved
ENV-003720,PAR-003720,109.3,Low,Not Required
ENV-003721,PAR-003721,202.3,Medium,Not Required
ENV-003722,PAR-003722,109.5,Low,Approved
ENV-003723,PAR-003723,109.9,Low,Not Required
ENV-003724,PAR-003724,58.1,Low,Not Required
ENV-003725,PAR-003725,215.5,Medium,Approved
ENV-003726,PAR-003726,31.6,Medium,Not Required
ENV-003727,PAR-003727,278.2,Low,Approved
ENV-003728,PAR-003728,93.6,Low,Approved
ENV-003729,PAR-003729,222.3,Low,Approved
ENV-003730,PAR-003730,137.2,Medium,Pending
ENV-003731,PAR-003731,66.0,Low,Not Required
ENV-003732,PAR-003732,46.4,Low,Not Required
ENV-003733,PAR-003733,145.7,Low,Pending
ENV-003734,PAR-003734,54.3,Low,Not Required
ENV-003735,PAR-003735,330.3,Low,Not Required
ENV-003736,PAR-003736,25.1,Low,Approved
ENV-003737,PAR-003737,334.3,Medium,Approved
ENV-003738,PAR-003738,100.4,Low,Pending
ENV-003739,PAR-003739,108.6,Low,Not Required
ENV-003740,PAR-003740,281.8,Low,Pending
ENV-003741,PAR-003741,52.3,Low,Approved
ENV-003742,PAR-003742,104.4,Medium,Approved
ENV-003743,PAR-003743,52.4,Low,Not Required
ENV-003744,PAR-003744,170.0,Low,Pending
ENV-003745,PAR-003745,163.9,Low,Approved
ENV-003746,PAR-003746,564.5,Low,Not Required
ENV-003747,PAR-003747,178.4,Low,Not Required
ENV-003748,PAR-003748,423.2,Low,Pending
ENV-003749,PAR-003749,143.9,Medium,Not Required
ENV-003750,PAR-003750,363.8,Low,Approved
ENV-003751,PAR-003751,214.2,Low,Approved
ENV-003752,PAR-003752,897.6,Low,Approved
ENV-003753,PAR-003753,171.3,High,Not Required
ENV-003754,PAR-003754,60.7,Medium,Pending
ENV-003755,PAR-003755,136.8,High,Approved
ENV-003756,PAR-003756,83.8,High,Approved
ENV-003757,PAR-003757,131.7,Low,Not Required
ENV-003758,PAR-003758,605.7,Low,Not Required
ENV-003759,PAR-003759,174.9,Low,Approved
ENV-003760,PAR-003760,369.3,Medium,Pending
ENV-003761,PAR-003761,157.7,Low,Not Required
ENV-003762,PAR-003762,157.4,Low,Approved
ENV-003763,PAR-003763,147.7,Low,Not Required
ENV-003764,PAR-003764,115.5,Low,Approved
ENV-003765,PAR-003765,170.5,Low,Pending
ENV-003766,PAR-003766,194.6,Medium,Approved
ENV-003767,PAR-003767,149.9,Low,Not Required
ENV-003768,PAR-003768,108.5,Low,Approved
ENV-003769,PAR-003769,88.0,Medium,Not Required
ENV-003770,PAR-003770,77.1,Low,Not Required
ENV-003771,PAR-003771,852.0,Medium,Approved
ENV-003772,PAR-003772,123.2,Medium,Approved
ENV-003773,PAR-003773,110.8,Medium,Pending
ENV-003774,PAR-003774,25.7,Medium,Not Required
ENV-003775,PAR-003775,175.5,Medium,Not Required
ENV-003776,PAR-003776,46.1,Medium,Not Required
ENV-003777,PAR-003777,147.9,Low,Approved
ENV-003778,PAR-003778,538.6,Low,Pending
ENV-003779,PAR-003779,26.4,Low,Not Required
ENV-003780,PAR-003780,246.6,Medium,Not Required
ENV-003781,PAR-003781,400.8,Low,Approved
ENV-003782,PAR-003782,2096.7,Medium,Not Required
ENV-003783,PAR-003783,1037.2,Low,Approved
ENV-003784,PAR-003784,67.6,Low,Approved
ENV-003785,PAR-003785,101.5,Low,Not Required
ENV-003786,PAR-003786,578.7,Low,Pending
ENV-003787,PAR-003787,29.0,Low,Not Required
ENV-003788,PAR-003788,164.9,Low,Pending
ENV-003789,PAR-003789,79.1,Medium,Approved
ENV-003790,PAR-003790,431.7,Low,Not Required
ENV-003791,PAR-003791,319.8,Low,Approved
ENV-003792,PAR-003792,263.4,Medium,Not Required
ENV-003793,PAR-003793,83.5,Low,Approved
ENV-003794,PAR-003794,34.2,High,Not Required
ENV-003795,PAR-003795,11.6,Low,Pending
ENV-003796,PAR-003796,195.3,Low,Not Required
ENV-003797,PAR-003797,250.0,High,Not Required
ENV-003798,PAR-003798,1131.8,Low,Pending
ENV-003799,PAR-003799,147.6,Low,Not Required
ENV-003800,PAR-003800,132.2,Low,Approved
ENV-003801,PAR-003801,33.5,Low,Not Required
ENV-003802,PAR-003802,302.8,Low,Approved
ENV-003803,PAR-003803,156.9,Medium,Not Required
ENV-003804,PAR-003804,69.6,Low,Approved
ENV-003805,PAR-003805,175.2,Low,Not Required
ENV-003806,PAR-003806,392.0,Low,Approved
ENV-003807,PAR-003807,112.9,Medium,Approved
ENV-003808,PAR-003808,2469.9,Medium,Approved
ENV-003809,PAR-003809,78.2,Low,Not Required
ENV-003810,PAR-003810,318.7,Medium,Not Required
ENV-003811,PAR-003811,42.2,High,Approved
ENV-003812,PAR-003812,128.8,Medium,Pending
ENV-003813,PAR-003813,63.0,Low,Approved
ENV-003814,PAR-003814,142.7,Low,Not Required
ENV-003815,PAR-003815,690.8,Low,Pending
ENV-003816,PAR-003816,286.0,Medium,Not Required
ENV-003817,PAR-003817,88.9,Low,Not Required
ENV-003818,PAR-003818,505.0,Medium,Not Required
ENV-003819,PAR-003819,509.4,Low,Approved
ENV-003820,PAR-003820,273.5,Medium,Approved
ENV-003821,PAR-003821,342.7,Low,Not Required
ENV-003822,PAR-003822,87.6,Low,Not Required
ENV-003823,PAR-003823,729.4,Low,Approved
ENV-003824,PAR-003824,667.1,Low,Not Required
ENV-003825,PAR-003825,39.3,Low,Pending
ENV-003826,PAR-003826,79.4,Medium,Not Required
ENV-003827,PAR-003827,21.5,Low,Pending
ENV-003828,PAR-003828,158.2,Medium,Not Required
ENV-003829,PAR-003829,2847.8,Low,Pending
ENV-003830,PAR-003830,527.8,Low,Not Required
ENV-003831,PAR-003831,585.0,Medium,Pending
ENV-003832,PAR-003832,368.5,Medium,Not Required
ENV-003833,PAR-003833,1153.9,Low,Pending
ENV-003834,PAR-003834,43.9,Low,Not Required
ENV-003835,PAR-003835,8.1,Medium,Not Required
ENV-003836,PAR-003836,42.6,Low,Approved
ENV-003837,PAR-003837,182.1,Low,Not Required
ENV-003838,PAR-003838,117.3,Medium,Not Required
ENV-003839,PAR-003839,157.7,High,Not Required
ENV-003840,PAR-003840,213.1,High,Pending
ENV-003841,PAR-003841,91.0,Low,Approved
ENV-003842,PAR-003842,61.2,Low,Not Required
ENV-003843,PAR-003843,72.3,Low,Approved
ENV-003844,PAR-003844,107.4,Low,Not Required
ENV-003845,PAR-003845,734.1,Medium,Not Required
ENV-003846,PAR-003846,594.2,Low,Approved
ENV-003847,PAR-003847,237.9,Low,Not Required
ENV-003848,PAR-003848,214.0,Low,Approved
ENV-003849,PAR-003849,445.6,Low,Pending
ENV-003850,PAR-003850,472.0,Medium,Not Required
ENV-003851,PAR-003851,1045.2,Low,Pending
ENV-003852,PAR-003852,63.9,Medium,Not Required
ENV-003853,PAR-003853,21.5,High,Pending
ENV-003854,PAR-003854,125.4,Low,Not Required
ENV-003855,PAR-003855,337.3,Medium,Not Required
ENV-003856,PAR-003856,116.8,Low,Not Required
ENV-003857,PAR-003857,706.6,Medium,Not Required
ENV-003858,PAR-003858,988.5,High,Approved
ENV-003859,PAR-003859,265.9,Low,Not Required
ENV-003860,PAR-003860,77.7,Low,Not Required
ENV-003861,PAR-003861,327.9,High,Not Required
ENV-003862,PAR-003862,280.9,Low,Approved
ENV-003863,PAR-003863,92.9,Low,Approved
ENV-003864,PAR-003864,52.9,Medium,Not Required
ENV-003865,PAR-003865,572.4,High,Not Required
ENV-003866,PAR-003866,148.6,Medium,Approved
ENV-003867,PAR-003867,1451.8,Medium,Pending
ENV-003868,PAR-003868,27.7,Low,Approved
ENV-003869,PAR-003869,23.1,Medium,Pending
ENV-003870,PAR-003870,88.0,Low,Not Required
ENV-003871,PAR-003871,57.5,Low,Approved
ENV-003872,PAR-003872,30.0,Low,Not Required
ENV-003873,PAR-003873,23.0,Low,Pending
ENV-003874,PAR-003874,84.1,Low,Not Required
ENV-003875,PAR-003875,324.8,Low,Not Required
ENV-003876,PAR-003876,213.9,Low,Approved
ENV-003877,PAR-003877,660.5,Low,Approved
ENV-003878,PAR-003878,144.1,Low,Approved
ENV-003879,PAR-003879,188.1,Low,Pending
ENV-003880,PAR-003880,233.6,Low,Not Required
ENV-003881,PAR-003881,239.2,Low,Not Required
ENV-003882,PAR-003882,243.6,Medium,Approved
ENV-003883,PAR-003883,65.8,Low,Approved
ENV-003884,PAR-003884,96.0,Low,Pending
ENV-003885,PAR-003885,98.7,Low,Not Required
ENV-003886,PAR-003886,31.1,Low,Not Required
ENV-003887,PAR-003887,187.5,Low,Not Required
ENV-003888,PAR-003888,80.1,Low,Approved
ENV-003889,PAR-003889,158.4,Low,Approved
ENV-003890,PAR-003890,30.7,Medium,Not Required
ENV-003891,PAR-003891,140.1,Low,Pending
ENV-003892,PAR-003892,689.3,Medium,Not Required
ENV-003893,PAR-003893,48.0,Medium,Approved
ENV-003894,PAR-003894,519.3,Low,Not Required
ENV-003895,PAR-003895,685.4,Low,Not Required
ENV-003896,PAR-003896,120.6,Low,Not Required
ENV-003897,PAR-003897,95.1,Low,Pending
ENV-003898,PAR-003898,636.2,Medium,Not Required
ENV-003899,PAR-003899,26.5,Low,Approved
ENV-003900,PAR-003900,797.2,Low,Approved
ENV-003901,PAR-003901,57.3,Low,Not Required
ENV-003902,PAR-003902,47.8,Medium,Approved
ENV-003903,PAR-003903,19.1,Low,Not Required
ENV-003904,PAR-003904,142.4,Medium,Not Required
ENV-003905,PAR-003905,40.3,Medium,Approved
ENV-003906,PAR-003906,114.3,High,Approved
ENV-003907,PAR-003907,300.7,Low,Not Required
ENV-003908,PAR-003908,46.7,Low,Not Required
ENV-003909,PAR-003909,291.5,Low,Approved
ENV-003910,PAR-003910,301.7,High,Not Required
ENV-003911,PAR-003911,513.4,Low,Not Required
ENV-003912,PAR-003912,362.7,Low,Approved
ENV-003913,PAR-003913,60.5,Low,Not Required
ENV-003914,PAR-003914,32.3,Medium,Not Required
ENV-003915,PAR-003915,148.5,Medium,Approved
ENV-003916,PAR-003916,60.0,Low,Not Required
ENV-003917,PAR-003917,57.8,Low,Pending
ENV-003918,PAR-003918,365.3,Low,Not Required
ENV-003919,PAR-003919,187.7,Medium,Not Required
ENV-003920,PAR-003920,188.0,Low,Approved
ENV-003921,PAR-003921,79.8,Low,Pending
ENV-003922,PAR-003922,55.0,Low,Not Required
ENV-003923,PAR-003923,107.7,Low,Not Required
ENV-003924,PAR-003924,603.8,Medium,Not Required
ENV-003925,PAR-003925,7.6,Low,Approved
ENV-003926,PAR-003926,69.6,Low,Approved
ENV-003927,PAR-003927,255.8,Medium,Approved
ENV-003928,PAR-003928,347.9,Medium,Not Required
ENV-003929,PAR-003929,143.4,High,Pending
ENV-003930,PAR-003930,169.1,Medium,Approved
ENV-003931,PAR-003931,558.9,Low,Not Required
ENV-003932,PAR-003932,50.2,Low,Approved
ENV-003933,PAR-003933,599.4,Low,Approved
ENV-003934,PAR-003934,123.9,Low,Pending
ENV-003935,PAR-003935,93.1,Medium,Not Required
ENV-003936,PAR-003936,132.5,Low,Approved
ENV-003937,PAR-003937,41.7,Low,Not Required
ENV-003938,PAR-003938,46.4,Low,Not Required
ENV-003939,PAR-003939,234.9,Medium,Not Required
ENV-003940,PAR-003940,1182.1,High,Not Required
ENV-003941,PAR-003941,84.3,Low,Not Required
ENV-003942,PAR-003942,67.9,Low,Pending
ENV-003943,PAR-003943,192.4,Low,Approved
ENV-003944,PAR-003944,152.1,Low,Approved
ENV-003945,PAR-003945,299.0,Medium,Not Required
ENV-003946,PAR-003946,229.8,Low,Not Required
ENV-003947,PAR-003947,540.9,Low,Not Required
ENV-003948,PAR-003948,196.8,Medium,Approved
ENV-003949,PAR-003949,161.6,Medium,Approved
ENV-003950,PAR-003950,23.4,Medium,Approved
ENV-003951,PAR-003951,38.2,Medium,Not Required
ENV-003952,PAR-003952,440.6,Low,Not Required
ENV-003953,PAR-003953,63.1,Medium,Not Required
ENV-003954,PAR-003954,21.4,Low,Approved
ENV-003955,PAR-003955,72.7,Low,Not Required
ENV-003956,PAR-003956,104.0,High,Not Required
ENV-003957,PAR-003957,32.4,Medium,Approved
ENV-003958,PAR-003958,105.8,Low,Approved
ENV-003959,PAR-003959,38.4,Low,Approved
ENV-003960,PAR-003960,61.2,High,Not Required
ENV-003961,PAR-003961,215.3,Low,Pending
ENV-003962,PAR-003962,356.0,Low,Approved
ENV-003963,PAR-003963,84.5,Low,Not Required
ENV-003964,PAR-003964,64.6,High,Not Required
ENV-003965,PAR-003965,554.7,Low,Not Required
ENV-003966,PAR-003966,58.3,Low,Approved
ENV-003967,PAR-003967,48.9,Low,Not Required
ENV-003968,PAR-003968,305.0,Low,Pending
ENV-003969,PAR-003969,298.0,Medium,Approved
ENV-003970,PAR-003970,20.3,Low,Not Required
