project_id,project_name,project_type,district,taluk,total_land_required,affected_parcels,affected_families,project_start_date,expected_completion_date
PRJ-03814,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Mettupalayam,2.81,7,6,2024-01-03,2025-03-12
PRJ-02417,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Sulur,3.08,5,7,2024-01-26,2025-09-27
PRJ-00616,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Sulur,3.09,4,6,2023-06-09,2025-07-27
PRJ-04529,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Annur,3.46,7,6,2024-01-12,2025-10-03
PRJ-03510,Coimbatore Road Corridor Project,Road,Coimbatore,Sulur,1.49,6,2,2022-02-15,2024-05-30
PRJ-03739,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Sulur,2.02,4,5,2022-02-18,2024-07-29
PRJ-00344,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Annur,0.85,5,7,2025-11-05,2027-01-04
PRJ-01846,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Mettupalayam,1.89,4,3,2023-05-18,2024-11-24
PRJ-03983,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Madukkarai,0.78,4,5,2024-04-22,2025-02-19
PRJ-04105,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Sulur,2.08,6,2,2022-06-02,2023-05-17
PRJ-03824,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Sulur,2.27,6,11,2025-09-13,2027-03-16
PRJ-00501,Coimbatore Road Corridor Project,Road,Coimbatore,Kinathukadavu,0.56,8,5,2024-02-07,2026-05-15
PRJ-03916,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore North,2.53,6,2,2024-02-16,2026-05-15
PRJ-00110,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Pollachi,0.49,5,4,2025-08-18,2027-10-18
PRJ-00409,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore North,0.99,6,3,2024-09-15,2027-01-24
PRJ-04018,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Sulur,1.31,8,7,2022-12-05,2024-06-15
PRJ-02027,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Mettupalayam,2.39,7,2,2024-06-28,2025-08-29
PRJ-03854,Coimbatore Rail Corridor Project,Rail,Coimbatore,Annur,0.4,9,6,2022-10-13,2025-03-02
PRJ-04720,Coimbatore Rail Corridor Project,Rail,Coimbatore,Kinathukadavu,0.92,4,4,2022-12-13,2024-12-12
PRJ-04016,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Kinathukadavu,1.33,7,2,2026-02-28,2028-07-25
PRJ-04310,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Sulur,0.46,3,6,2025-11-15,2027-02-11
PRJ-00005,Coimbatore Road Corridor Project,Road,Coimbatore,Kinathukadavu,1.46,6,3,2023-09-25,2024-11-02
PRJ-00363,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Madukkarai,4.04,3,6,2025-11-05,2028-04-04
PRJ-03639,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Mettupalayam,2.94,8,7,2024-10-27,2026-08-28
PRJ-03103,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Pollachi,2.36,5,13,2026-05-18,2028-10-31
PRJ-03043,Coimbatore Road Corridor Project,Road,Coimbatore,Madukkarai,4.13,4,6,2023-09-03,2024-07-04
PRJ-04471,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Annur,1.91,5,9,2026-03-20,2027-05-02
PRJ-00971,Coimbatore Road Corridor Project,Road,Coimbatore,Pollachi,2.02,7,3,2024-09-07,2025-06-14
PRJ-03113,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Kinathukadavu,1.46,7,8,2024-04-21,2024-12-15
PRJ-04673,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore North,1.21,5,6,2023-07-28,2026-01-11
PRJ-01371,Coimbatore Rail Corridor Project,Rail,Coimbatore,Mettupalayam,1.57,8,4,2023-12-20,2026-04-15
PRJ-04609,Coimbatore Road Corridor Project,Road,Coimbatore,Sulur,4.76,5,5,2025-11-09,2028-03-31
PRJ-04184,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Pollachi,3.75,7,3,2024-07-01,2025-04-10
PRJ-04864,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Madukkarai,1.12,8,2,2024-11-18,2025-10-01
PRJ-03723,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Coimbatore South,6.3,2,8,2024-12-30,2026-01-28
PRJ-02813,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Kinathukadavu,2.15,5,6,2026-05-07,2026-12-02
PRJ-03468,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore South,1.64,5,4,2026-01-22,2027-03-18
PRJ-02783,Coimbatore Rail Corridor Project,Rail,Coimbatore,Sulur,0.75,7,4,2025-04-08,2027-08-19
PRJ-01596,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Pollachi,1.84,4,5,2025-09-22,2026-06-20
PRJ-00764,Coimbatore Road Corridor Project,Road,Coimbatore,Kinathukadavu,0.73,4,5,2025-02-13,2026-08-13
PRJ-04864,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Madukkarai,0.38,13,3,2023-08-03,2025-12-02
PRJ-02491,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Mettupalayam,0.59,9,6,2024-12-04,2027-03-04
PRJ-01228,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Annur,0.68,10,6,2023-06-21,2025-07-12
PRJ-01385,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Madukkarai,0.43,6,6,2022-09-08,2023-09-11
PRJ-02216,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Madukkarai,16.31,8,4,2024-04-09,2026-04-20
PRJ-03794,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Pollachi,0.32,4,1,2025-11-10,2027-11-29
PRJ-04148,Coimbatore Road Corridor Project,Road,Coimbatore,Annur,3.7,8,8,2022-11-19,2025-01-15
PRJ-00937,Coimbatore Road Corridor Project,Road,Coimbatore,Mettupalayam,4.03,8,3,2024-09-17,2026-09-08
PRJ-00779,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore South,3.92,12,6,2025-12-25,2026-08-28
PRJ-00649,Coimbatore Rail Corridor Project,Rail,Coimbatore,Sulur,0.37,7,5,2022-11-01,2024-04-22
PRJ-00044,Coimbatore Road Corridor Project,Road,Coimbatore,Annur,0.8,8,5,2023-02-27,2023-09-23
PRJ-04483,Coimbatore Road Corridor Project,Road,Coimbatore,Sulur,0.94,11,6,2022-06-06,2023-05-15
PRJ-01972,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Madukkarai,0.46,5,7,2026-03-24,2028-04-15
PRJ-00922,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Madukkarai,1.51,4,5,2024-08-22,2026-12-27
PRJ-02328,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Annur,0.65,5,6,2024-08-30,2027-02-15
PRJ-02283,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore South,5.23,6,7,2026-03-16,2028-02-05
PRJ-04719,Coimbatore Rail Corridor Project,Rail,Coimbatore,Coimbatore North,4.44,5,4,2025-05-03,2026-03-01
PRJ-04922,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Coimbatore North,1.12,5,4,2023-01-11,2025-03-21
PRJ-00334,Coimbatore Road Corridor Project,Road,Coimbatore,Mettupalayam,1.02,2,5,2024-08-24,2026-09-19
PRJ-03341,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Sulur,0.25,10,6,2023-08-08,2025-08-07
PRJ-03972,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Annur,2.48,9,6,2022-12-17,2024-08-21
PRJ-03413,Coimbatore Road Corridor Project,Road,Coimbatore,Sulur,7.39,7,7,2024-06-03,2025-12-04
PRJ-02828,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Sulur,0.92,6,2,2022-06-08,2024-09-15
PRJ-00514,Coimbatore Rail Corridor Project,Rail,Coimbatore,Annur,0.84,7,5,2023-09-10,2025-12-28
PRJ-03959,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Madukkarai,0.77,5,4,2023-06-03,2024-02-10
PRJ-01668,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Pollachi,1.06,5,3,2024-12-23,2026-08-22
PRJ-02645,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Kinathukadavu,0.68,5,5,2025-11-15,2026-05-31
PRJ-01051,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Pollachi,3.71,5,5,2024-03-12,2026-02-04
PRJ-02408,Coimbatore Road Corridor Project,Road,Coimbatore,Pollachi,1.32,2,1,2022-07-12,2023-07-31
PRJ-00465,Coimbatore Road Corridor Project,Road,Coimbatore,Sulur,0.52,7,4,2024-02-21,2026-01-15
PRJ-00961,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Coimbatore South,1.51,9,3,2023-06-30,2024-12-16
PRJ-00409,Coimbatore Road Corridor Project,Road,Coimbatore,Mettupalayam,3.94,6,1,2025-03-30,2026-10-13
PRJ-00144,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Annur,2.33,10,5,2024-01-08,2026-04-10
PRJ-00195,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Kinathukadavu,2.34,5,3,2025-06-05,2027-07-27
PRJ-00181,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Kinathukadavu,0.77,9,6,2024-02-16,2026-05-16
PRJ-01553,Coimbatore Rail Corridor Project,Rail,Coimbatore,Sulur,0.24,8,5,2023-10-02,2024-11-29
PRJ-02370,Coimbatore Road Corridor Project,Road,Coimbatore,Annur,1.16,9,5,2025-12-02,2028-02-23
PRJ-00045,Coimbatore Rail Corridor Project,Rail,Coimbatore,Mettupalayam,0.98,11,7,2022-11-07,2024-04-08
PRJ-03746,Coimbatore Road Corridor Project,Road,Coimbatore,Pollachi,1.04,8,7,2024-12-18,2026-08-22
PRJ-01196,Coimbatore Rail Corridor Project,Rail,Coimbatore,Pollachi,2.99,5,3,2024-12-07,2026-03-15
PRJ-03866,Coimbatore Road Corridor Project,Road,Coimbatore,Annur,1.6,3,5,2025-11-17,2027-02-02
PRJ-03702,Coimbatore Road Corridor Project,Road,Coimbatore,Pollachi,1.12,8,5,2025-02-06,2025-08-18
PRJ-00656,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore North,0.91,7,8,2024-10-25,2026-09-24
PRJ-03081,Coimbatore Road Corridor Project,Road,Coimbatore,Pollachi,4.32,7,6,2025-11-14,2027-01-21
PRJ-03528,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Annur,1.03,4,6,2025-09-15,2026-11-13
PRJ-04370,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Coimbatore South,0.65,9,3,2024-03-14,2025-09-25
PRJ-03333,Coimbatore Road Corridor Project,Road,Coimbatore,Mettupalayam,1.9,9,6,2025-11-27,2027-03-29
PRJ-04918,Coimbatore Road Corridor Project,Road,Coimbatore,Sulur,0.71,2,2,2026-04-08,2028-06-26
PRJ-01337,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Pollachi,0.48,7,4,2022-03-02,2023-10-22
PRJ-04555,Coimbatore Road Corridor Project,Road,Coimbatore,Mettupalayam,2.59,3,3,2024-05-14,2025-06-18
PRJ-02045,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore North,0.95,2,7,2023-04-05,2024-09-20
PRJ-00278,Coimbatore Rail Corridor Project,Rail,Coimbatore,Coimbatore South,1.81,4,3,2023-03-20,2024-09-22
PRJ-02880,Coimbatore Rail Corridor Project,Rail,Coimbatore,Coimbatore North,1.3,9,3,2023-06-07,2024-08-19
PRJ-01847,Coimbatore Road Corridor Project,Road,Coimbatore,Sulur,5.3,7,3,2025-11-04,2027-10-14
PRJ-04430,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Pollachi,4.29,1,3,2025-03-01,2027-04-29
PRJ-00009,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Coimbatore North,0.46,2,2,2024-12-06,2026-09-23
PRJ-00969,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Annur,0.17,12,7,2023-10-22,2025-04-02
PRJ-02994,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Mettupalayam,0.32,8,10,2024-09-30,2026-11-27
PRJ-01849,Coimbatore Road Corridor Project,Road,Coimbatore,Pollachi,0.49,4,5,2022-06-06,2022-12-06
PRJ-02263,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Annur,2.41,6,6,2022-05-02,2023-08-25
PRJ-01914,Coimbatore Road Corridor Project,Road,Coimbatore,Mettupalayam,0.36,4,7,2025-01-22,2026-05-30
PRJ-00114,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Coimbatore South,1.57,7,3,2022-07-14,2024-04-20
PRJ-01506,Coimbatore Road Corridor Project,Road,Coimbatore,Sulur,1.57,5,7,2023-07-28,2025-03-12
PRJ-02666,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Mettupalayam,1.8,4,4,2023-08-01,2024-03-16
PRJ-03181,Coimbatore Rail Corridor Project,Rail,Coimbatore,Pollachi,0.99,9,5,2022-10-27,2025-03-23
PRJ-04964,Coimbatore Rail Corridor Project,Rail,Coimbatore,Kinathukadavu,0.74,7,3,2023-03-10,2023-11-29
PRJ-03471,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Kinathukadavu,0.51,6,5,2025-06-17,2026-05-30
PRJ-03233,Coimbatore Road Corridor Project,Road,Coimbatore,Kinathukadavu,3.75,5,8,2026-04-13,2027-07-08
PRJ-03266,Coimbatore Rail Corridor Project,Rail,Coimbatore,Mettupalayam,1.66,3,8,2026-01-19,2026-12-27
PRJ-03645,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Mettupalayam,2.68,7,4,2024-03-03,2025-01-26
PRJ-02448,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Madukkarai,1.95,6,5,2024-10-15,2025-08-21
PRJ-00130,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Mettupalayam,0.52,7,2,2022-11-22,2023-10-27
PRJ-00725,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Madukkarai,1.89,4,4,2025-03-01,2026-08-08
PRJ-00196,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Madukkarai,1.78,8,2,2022-05-06,2023-03-20
PRJ-00416,Coimbatore Rail Corridor Project,Rail,Coimbatore,Mettupalayam,1.03,6,6,2024-05-19,2026-11-02
PRJ-04171,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Coimbatore South,0.49,3,4,2022-02-02,2023-04-20
PRJ-04030,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Madukkarai,1.37,5,4,2024-04-21,2025-07-16
PRJ-03752,Coimbatore Road Corridor Project,Road,Coimbatore,Mettupalayam,2.16,4,6,2023-04-08,2024-02-08
PRJ-03969,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Annur,0.93,9,1,2023-09-25,2025-10-10
PRJ-02521,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Annur,0.97,4,2,2025-04-25,2026-04-29
PRJ-04801,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Annur,1.02,9,9,2022-07-25,2023-09-21
PRJ-01133,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Coimbatore South,1.03,9,5,2024-09-10,2026-10-31
PRJ-00104,Coimbatore Road Corridor Project,Road,Coimbatore,Pollachi,2.48,3,7,2024-05-11,2026-08-07
PRJ-03415,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Pollachi,1.46,6,6,2023-01-01,2024-06-16
PRJ-04745,Coimbatore Road Corridor Project,Road,Coimbatore,Pollachi,0.8,5,5,2025-06-02,2026-02-21
PRJ-02175,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Madukkarai,0.96,5,3,2024-06-27,2025-03-29
PRJ-04036,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Mettupalayam,3.31,6,5,2023-10-16,2024-09-19
PRJ-01870,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Coimbatore South,2.44,3,4,2023-05-03,2025-06-27
PRJ-00973,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Coimbatore South,0.46,5,5,2023-10-03,2024-06-06
PRJ-03134,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore South,2.36,10,5,2022-01-31,2023-12-27
PRJ-02011,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Annur,2.25,7,3,2022-08-28,2024-08-29
PRJ-02477,Coimbatore Rail Corridor Project,Rail,Coimbatore,Pollachi,1.84,5,3,2025-05-07,2027-09-21
PRJ-03077,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Annur,1.96,7,2,2023-12-09,2024-06-26
PRJ-02942,Coimbatore Road Corridor Project,Road,Coimbatore,Mettupalayam,5.67,6,7,2023-12-16,2025-01-15
PRJ-03919,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore South,3.44,8,4,2025-03-27,2027-08-28
PRJ-00029,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Madukkarai,0.76,9,5,2025-12-17,2027-10-03
PRJ-04555,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Coimbatore South,4.68,4,4,2025-05-05,2027-01-18
PRJ-01462,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Mettupalayam,1.01,6,10,2022-08-13,2023-04-22
PRJ-03937,Coimbatore Road Corridor Project,Road,Coimbatore,Annur,0.52,6,2,2025-09-23,2028-02-13
PRJ-02351,Coimbatore Rail Corridor Project,Rail,Coimbatore,Sulur,2.75,6,7,2024-08-16,2025-06-25
PRJ-01754,Coimbatore Rail Corridor Project,Rail,Coimbatore,Sulur,0.73,6,5,2025-07-18,2027-04-12
PRJ-00626,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Coimbatore South,0.67,11,6,2022-03-26,2024-06-13
PRJ-03042,Coimbatore Road Corridor Project,Road,Coimbatore,Sulur,1.68,9,5,2022-11-30,2024-04-25
PRJ-03857,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Sulur,0.16,4,3,2023-11-26,2026-01-24
PRJ-03965,Coimbatore Rail Corridor Project,Rail,Coimbatore,Pollachi,1.97,7,5,2025-09-28,2028-01-28
PRJ-04479,Coimbatore Road Corridor Project,Road,Coimbatore,Mettupalayam,3.89,3,5,2023-03-11,2024-07-22
PRJ-00277,Coimbatore Road Corridor Project,Road,Coimbatore,Annur,0.58,8,7,2025-05-30,2026-09-06
PRJ-04949,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Mettupalayam,2.25,3,5,2025-11-05,2027-12-04
PRJ-01767,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Sulur,0.72,4,3,2023-07-14,2025-06-16
PRJ-03000,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Mettupalayam,3.06,4,5,2026-01-18,2026-08-06
PRJ-04003,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Mettupalayam,1.52,4,7,2025-07-23,2027-09-05
PRJ-02596,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore South,1.01,10,2,2024-12-29,2026-06-17
PRJ-04107,Coimbatore Road Corridor Project,Road,Coimbatore,Annur,1.34,3,5,2022-04-14,2022-11-19
PRJ-01525,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Coimbatore North,1.31,2,2,2025-07-01,2026-08-04
PRJ-00525,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Annur,1.19,6,10,2025-01-13,2027-06-27
PRJ-02077,Coimbatore Road Corridor Project,Road,Coimbatore,Pollachi,0.26,6,4,2024-06-12,2026-09-18
PRJ-00753,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Mettupalayam,0.5,7,6,2025-12-15,2026-10-18
PRJ-03844,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Pollachi,1.91,8,5,2025-03-20,2026-12-16
PRJ-03002,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Sulur,1.62,4,3,2024-01-04,2024-11-02
PRJ-00330,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore South,0.65,6,3,2024-12-15,2026-10-11
PRJ-02060,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Kinathukadavu,0.95,9,1,2023-06-30,2024-08-08
PRJ-01034,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Pollachi,1.66,5,8,2023-10-15,2025-07-07
PRJ-04697,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Mettupalayam,1.4,7,5,2024-12-02,2026-02-25
PRJ-00617,Coimbatore Rail Corridor Project,Rail,Coimbatore,Madukkarai,0.58,2,4,2022-03-18,2022-09-29
PRJ-00573,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Mettupalayam,1.46,6,2,2023-06-13,2025-03-02
PRJ-02310,Coimbatore Rail Corridor Project,Rail,Coimbatore,Mettupalayam,0.29,4,3,2025-07-25,2026-06-16
PRJ-03277,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Kinathukadavu,0.9,6,6,2025-01-23,2027-07-09
PRJ-02173,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Coimbatore South,0.85,4,6,2023-07-06,2025-05-18
PRJ-02817,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Mettupalayam,1.13,9,3,2025-04-29,2026-01-16
PRJ-03901,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Annur,1.9,9,10,2025-02-22,2027-05-22
PRJ-02468,Coimbatore Rail Corridor Project,Rail,Coimbatore,Pollachi,0.89,6,6,2024-03-28,2025-04-10
PRJ-01426,Coimbatore Rail Corridor Project,Rail,Coimbatore,Coimbatore South,0.52,4,2,2023-09-19,2025-01-12
PRJ-04955,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Pollachi,1.86,8,1,2023-03-18,2023-10-05
PRJ-04834,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Madukkarai,1.5,6,5,2023-11-03,2025-06-12
PRJ-04578,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Mettupalayam,0.7,5,7,2026-01-05,2027-06-01
PRJ-04688,Coimbatore Rail Corridor Project,Rail,Coimbatore,Coimbatore South,1.62,8,6,2025-07-27,2027-05-17
PRJ-04747,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Annur,3.15,7,4,2024-05-21,2025-06-03
PRJ-00663,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Annur,1.72,8,7,2023-06-25,2024-10-27
PRJ-00360,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Coimbatore South,16.15,12,3,2024-02-09,2025-05-10
PRJ-02604,Coimbatore Road Corridor Project,Road,Coimbatore,Mettupalayam,2.95,5,5,2023-05-10,2025-10-22
PRJ-04365,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Sulur,0.59,10,7,2023-08-06,2024-07-30
PRJ-03273,Coimbatore Road Corridor Project,Road,Coimbatore,Madukkarai,0.45,4,7,2023-10-12,2024-12-18
PRJ-03580,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Coimbatore North,2.2,6,4,2025-08-04,2027-09-26
PRJ-04422,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Coimbatore South,7.21,1,3,2025-09-01,2027-05-23
PRJ-04928,Coimbatore Road Corridor Project,Road,Coimbatore,Kinathukadavu,1.55,2,2,2026-04-06,2027-07-29
PRJ-02969,Coimbatore Road Corridor Project,Road,Coimbatore,Annur,3.97,8,5,2025-03-06,2026-06-18
PRJ-02551,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore South,1.95,4,3,2023-04-13,2024-06-15
PRJ-01840,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Coimbatore South,0.59,6,4,2023-05-22,2024-12-11
PRJ-04555,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Coimbatore South,6.39,6,7,2025-03-08,2026-08-29
PRJ-03592,Coimbatore Road Corridor Project,Road,Coimbatore,Annur,0.73,7,5,2024-02-14,2025-05-07
PRJ-04123,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Mettupalayam,2.98,6,4,2022-10-28,2023-05-19
PRJ-02161,Coimbatore Road Corridor Project,Road,Coimbatore,Annur,5.66,10,3,2022-09-10,2024-12-17
PRJ-04643,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Sulur,1.06,10,5,2026-01-07,2027-03-15
PRJ-03258,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Mettupalayam,2.47,5,6,2022-01-16,2022-11-26
PRJ-00601,Coimbatore Rail Corridor Project,Rail,Coimbatore,Annur,1.05,6,8,2023-01-24,2024-02-29
PRJ-03377,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Mettupalayam,0.83,11,6,2023-06-20,2025-09-16
PRJ-00473,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Madukkarai,1.1,6,6,2023-06-30,2024-04-03
PRJ-03361,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Mettupalayam,0.8,8,1,2023-02-11,2023-09-15
PRJ-00868,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Kinathukadavu,6.63,7,4,2025-07-01,2027-02-22
PRJ-02718,Coimbatore Rail Corridor Project,Rail,Coimbatore,Kinathukadavu,4.82,8,3,2024-01-24,2026-02-01
PRJ-04133,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Annur,1.18,5,5,2023-03-08,2025-06-12
PRJ-00610,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Coimbatore North,1.37,7,3,2024-06-13,2025-09-18
PRJ-01726,Coimbatore Road Corridor Project,Road,Coimbatore,Sulur,1.26,3,5,2023-03-04,2024-11-28
PRJ-03534,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Annur,0.55,5,6,2025-04-20,2027-02-17
PRJ-04119,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Madukkarai,1.28,9,2,2023-03-05,2024-04-03
PRJ-00233,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Kinathukadavu,0.49,6,6,2022-10-10,2023-11-13
PRJ-02604,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Madukkarai,2.73,6,2,2024-04-12,2025-05-29
PRJ-00654,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore South,2.39,5,4,2024-12-12,2025-11-17
