approval_id,project_id,department,approval_status,approval_delay_days
APR-028178,PRJ-01098,Revenue,Approved,7
APR-028179,PRJ-03209,Rural Development,Approved,3
APR-028180,PRJ-00717,PWD,Approved,31
APR-028181,PRJ-01168,RDO,Approved,42
APR-028182,PRJ-02884,Revenue,Pending,354
APR-028183,PRJ-02493,RDO,Approved,1
APR-028184,PRJ-02273,PWD,Approved,42
APR-028185,PRJ-03642,Rural Development,Approved,8
APR-028186,PRJ-01258,RDO,Approved,2
APR-028187,PRJ-03044,Rural Development,Pending,237
APR-028188,PRJ-02420,District Administration,Approved,34
APR-028189,PRJ-01876,Revenue,Approved,15
APR-028190,PRJ-01147,Rural Development,Approved,24
APR-028191,PRJ-01247,District Administration,Approved,16
APR-028192,PRJ-04287,Revenue,Approved,38
APR-028193,PRJ-00756,Rural Development,Pending,50
APR-028194,PRJ-00367,Revenue,Approved,35
APR-028195,PRJ-00594,PWD,Approved,44
APR-028196,PRJ-02635,Revenue,Approved,4
APR-028197,PRJ-00615,District Administration,Approved,36
APR-028198,PRJ-02916,RDO,Approved,11
APR-028199,PRJ-02966,RDO,Approved,19
APR-028200,PRJ-04904,Revenue,Approved,41
APR-028201,PRJ-04516,PWD,Pending,126
APR-028202,PRJ-03822,Revenue,Approved,28
APR-028203,PRJ-02329,RDO,Approved,7
APR-028204,PRJ-01879,Rural Development,Approved,7
APR-028205,PRJ-00169,Rural Development,Approved,19
APR-028206,PRJ-02767,District Administration,Approved,36
APR-028207,PRJ-01926,RDO,Pending,100
APR-028208,PRJ-01884,Revenue,Approved,29
APR-028209,PRJ-02965,Rural Development,Approved,34
APR-028210,PRJ-01170,Rural Development,Pending,487
APR-028211,PRJ-00883,Rural Development,Approved,22
APR-028212,PRJ-02768,District Administration,Approved,38
APR-028213,PRJ-03534,Rural Development,Approved,14
APR-028214,PRJ-03672,RDO,Approved,43
APR-028215,PRJ-00872,Revenue,Approved,6
APR-028216,PRJ-01266,Rural Development,Pending,33
APR-028217,PRJ-00232,Revenue,Approved,13
APR-028218,PRJ-02581,Rural Development,Approved,40
APR-028219,PRJ-02499,RDO,Pending,490
APR-028220,PRJ-02368,District Administration,Pending,72
APR-028221,PRJ-00007,Rural Development,Approved,24
APR-028222,PRJ-00162,District Administration,Approved,31
APR-028223,PRJ-04383,District Administration,Approved,38
APR-028224,PRJ-03010,Rural Development,Approved,22
APR-028225,PRJ-00308,Rural Development,Approved,19
APR-028226,PRJ-00490,District Administration,Pending,349
APR-028227,PRJ-04375,District Administration,Approved,14
APR-028228,PRJ-00614,Revenue,Approved,32
APR-028229,PRJ-01566,PWD,Approved,0
APR-028230,PRJ-04721,PWD,Approved,5
APR-028231,PRJ-00743,RDO,Approved,35
APR-028232,PRJ-04786,Rural Development,Approved,31
APR-028233,PRJ-00001,RDO,Approved,11
APR-028234,PRJ-03907,RDO,Approved,11
APR-028235,PRJ-04421,RDO,Approved,10
APR-028236,PRJ-04609,District Administration,Approved,5
APR-028237,PRJ-01782,PWD,Approved,17
APR-028238,PRJ-03840,Rural Development,Approved,30
APR-028239,PRJ-04439,District Administration,Pending,341
APR-028240,PRJ-04124,RDO,Approved,10
APR-028241,PRJ-02820,Revenue,Pending,197
APR-028242,PRJ-02946,PWD,Approved,38
APR-028243,PRJ-00956,PWD,Approved,19
APR-028244,PRJ-01463,District Administration,Pending,32
APR-028245,PRJ-03990,District Administration,Approved,1
APR-028246,PRJ-04601,RDO,Pending,103
APR-028247,PRJ-03317,RDO,Approved,38
APR-028248,PRJ-02104,District Administration,Approved,5
APR-028249,PRJ-01213,Rural Development,Approved,28
APR-028250,PRJ-03427,PWD,Approved,16
APR-028251,PRJ-00825,Revenue,Approved,41
APR-028252,PRJ-03497,RDO,Approved,16
APR-028253,PRJ-03504,RDO,Approved,3
APR-028254,PRJ-03731,District Administration,Approved,10
APR-028255,PRJ-03209,Rural Development,Approved,4
APR-028256,PRJ-01618,RDO,Approved,27
APR-028257,PRJ-03555,District Administration,Pending,222
APR-028258,PRJ-04990,PWD,Approved,1
APR-028259,PRJ-01636,PWD,Approved,34
APR-028260,PRJ-03838,Rural Development,Approved,25
APR-028261,PRJ-03482,Rural Development,Pending,228
APR-028262,PRJ-01456,PWD,Approved,10
APR-028263,PRJ-00354,Revenue,Approved,37
APR-028264,PRJ-03727,PWD,Approved,35
APR-028265,PRJ-00876,District Administration,Approved,34
APR-028266,PRJ-04013,PWD,Approved,31
APR-028267,PRJ-03990,Revenue,Approved,9
APR-028268,PRJ-00544,Revenue,Approved,3
APR-028269,PRJ-03398,RDO,Approved,32
APR-028270,PRJ-02130,RDO,Approved,39
APR-028271,PRJ-03023,Rural Development,Approved,20
APR-028272,PRJ-00242,Rural Development,Approved,9
APR-028273,PRJ-02003,District Administration,Approved,29
APR-028274,PRJ-00780,RDO,Approved,8
APR-028275,PRJ-00421,District Administration,Approved,2
APR-028276,PRJ-00999,PWD,Approved,17
APR-028277,PRJ-04277,PWD,Approved,27
APR-028278,PRJ-04568,Revenue,Approved,36
APR-028279,PRJ-04219,RDO,Approved,36
APR-028280,PRJ-00587,Revenue,Approved,6
APR-028281,PRJ-00394,PWD,Approved,40
APR-028282,PRJ-04796,District Administration,Approved,29
APR-028283,PRJ-02831,PWD,Approved,25
APR-028284,PRJ-03748,Rural Development,Approved,7
APR-028285,PRJ-00293,Revenue,Approved,39
APR-028286,PRJ-04209,Rural Development,Approved,28
APR-028287,PRJ-04787,RDO,Approved,20
APR-028288,PRJ-04269,RDO,Approved,44
APR-028289,PRJ-01000,RDO,Approved,7
APR-028290,PRJ-03399,Rural Development,Approved,27
APR-028291,PRJ-01429,PWD,Pending,410
APR-028292,PRJ-03732,RDO,Approved,3
APR-028293,PRJ-04838,District Administration,Approved,13
APR-028294,PRJ-00544,Rural Development,Approved,37
APR-028295,PRJ-00415,District Administration,Approved,44
APR-028296,PRJ-01397,RDO,Approved,31
APR-028297,PRJ-03986,District Administration,Approved,4
APR-028298,PRJ-00356,District Administration,Approved,4
APR-028299,PRJ-02340,PWD,Approved,32
APR-028300,PRJ-01630,PWD,Approved,28
APR-028301,PRJ-03372,District Administration,Approved,10
APR-028302,PRJ-01683,RDO,Approved,37
APR-028303,PRJ-02500,District Administration,Approved,29
APR-028304,PRJ-03107,PWD,Pending,279
APR-028305,PRJ-00453,District Administration,Approved,13
APR-028306,PRJ-03041,PWD,Approved,32
APR-028307,PRJ-01760,Revenue,Approved,43
APR-028308,PRJ-02314,Rural Development,Approved,41
APR-028309,PRJ-04739,Revenue,Pending,398
APR-028310,PRJ-03788,RDO,Approved,34
APR-028311,PRJ-04192,PWD,Approved,17
APR-028312,PRJ-04006,District Administration,Approved,23
APR-028313,PRJ-03405,PWD,Approved,24
APR-028314,PRJ-01886,District Administration,Approved,26
APR-028315,PRJ-01194,PWD,Approved,25
APR-028316,PRJ-04545,PWD,Approved,25
APR-028317,PRJ-04390,District Administration,Approved,31
APR-028318,PRJ-01223,RDO,Approved,33
APR-028319,PRJ-00112,Revenue,Approved,29
APR-028320,PRJ-02874,District Administration,Approved,0
APR-028321,PRJ-01937,Revenue,Approved,5
APR-028322,PRJ-02240,RDO,Approved,16
APR-028323,PRJ-04945,PWD,Approved,39
APR-028324,PRJ-00914,Revenue,Approved,16
APR-028325,PRJ-01289,RDO,Pending,338
APR-028326,PRJ-04089,Rural Development,Pending,391
APR-028327,PRJ-00814,District Administration,Approved,29
APR-028328,PRJ-02747,Revenue,Approved,17
APR-028329,PRJ-04024,District Administration,Approved,30
APR-028330,PRJ-02465,PWD,Approved,15
APR-028331,PRJ-02271,District Administration,Approved,26
APR-028332,PRJ-04016,Revenue,Pending,24
APR-028333,PRJ-02656,Rural Development,Pending,338
APR-028334,PRJ-00505,Revenue,Approved,2
APR-028335,PRJ-02041,PWD,Pending,66
APR-028336,PRJ-01770,Revenue,Pending,431
APR-028337,PRJ-01776,District Administration,Approved,17
APR-028338,PRJ-03507,Revenue,Pending,65
APR-028339,PRJ-01967,Revenue,Approved,18
APR-028340,PRJ-00062,District Administration,Approved,6
APR-028341,PRJ-00600,District Administration,Pending,247
APR-028342,PRJ-01730,RDO,Approved,5
APR-028343,PRJ-00564,Rural Development,Approved,35
APR-028344,PRJ-03802,Rural Development,Approved,38
APR-028345,PRJ-04005,PWD,Approved,11
APR-028346,PRJ-03850,Rural Development,Pending,46
APR-028347,PRJ-01596,District Administration,Approved,3
APR-028348,PRJ-01024,District Administration,Approved,6
APR-028349,PRJ-03408,Rural Development,Approved,12
APR-028350,PRJ-03514,PWD,Approved,17
APR-028351,PRJ-02722,Revenue,Approved,42
APR-028352,PRJ-04990,PWD,Approved,5
APR-028353,PRJ-04127,PWD,Approved,9
APR-028354,PRJ-00213,RDO,Pending,79
APR-028355,PRJ-00805,District Administration,Approved,32
APR-028356,PRJ-01271,District Administration,Pending,99
APR-028357,PRJ-04953,RDO,Approved,33
APR-028358,PRJ-03435,Revenue,Pending,252
APR-028359,PRJ-00051,RDO,Pending,472
APR-028360,PRJ-04210,District Administration,Approved,0
APR-028361,PRJ-01850,District Administration,Approved,18
APR-028362,PRJ-00056,PWD,Approved,25
APR-028363,PRJ-04166,PWD,Approved,8
APR-028364,PRJ-04552,Revenue,Approved,33
APR-028365,PRJ-02292,Revenue,Approved,28
APR-028366,PRJ-02452,District Administration,Approved,36
APR-028367,PRJ-02875,Revenue,Pending,101
APR-028368,PRJ-01504,District Administration,Approved,34
APR-028369,PRJ-00364,PWD,Approved,18
APR-028370,PRJ-03746,RDO,Approved,0
APR-028371,PRJ-00601,Rural Development,Approved,42
APR-028372,PRJ-04736,Revenue,Approved,37
APR-028373,PRJ-04609,District Administration,Approved,15
APR-028374,PRJ-00074,RDO,Pending,421
APR-028375,PRJ-02195,Revenue,Approved,16
APR-028376,PRJ-00254,Revenue,Approved,15
APR-028377,PRJ-02527,District Administration,Pending,443
APR-028378,PRJ-02707,District Administration,Approved,10
APR-028379,PRJ-03352,District Administration,Approved,33
APR-028380,PRJ-03083,PWD,Approved,28
APR-028381,PRJ-04592,Revenue,Approved,18
APR-028382,PRJ-04432,District Administration,Approved,42
APR-028383,PRJ-00936,RDO,Approved,39
APR-028384,PRJ-01602,Revenue,Approved,19
APR-028385,PRJ-02006,Rural Development,Approved,17
APR-028386,PRJ-01257,RDO,Pending,38
APR-028387,PRJ-00119,RDO,Pending,471
APR-028388,PRJ-03963,PWD,Approved,7
APR-028389,PRJ-01515,Rural Development,Approved,1
APR-028390,PRJ-03541,PWD,Pending,26
APR-028391,PRJ-00970,PWD,Approved,39
APR-028392,PRJ-04103,PWD,Approved,44
APR-028393,PRJ-04871,Rural Development,Pending,127
APR-028394,PRJ-03449,Revenue,Approved,19
APR-028395,PRJ-03496,PWD,Approved,35
APR-028396,PRJ-00657,RDO,Approved,34
APR-028397,PRJ-01946,Rural Development,Approved,3
APR-028398,PRJ-03592,Revenue,Approved,25
APR-028399,PRJ-04933,PWD,Approved,1
APR-028400,PRJ-03102,PWD,Approved,21
APR-028401,PRJ-02736,PWD,Approved,12
APR-028402,PRJ-02456,PWD,Approved,31
APR-028403,PRJ-02232,RDO,Approved,6
APR-028404,PRJ-03501,PWD,Approved,35
APR-028405,PRJ-02265,Revenue,Approved,8
APR-028406,PRJ-01414,District Administration,Approved,34
APR-028407,PRJ-03056,PWD,Approved,42
APR-028408,PRJ-04179,District Administration,Pending,352
APR-028409,PRJ-00871,PWD,Pending,145
APR-028410,PRJ-01701,Revenue,Approved,26
APR-028411,PRJ-02885,Revenue,Approved,0
APR-028412,PRJ-02448,Revenue,Approved,11
APR-028413,PRJ-00074,Revenue,Pending,319
APR-028414,PRJ-01862,PWD,Approved,26
APR-028415,PRJ-02627,PWD,Approved,31
APR-028416,PRJ-00266,Rural Development,Approved,38
APR-028417,PRJ-00110,District Administration,Approved,40
APR-028418,PRJ-01052,PWD,Approved,13
APR-028419,PRJ-03358,Revenue,Approved,41
APR-028420,PRJ-00822,Revenue,Approved,41
APR-028421,PRJ-03167,Revenue,Approved,28
APR-028422,PRJ-03123,PWD,Approved,26
APR-028423,PRJ-02291,PWD,Approved,28
APR-028424,PRJ-04649,District Administration,Approved,27
APR-028425,PRJ-01456,PWD,Approved,27
APR-028426,PRJ-00147,RDO,Approved,13
APR-028427,PRJ-04471,PWD,Approved,39
APR-028428,PRJ-01513,PWD,Approved,6
APR-028429,PRJ-01985,PWD,Approved,30
APR-028430,PRJ-01170,District Administration,Approved,30
APR-028431,PRJ-04243,PWD,Approved,29
APR-028432,PRJ-00014,Rural Development,Approved,19
APR-028433,PRJ-00732,District Administration,Approved,28
APR-028434,PRJ-03098,Rural Development,Pending,163
APR-028435,PRJ-01963,PWD,Approved,2
APR-028436,PRJ-00769,Rural Development,Approved,41
APR-028437,PRJ-04830,Revenue,Approved,33
APR-028438,PRJ-04837,District Administration,Approved,14
APR-028439,PRJ-04789,Revenue,Approved,41
APR-028440,PRJ-01423,District Administration,Approved,3
APR-028441,PRJ-03368,RDO,Approved,16
APR-028442,PRJ-04104,Rural Development,Approved,38
APR-028443,PRJ-00805,RDO,Approved,26
APR-028444,PRJ-00705,RDO,Pending,409
APR-028445,PRJ-00555,RDO,Approved,27
APR-028446,PRJ-00149,Revenue,Approved,21
APR-028447,PRJ-04318,PWD,Approved,8
APR-028448,PRJ-04554,District Administration,Pending,58
APR-028449,PRJ-04855,RDO,Approved,6
APR-028450,PRJ-00889,District Administration,Approved,9
APR-028451,PRJ-01575,Rural Development,Approved,33
APR-028452,PRJ-00294,PWD,Approved,39
APR-028453,PRJ-02989,RDO,Pending,340
APR-028454,PRJ-04467,Rural Development,Approved,6
APR-028455,PRJ-03505,Rural Development,Approved,7
APR-028456,PRJ-02848,PWD,Approved,22
APR-028457,PRJ-03308,RDO,Approved,35
APR-028458,PRJ-04278,Rural Development,Approved,19
APR-028459,PRJ-03615,Revenue,Approved,35
APR-028460,PRJ-01292,RDO,Approved,21
APR-028461,PRJ-01577,PWD,Approved,4
APR-028462,PRJ-00921,Revenue,Approved,41
APR-028463,PRJ-00471,Rural Development,Pending,433
APR-028464,PRJ-04144,Revenue,Approved,22
APR-028465,PRJ-00806,RDO,Approved,37
APR-028466,PRJ-03886,RDO,Approved,0
APR-028467,PRJ-00181,Revenue,Approved,18
APR-028468,PRJ-00738,PWD,Approved,40
APR-028469,PRJ-00156,PWD,Approved,29
APR-028470,PRJ-02570,Revenue,Approved,4
APR-028471,PRJ-01137,RDO,Approved,22
APR-028472,PRJ-02687,RDO,Approved,28
APR-028473,PRJ-04179,District Administration,Approved,19
APR-028474,PRJ-01794,Revenue,Pending,331
APR-028475,PRJ-00306,PWD,Approved,40
APR-028476,PRJ-04955,District Administration,Approved,1
APR-028477,PRJ-04590,Rural Development,Approved,11
APR-028478,PRJ-02641,RDO,Approved,40
APR-028479,PRJ-01587,District Administration,Pending,325
APR-028480,PRJ-03088,PWD,Approved,7
APR-028481,PRJ-02063,RDO,Pending,382
APR-028482,PRJ-03202,Rural Development,Pending,67
APR-028483,PRJ-02260,District Administration,Approved,29
APR-028484,PRJ-01862,Revenue,Approved,42
APR-028485,PRJ-03649,PWD,Approved,8
APR-028486,PRJ-02794,Revenue,Approved,37
APR-028487,PRJ-03241,Revenue,Approved,15
APR-028488,PRJ-04904,Rural Development,Approved,0
APR-028489,PRJ-03176,Revenue,Approved,27
APR-028490,PRJ-04634,PWD,Approved,34
APR-028491,PRJ-04829,RDO,Pending,65
APR-028492,PRJ-01387,RDO,Approved,0
APR-028493,PRJ-04586,Rural Development,Pending,190
APR-028494,PRJ-01762,PWD,Approved,20
APR-028495,PRJ-03792,Rural Development,Approved,31
APR-028496,PRJ-04962,Rural Development,Approved,20
APR-028497,PRJ-04934,Rural Development,Approved,44
APR-028498,PRJ-03819,PWD,Approved,0
APR-028499,PRJ-02638,PWD,Approved,37
APR-028500,PRJ-01773,PWD,Approved,12
APR-028501,PRJ-00501,Revenue,Approved,4
APR-028502,PRJ-00926,District Administration,Pending,483
APR-028503,PRJ-00633,District Administration,Approved,9
APR-028504,PRJ-01011,RDO,Approved,2
APR-028505,PRJ-00109,Rural Development,Approved,25
APR-028506,PRJ-01607,RDO,Approved,40
APR-028507,PRJ-02957,Rural Development,Approved,36
APR-028508,PRJ-02066,Rural Development,Approved,24
APR-028509,PRJ-03094,Revenue,Approved,42
APR-028510,PRJ-03408,District Administration,Pending,268
APR-028511,PRJ-00695,Revenue,Pending,263
APR-028512,PRJ-01889,Revenue,Approved,30
APR-028513,PRJ-00760,Revenue,Approved,19
APR-028514,PRJ-01477,PWD,Approved,5
APR-028515,PRJ-01063,District Administration,Approved,4
APR-028516,PRJ-02083,PWD,Approved,33
APR-028517,PRJ-00452,Rural Development,Approved,6
APR-028518,PRJ-01734,RDO,Pending,437
APR-028519,PRJ-01204,Revenue,Approved,12
APR-028520,PRJ-01676,PWD,Approved,43
APR-028521,PRJ-01670,Revenue,Approved,42
APR-028522,PRJ-00043,District Administration,Approved,7
APR-028523,PRJ-00018,PWD,Approved,42
APR-028524,PRJ-03728,Revenue,Approved,41
APR-028525,PRJ-02788,District Administration,Approved,5
APR-028526,PRJ-03697,Revenue,Approved,9
APR-028527,PRJ-01972,Revenue,Approved,9
APR-028528,PRJ-03513,District Administration,Approved,40
APR-028529,PRJ-02540,Rural Development,Approved,23
APR-028530,PRJ-02277,RDO,Approved,5
APR-028531,PRJ-04782,RDO,Approved,39
APR-028532,PRJ-04789,Revenue,Approved,7
APR-028533,PRJ-00885,RDO,Pending,244
APR-028534,PRJ-04732,PWD,Approved,16
APR-028535,PRJ-01826,District Administration,Approved,11
APR-028536,PRJ-03604,District Administration,Pending,435
APR-028537,PRJ-03431,RDO,Approved,25
APR-028538,PRJ-02136,Revenue,Approved,32
APR-028539,PRJ-04296,Revenue,Approved,34
APR-028540,PRJ-02083,District Administration,Approved,37
APR-028541,PRJ-03747,RDO,Pending,119
APR-028542,PRJ-01453,District Administration,Approved,6
APR-028543,PRJ-00195,Revenue,Approved,44
APR-028544,PRJ-04219,District Administration,Pending,481
APR-028545,PRJ-02487,District Administration,Approved,28
APR-028546,PRJ-02680,Rural Development,Approved,35
APR-028547,PRJ-00233,PWD,Approved,4
APR-028548,PRJ-00319,Rural Development,Approved,31
APR-028549,PRJ-02489,District Administration,Approved,24
APR-028550,PRJ-04715,District Administration,Approved,33
APR-028551,PRJ-03298,RDO,Approved,30
APR-028552,PRJ-02800,PWD,Pending,498
APR-028553,PRJ-01368,Revenue,Pending,383
APR-028554,PRJ-00058,Rural Development,Approved,22
APR-028555,PRJ-01749,RDO,Pending,309
APR-028556,PRJ-01128,Rural Development,Approved,19
APR-028557,PRJ-04228,District Administration,Approved,34
APR-028558,PRJ-03132,RDO,Approved,26
APR-028559,PRJ-03398,Rural Development,Approved,9
APR-028560,PRJ-03041,Revenue,Pending,385
APR-028561,PRJ-00846,Rural Development,Approved,17
APR-028562,PRJ-03976,RDO,Approved,9
APR-028563,PRJ-00821,District Administration,Approved,18
APR-028564,PRJ-04431,Rural Development,Approved,28
APR-028565,PRJ-01264,Revenue,Approved,30
APR-028566,PRJ-03018,RDO,Approved,32
APR-028567,PRJ-04012,RDO,Approved,6
APR-028568,PRJ-03123,Revenue,Approved,33
APR-028569,PRJ-04495,Revenue,Pending,130
APR-028570,PRJ-01786,Revenue,Approved,15
APR-028571,PRJ-02883,RDO,Approved,3
APR-028572,PRJ-03672,RDO,Approved,35
APR-028573,PRJ-02778,District Administration,Approved,17
APR-028574,PRJ-00852,District Administration,Approved,41
APR-028575,PRJ-00290,Revenue,Approved,11
APR-028576,PRJ-04978,RDO,Approved,0
APR-028577,PRJ-03879,RDO,Approved,44
APR-028578,PRJ-03762,RDO,Approved,43
APR-028579,PRJ-02896,District Administration,Approved,28
APR-028580,PRJ-00487,Revenue,Approved,23
APR-028581,PRJ-03450,Rural Development,Approved,36
APR-028582,PRJ-00610,PWD,Approved,19
APR-028583,PRJ-01429,PWD,Approved,41
APR-028584,PRJ-04683,District Administration,Approved,21
APR-028585,PRJ-03663,RDO,Approved,16
APR-028586,PRJ-02985,PWD,Pending,46
APR-028587,PRJ-01576,PWD,Pending,475
APR-028588,PRJ-02362,RDO,Approved,14
APR-028589,PRJ-00546,PWD,Approved,2
APR-028590,PRJ-01293,District Administration,Approved,42
APR-028591,PRJ-03090,District Administration,Approved,22
APR-028592,PRJ-04842,Revenue,Approved,28
APR-028593,PRJ-01074,Rural Development,Approved,7
APR-028594,PRJ-01575,Rural Development,Approved,5
APR-028595,PRJ-00575,Revenue,Pending,492
APR-028596,PRJ-01961,Revenue,Approved,25
APR-028597,PRJ-03741,PWD,Approved,34
APR-028598,PRJ-00028,Revenue,Pending,220
APR-028599,PRJ-02965,Revenue,Approved,35
APR-028600,PRJ-04808,District Administration,Approved,40
APR-028601,PRJ-02120,RDO,Approved,24
APR-028602,PRJ-00829,RDO,Approved,35
APR-028603,PRJ-04710,Revenue,Approved,42
APR-028604,PRJ-04480,RDO,Approved,28
APR-028605,PRJ-01930,Rural Development,Approved,17
APR-028606,PRJ-00459,PWD,Approved,30
APR-028607,PRJ-03286,Revenue,Approved,31
APR-028608,PRJ-03851,Revenue,Approved,18
APR-028609,PRJ-02941,Rural Development,Approved,37
APR-028610,PRJ-01529,RDO,Approved,42
APR-028611,PRJ-01650,Revenue,Approved,11
APR-028612,PRJ-03904,RDO,Approved,26
APR-028613,PRJ-03136,Revenue,Approved,26
APR-028614,PRJ-02797,Revenue,Approved,37
APR-028615,PRJ-04215,Revenue,Approved,5
APR-028616,PRJ-00281,Rural Development,Approved,19
APR-028617,PRJ-00207,Revenue,Approved,22
APR-028618,PRJ-03510,Rural Development,Approved,37
APR-028619,PRJ-00619,RDO,Approved,26
APR-028620,PRJ-04067,District Administration,Pending,492
APR-028621,PRJ-02976,Revenue,Approved,20
APR-028622,PRJ-02628,Revenue,Pending,481
APR-028623,PRJ-03010,Rural Development,Pending,175
APR-028624,PRJ-00547,PWD,Approved,7
APR-028625,PRJ-03061,RDO,Approved,15
APR-028626,PRJ-00700,PWD,Approved,32
APR-028627,PRJ-03333,RDO,Approved,15
APR-028628,PRJ-03349,PWD,Approved,10
APR-028629,PRJ-02492,Rural Development,Approved,28
APR-028630,PRJ-04975,District Administration,Approved,1
APR-028631,PRJ-03308,District Administration,Approved,5
APR-028632,PRJ-03985,PWD,Pending,107
APR-028633,PRJ-01420,RDO,Approved,38
APR-028634,PRJ-00945,District Administration,Approved,9
APR-028635,PRJ-01945,Rural Development,Approved,31
APR-028636,PRJ-02222,Rural Development,Approved,22
APR-028637,PRJ-03123,RDO,Approved,8
APR-028638,PRJ-00013,Revenue,Approved,33
APR-028639,PRJ-00656,Rural Development,Approved,6
APR-028640,PRJ-02274,Rural Development,Approved,42
APR-028641,PRJ-01729,Revenue,Approved,0
APR-028642,PRJ-00681,RDO,Approved,18
APR-028643,PRJ-02931,Rural Development,Approved,25
APR-028644,PRJ-02055,PWD,Approved,44
APR-028645,PRJ-03944,District Administration,Pending,254
APR-028646,PRJ-04709,Rural Development,Approved,4
APR-028647,PRJ-01490,Rural Development,Pending,99
APR-028648,PRJ-00948,PWD,Approved,8
APR-028649,PRJ-02260,Rural Development,Pending,294
APR-028650,PRJ-03516,Rural Development,Approved,42
APR-028651,PRJ-03232,Rural Development,Approved,11
APR-028652,PRJ-00237,District Administration,Approved,14
APR-028653,PRJ-03580,Revenue,Approved,40
APR-028654,PRJ-03148,PWD,Approved,21
APR-028655,PRJ-01312,RDO,Pending,306
APR-028656,PRJ-00231,Rural Development,Approved,3
APR-028657,PRJ-02616,District Administration,Approved,1
APR-028658,PRJ-00365,RDO,Approved,9
APR-028659,PRJ-02895,RDO,Approved,44
APR-028660,PRJ-00741,District Administration,Approved,1
APR-028661,PRJ-00460,Rural Development,Pending,466
APR-028662,PRJ-00553,District Administration,Approved,6
APR-028663,PRJ-01109,PWD,Approved,26
APR-028664,PRJ-03717,PWD,Approved,36
APR-028665,PRJ-03741,RDO,Approved,8
APR-028666,PRJ-00042,Revenue,Approved,36
APR-028667,PRJ-04026,RDO,Approved,14
APR-028668,PRJ-03191,RDO,Approved,9
APR-028669,PRJ-00249,Rural Development,Approved,8
APR-028670,PRJ-03245,Rural Development,Approved,17
APR-028671,PRJ-04313,District Administration,Approved,38
APR-028672,PRJ-04416,RDO,Approved,22
APR-028673,PRJ-04903,District Administration,Approved,7
APR-028674,PRJ-04779,District Administration,Approved,23
APR-028675,PRJ-00967,PWD,Approved,20
APR-028676,PRJ-01566,Revenue,Approved,18
APR-028677,PRJ-01590,PWD,Approved,14
APR-028678,PRJ-03552,District Administration,Approved,24
APR-028679,PRJ-03420,Revenue,Approved,21
APR-028680,PRJ-01053,Revenue,Approved,26
APR-028681,PRJ-01333,Revenue,Approved,36
APR-028682,PRJ-03415,RDO,Approved,35
APR-028683,PRJ-02271,Rural Development,Pending,422
APR-028684,PRJ-03007,PWD,Approved,3
APR-028685,PRJ-00070,Rural Development,Approved,19
APR-028686,PRJ-02180,Rural Development,Approved,41
APR-028687,PRJ-02729,District Administration,Approved,15
APR-028688,PRJ-00297,PWD,Approved,11
APR-028689,PRJ-02586,RDO,Approved,30
APR-028690,PRJ-01833,Revenue,Pending,347
APR-028691,PRJ-00816,RDO,Approved,12
APR-028692,PRJ-04434,Revenue,Approved,39
APR-028693,PRJ-00034,PWD,Approved,8
APR-028694,PRJ-04988,PWD,Approved,8
APR-028695,PRJ-01899,PWD,Approved,20
APR-028696,PRJ-02253,PWD,Approved,27
APR-028697,PRJ-03879,Rural Development,Approved,34
APR-028698,PRJ-01844,PWD,Approved,9
APR-028699,PRJ-02694,Rural Development,Approved,7
APR-028700,PRJ-01084,Rural Development,Approved,23
APR-028701,PRJ-02297,Rural Development,Approved,7
APR-028702,PRJ-00632,PWD,Approved,1
APR-028703,PRJ-04398,Revenue,Approved,12
APR-028704,PRJ-00966,Rural Development,Approved,31
APR-028705,PRJ-03562,Rural Development,Approved,31
APR-028706,PRJ-04626,District Administration,Pending,170
APR-028707,PRJ-02662,Rural Development,Approved,29
APR-028708,PRJ-03704,Revenue,Pending,318
APR-028709,PRJ-04400,RDO,Approved,42
APR-028710,PRJ-01435,District Administration,Approved,11
APR-028711,PRJ-01640,Rural Development,Approved,32
APR-028712,PRJ-01236,Rural Development,Approved,15
APR-028713,PRJ-03177,Revenue,Approved,15
APR-028714,PRJ-04815,Rural Development,Approved,44
APR-028715,PRJ-03815,District Administration,Approved,44
APR-028716,PRJ-01518,RDO,Approved,3
APR-028717,PRJ-00243,RDO,Approved,5
APR-028718,PRJ-03033,PWD,Approved,12
APR-028719,PRJ-00326,RDO,Approved,15
APR-028720,PRJ-00486,PWD,Approved,36
APR-028721,PRJ-03382,PWD,Approved,8
APR-028722,PRJ-04588,Revenue,Approved,24
APR-028723,PRJ-02132,District Administration,Approved,8
APR-028724,PRJ-01927,RDO,Approved,31
APR-028725,PRJ-02622,PWD,Approved,30
APR-028726,PRJ-03626,Rural Development,Approved,22
APR-028727,PRJ-00931,District Administration,Pending,232
APR-028728,PRJ-04027,Rural Development,Approved,41
APR-028729,PRJ-03242,Rural Development,Approved,9
APR-028730,PRJ-01177,PWD,Pending,95
APR-028731,PRJ-01046,District Administration,Approved,8
APR-028732,PRJ-01184,Rural Development,Approved,3
APR-028733,PRJ-01405,PWD,Approved,5
APR-028734,PRJ-00233,RDO,Approved,23
APR-028735,PRJ-04172,PWD,Approved,21
APR-028736,PRJ-00173,Rural Development,Approved,18
APR-028737,PRJ-04171,PWD,Approved,35
APR-028738,PRJ-04072,District Administration,Pending,284
APR-028739,PRJ-04102,RDO,Approved,38
APR-028740,PRJ-04948,RDO,Approved,44
