document_id,record_id,document_type,language,image_quality,document_year
DOC-025964,25964,Patta,Tamil,Moderate,2013
DOC-025965,25965,FMB,Tamil,Poor,1983
DOC-025966,25966,Patta,Tamil-English,Moderate,2004
DOC-025967,25967,A-Register,Tamil,Moderate,1987
DOC-025968,25968,Patta,Tamil-English,Good,2023
DOC-025969,25969,A-Register,Tamil,Good,1981
DOC-025970,25970,Mutation Order,Tamil-English,Moderate,2010
DOC-025971,25971,Chitta,Tamil,Faded,1985
DOC-025972,25972,Mutation Order,Tamil,Moderate,1994
DOC-025973,25973,Sale Deed,English,Moderate,1995
DOC-025974,25974,A-Register,Tamil,Poor,1980
DOC-025975,25975,A-Register,Tamil,Good,2002
DOC-025976,25976,A-Register,Tamil,Faded,2013
DOC-025977,25977,A-Register,Tamil,Good,1990
DOC-025978,25978,Sale Deed,Tamil,Moderate,1988
DOC-025979,25979,A-Register,Tamil,Good,1986
DOC-025980,25980,A-Register,Tamil,Good,2000
DOC-025981,25981,Sale Deed,Tamil-English,Good,2010
DOC-025982,25982,FMB,Tamil-English,Moderate,1984
DOC-025983,25983,A-Register,Tamil,Good,1985
DOC-025984,25984,Sale Deed,English,Good,2015
DOC-025985,25985,Mutation Order,English,Faded,2009
DOC-025986,25986,Mutation Order,Tamil,Poor,1998
DOC-025987,25987,Mutation Order,Tamil,Moderate,2016
DOC-025988,25988,A-Register,Tamil,Good,2010
DOC-025989,25989,Sale Deed,Tamil,Moderate,2018
DOC-025990,25990,Mutation Order,Tamil-English,Good,2005
DOC-025991,25991,FMB,Tamil,Moderate,2012
DOC-025992,25992,Chitta,Tamil-English,Moderate,1995
DOC-025993,25993,Sale Deed,English,Moderate,2010
DOC-025994,25994,Sale Deed,Tamil,Moderate,1995
DOC-025995,25995,Patta,Tamil-English,Faded,2009
DOC-025996,25996,Mutation Order,English,Poor,2002
DOC-025997,25997,Sale Deed,Tamil-English,Good,2015
DOC-025998,25998,FMB,Tamil-English,Moderate,2010
DOC-025999,25999,FMB,Tamil,Moderate,2022
DOC-026000,26000,FMB,Tamil,Moderate,2018
DOC-026001,26001,FMB,Tamil,Good,2002
DOC-026002,26002,Patta,Tamil,Moderate,2000
DOC-026003,26003,Patta,Tamil,Poor,1991
DOC-026004,26004,Mutation Order,Tamil-English,Moderate,2013
DOC-026005,26005,Patta,Tamil,Moderate,2022
DOC-026006,26006,FMB,Tamil,Moderate,1991
DOC-026007,26007,FMB,Tamil,Poor,2004
DOC-026008,26008,Mutation Order,Tamil,Good,1989
DOC-026009,26009,Sale Deed,Tamil,Poor,1997
DOC-026010,26010,Sale Deed,Tamil-English,Poor,1990
DOC-026011,26011,FMB,Tamil,Moderate,2025
DOC-026012,26012,Mutation Order,Tamil,Good,2018
DOC-026013,26013,Chitta,Tamil,Good,2007
DOC-026014,26014,FMB,Tamil,Good,2005
DOC-026015,26015,Chitta,Tamil,Faded,2023
DOC-026016,26016,Patta,Tamil,Poor,1992
DOC-026017,26017,Sale Deed,Tamil,Poor,1996
DOC-026018,26018,Sale Deed,Tamil,Good,1990
DOC-026019,26019,Mutation Order,Tamil,Moderate,2020
DOC-026020,26020,Sale Deed,Tamil,Good,2019
DOC-026021,26021,Patta,Tamil,Good,2009
DOC-026022,26022,Chitta,Tamil-English,Poor,1987
DOC-026023,26023,A-Register,Tamil,Moderate,2022
DOC-026024,26024,Patta,English,Moderate,2010
DOC-026025,26025,Chitta,Tamil,Good,2023
DOC-026026,26026,Chitta,Tamil,Moderate,2003
DOC-026027,26027,FMB,Tamil,Moderate,1983
DOC-026028,26028,Chitta,Tamil,Poor,1997
DOC-026029,26029,FMB,Tamil,Good,1984
DOC-026030,26030,A-Register,Tamil,Moderate,1989
DOC-026031,26031,FMB,Tamil-English,Good,1997
DOC-026032,26032,Patta,Tamil,Good,1985
DOC-026033,26033,Chitta,English,Poor,1994
DOC-026034,26034,A-Register,English,Good,2014
DOC-026035,26035,FMB,Tamil,Good,1998
DOC-026036,26036,Patta,Tamil,Faded,1981
DOC-026037,26037,FMB,Tamil-English,Good,1993
DOC-026038,26038,Sale Deed,Tamil,Poor,2025
DOC-026039,26039,FMB,Tamil,Good,1981
DOC-026040,26040,FMB,Tamil,Good,2012
DOC-026041,26041,A-Register,Tamil,Good,1996
DOC-026042,26042,Patta,Tamil,Moderate,2023
DOC-026043,26043,Patta,Tamil,Good,1994
DOC-026044,26044,FMB,Tamil-English,Good,1986
DOC-026045,26045,FMB,English,Good,2010
DOC-026046,26046,Patta,Tamil-English,Good,2004
DOC-026047,26047,Patta,Tamil-English,Good,1989
DOC-026048,26048,Sale Deed,Tamil,Moderate,1986
DOC-026049,26049,Mutation Order,Tamil,Moderate,2006
DOC-026050,26050,Sale Deed,Tamil,Faded,1983
DOC-026051,26051,A-Register,Tamil-English,Moderate,1982
DOC-026052,26052,A-Register,Tamil,Good,2014
DOC-026053,26053,Chitta,Tamil,Moderate,2016
DOC-026054,26054,Mutation Order,Tamil,Good,1987
DOC-026055,26055,Patta,Tamil,Moderate,1981
DOC-026056,26056,A-Register,Tamil,Good,1987
DOC-026057,26057,Mutation Order,Tamil-English,Good,2013
DOC-026058,26058,Chitta,Tamil,Good,1981
DOC-026059,26059,Patta,Tamil,Moderate,1996
DOC-026060,26060,Sale Deed,Tamil,Good,1997
DOC-026061,26061,FMB,Tamil,Good,1995
DOC-026062,26062,Mutation Order,Tamil,Moderate,1996
DOC-026063,26063,Mutation Order,Tamil,Faded,1997
DOC-026064,26064,Mutation Order,Tamil,Good,1993
DOC-026065,26065,Sale Deed,Tamil,Moderate,2002
DOC-026066,26066,A-Register,Tamil-English,Good,1981
DOC-026067,26067,Chitta,English,Moderate,2005
DOC-026068,26068,Patta,Tamil,Good,2016
DOC-026069,26069,Patta,Tamil,Poor,1990
DOC-026070,26070,Chitta,Tamil,Good,2013
DOC-026071,26071,Sale Deed,English,Moderate,2003
DOC-026072,26072,Chitta,Tamil-English,Good,2024
DOC-026073,26073,A-Register,Tamil,Moderate,2018
DOC-026074,26074,FMB,Tamil,Moderate,1991
DOC-026075,26075,Sale Deed,Tamil,Good,2015
DOC-026076,26076,Chitta,Tamil,Poor,1988
DOC-026077,26077,FMB,Tamil,Good,2000
DOC-026078,26078,FMB,Tamil,Moderate,1987
DOC-026079,26079,Chitta,Tamil,Good,2005
DOC-026080,26080,Mutation Order,Tamil,Good,1994
DOC-026081,26081,FMB,Tamil,Good,2019
DOC-026082,26082,Chitta,Tamil,Moderate,2022
DOC-026083,26083,Sale Deed,Tamil-English,Moderate,1983
DOC-026084,26084,A-Register,Tamil,Moderate,1998
DOC-026085,26085,FMB,Tamil,Moderate,2019
DOC-026086,26086,FMB,Tamil,Moderate,2006
DOC-026087,26087,Mutation Order,Tamil,Good,1996
DOC-026088,26088,Mutation Order,Tamil,Moderate,1983
DOC-026089,26089,A-Register,English,Poor,2016
DOC-026090,26090,Patta,Tamil,Moderate,1985
DOC-026091,26091,Patta,Tamil,Poor,2020
DOC-026092,26092,FMB,Tamil,Moderate,2007
DOC-026093,26093,Sale Deed,Tamil-English,Good,2005
DOC-026094,26094,FMB,Tamil,Moderate,2006
DOC-026095,26095,Sale Deed,Tamil,Poor,2019
DOC-026096,26096,Sale Deed,Tamil,Good,2002
DOC-026097,26097,Chitta,Tamil,Good,2001
DOC-026098,26098,Chitta,English,Good,2008
DOC-026099,26099,Sale Deed,Tamil-English,Good,2013
DOC-026100,26100,Sale Deed,Tamil,Poor,2014
DOC-026101,26101,Mutation Order,English,Good,2020
DOC-026102,26102,Patta,Tamil-English,Moderate,2002
DOC-026103,26103,FMB,English,Moderate,1990
DOC-026104,26104,Sale Deed,Tamil,Good,1988
DOC-026105,26105,FMB,Tamil,Poor,2000
DOC-026106,26106,Mutation Order,Tamil,Good,2005
DOC-026107,26107,FMB,Tamil-English,Moderate,1992
DOC-026108,26108,Patta,Tamil,Poor,2012
DOC-026109,26109,Sale Deed,Tamil-English,Good,1985
DOC-026110,26110,FMB,Tamil,Good,2011
DOC-026111,26111,Chitta,Tamil,Poor,2010
DOC-026112,26112,FMB,Tamil-English,Moderate,1997
DOC-026113,26113,Chitta,Tamil,Good,1988
DOC-026114,26114,Chitta,Tamil,Moderate,1997
DOC-026115,26115,Sale Deed,Tamil,Moderate,2015
DOC-026116,26116,Mutation Order,Tamil,Good,1992
DOC-026117,26117,FMB,Tamil,Good,1985
DOC-026118,26118,A-Register,Tamil,Good,1982
DOC-026119,26119,Chitta,Tamil,Good,2016
DOC-026120,26120,Mutation Order,English,Good,1992
DOC-026121,26121,A-Register,Tamil,Poor,1995
DOC-026122,26122,A-Register,English,Moderate,1999
DOC-026123,26123,Mutation Order,Tamil,Moderate,1998
DOC-026124,26124,A-Register,Tamil,Poor,2015
DOC-026125,26125,Mutation Order,Tamil,Faded,2006
DOC-026126,26126,Mutation Order,Tamil,Moderate,2006
DOC-026127,26127,Patta,English,Moderate,2002
DOC-026128,26128,Mutation Order,Tamil-English,Moderate,2005
DOC-026129,26129,Chitta,Tamil,Moderate,2005
DOC-026130,26130,Mutation Order,Tamil,Moderate,1997
DOC-026131,26131,A-Register,Tamil,Moderate,1998
DOC-026132,26132,Sale Deed,Tamil,Moderate,2021
DOC-026133,26133,Mutation Order,Tamil-English,Good,1997
DOC-026134,26134,FMB,Tamil,Moderate,1981
DOC-026135,26135,Patta,Tamil,Moderate,1993
DOC-026136,26136,FMB,Tamil,Faded,2002
DOC-026137,26137,Mutation Order,Tamil-English,Good,2005
DOC-026138,26138,FMB,Tamil-English,Good,2021
DOC-026139,26139,Sale Deed,Tamil-English,Moderate,2010
DOC-026140,26140,Sale Deed,Tamil-English,Moderate,2025
DOC-026141,26141,Chitta,Tamil,Good,2004
DOC-026142,26142,Chitta,Tamil,Good,1983
DOC-026143,26143,Mutation Order,Tamil,Faded,2008
DOC-026144,26144,A-Register,Tamil,Good,2001
DOC-026145,26145,Chitta,Tamil,Moderate,2023
DOC-026146,26146,A-Register,Tamil,Moderate,1999
DOC-026147,26147,Chitta,Tamil,Moderate,2012
DOC-026148,26148,Sale Deed,Tamil,Good,2013
DOC-026149,26149,Mutation Order,Tamil-English,Good,2011
DOC-026150,26150,A-Register,Tamil,Moderate,2000
DOC-026151,26151,FMB,Tamil,Good,2025
DOC-026152,26152,A-Register,Tamil,Moderate,1980
DOC-026153,26153,A-Register,English,Moderate,2014
DOC-026154,26154,Chitta,Tamil,Good,2015
DOC-026155,26155,Mutation Order,Tamil,Moderate,2007
DOC-026156,26156,Patta,Tamil,Good,2004
DOC-026157,26157,FMB,Tamil-English,Moderate,1990
DOC-026158,26158,FMB,English,Moderate,2001
DOC-026159,26159,A-Register,Tamil,Poor,2021
DOC-026160,26160,FMB,Tamil-English,Good,2007
DOC-026161,26161,A-Register,Tamil,Good,2002
DOC-026162,26162,Chitta,Tamil,Moderate,1993
DOC-026163,26163,FMB,Tamil-English,Good,2005
DOC-026164,26164,Mutation Order,Tamil,Good,2018
DOC-026165,26165,Mutation Order,Tamil,Poor,1989
DOC-026166,26166,Mutation Order,Tamil,Good,2001
DOC-026167,26167,Patta,English,Moderate,1988
DOC-026168,26168,Patta,Tamil,Poor,2008
DOC-026169,26169,Patta,Tamil,Moderate,2021
DOC-026170,26170,Patta,Tamil-English,Moderate,2012
DOC-026171,26171,Patta,Tamil,Moderate,2007
DOC-026172,26172,FMB,Tamil-English,Good,2025
DOC-026173,26173,Sale Deed,Tamil,Good,2022
DOC-026174,26174,FMB,English,Moderate,1983
DOC-026175,26175,Mutation Order,Tamil,Good,1989
DOC-026176,26176,Patta,Tamil,Poor,2007
DOC-026177,26177,A-Register,Tamil-English,Good,2019
DOC-026178,26178,Patta,Tamil,Poor,1998
DOC-026179,26179,A-Register,Tamil,Good,2010
DOC-026180,26180,Sale Deed,Tamil,Good,2001
DOC-026181,26181,Sale Deed,Tamil,Good,2014
DOC-026182,26182,Chitta,Tamil-English,Moderate,1996
DOC-026183,26183,Sale Deed,Tamil,Good,2019
DOC-026184,26184,FMB,English,Good,2022
DOC-026185,26185,Sale Deed,Tamil,Good,2024
DOC-026186,26186,Sale Deed,Tamil-English,Moderate,1983
DOC-026187,26187,Sale Deed,Tamil,Poor,2005
DOC-026188,26188,Mutation Order,Tamil-English,Good,2019
DOC-026189,26189,Patta,Tamil,Moderate,2006
DOC-026190,26190,Sale Deed,Tamil,Moderate,2011
DOC-026191,26191,Mutation Order,English,Good,2000
DOC-026192,26192,A-Register,Tamil-English,Moderate,2005
DOC-026193,26193,FMB,Tamil,Moderate,1987
DOC-026194,26194,Mutation Order,Tamil-English,Good,1982
DOC-026195,26195,Mutation Order,Tamil-English,Moderate,1994
DOC-026196,26196,FMB,Tamil,Good,2021
DOC-026197,26197,Patta,Tamil,Moderate,1985
DOC-026198,26198,Sale Deed,Tamil,Good,1995
DOC-026199,26199,A-Register,Tamil,Good,2000
DOC-026200,26200,Mutation Order,Tamil,Good,2009
DOC-026201,26201,Mutation Order,Tamil-English,Moderate,2025
DOC-026202,26202,FMB,Tamil-English,Good,2022
DOC-026203,26203,A-Register,English,Moderate,2018
DOC-026204,26204,A-Register,Tamil,Good,1990
DOC-026205,26205,FMB,Tamil-English,Moderate,2016
DOC-026206,26206,Sale Deed,Tamil-English,Moderate,2023
DOC-026207,26207,A-Register,Tamil-English,Moderate,2001
DOC-026208,26208,Mutation Order,Tamil-English,Good,1992
DOC-026209,26209,Chitta,Tamil,Good,2011
DOC-026210,26210,A-Register,English,Moderate,1983
DOC-026211,26211,Patta,Tamil,Moderate,1994
DOC-026212,26212,A-Register,Tamil-English,Moderate,2021
DOC-026213,26213,Mutation Order,Tamil,Good,2005
DOC-026214,26214,Patta,Tamil,Faded,1991
DOC-026215,26215,Chitta,Tamil,Good,2013
DOC-026216,26216,A-Register,Tamil-English,Moderate,2016
DOC-026217,26217,Mutation Order,Tamil,Moderate,1996
DOC-026218,26218,Sale Deed,Tamil,Good,1999
DOC-026219,26219,Mutation Order,Tamil,Good,2003
DOC-026220,26220,FMB,Tamil-English,Moderate,1985
DOC-026221,26221,Sale Deed,Tamil,Good,1999
DOC-026222,26222,A-Register,Tamil-English,Good,2023
DOC-026223,26223,Chitta,Tamil,Moderate,2013
DOC-026224,26224,A-Register,Tamil,Moderate,2008
DOC-026225,26225,Patta,Tamil,Good,1989
DOC-026226,26226,Chitta,Tamil,Moderate,1982
DOC-026227,26227,FMB,English,Moderate,2019
DOC-026228,26228,Mutation Order,Tamil-English,Good,2005
DOC-026229,26229,Patta,English,Good,1999
DOC-026230,26230,Chitta,English,Good,2017
DOC-026231,26231,FMB,English,Good,2018
DOC-026232,26232,Patta,Tamil-English,Moderate,2007
DOC-026233,26233,FMB,Tamil,Good,2019
DOC-026234,26234,A-Register,Tamil,Moderate,1990
DOC-026235,26235,FMB,Tamil,Good,1995
DOC-026236,26236,A-Register,Tamil,Moderate,1999
DOC-026237,26237,Sale Deed,Tamil,Moderate,2014
DOC-026238,26238,Mutation Order,Tamil,Moderate,2010
DOC-026239,26239,Chitta,Tamil-English,Good,1988
DOC-026240,26240,Chitta,Tamil,Moderate,2013
DOC-026241,26241,Mutation Order,Tamil-English,Moderate,2024
DOC-026242,26242,A-Register,Tamil,Good,2013
DOC-026243,26243,Chitta,Tamil-English,Good,2021
DOC-026244,26244,FMB,Tamil,Moderate,2019
DOC-026245,26245,Mutation Order,Tamil,Good,2021
DOC-026246,26246,Chitta,Tamil,Moderate,2022
DOC-026247,26247,Mutation Order,Tamil,Good,2022
DOC-026248,26248,FMB,English,Poor,2022
DOC-026249,26249,A-Register,Tamil,Good,2017
DOC-026250,26250,FMB,Tamil-English,Good,2007
DOC-026251,26251,Mutation Order,Tamil,Moderate,1980
DOC-026252,26252,Mutation Order,English,Good,2008
DOC-026253,26253,A-Register,Tamil,Good,2010
DOC-026254,26254,Chitta,Tamil,Good,1984
DOC-026255,26255,A-Register,English,Good,2011
DOC-026256,26256,A-Register,Tamil,Good,2020
DOC-026257,26257,FMB,Tamil-English,Moderate,2010
DOC-026258,26258,Patta,Tamil,Good,2004
DOC-026259,26259,Sale Deed,Tamil,Good,2002
DOC-026260,26260,A-Register,Tamil,Moderate,2025
DOC-026261,26261,Sale Deed,Tamil,Moderate,2001
DOC-026262,26262,A-Register,Tamil,Moderate,1990
DOC-026263,26263,FMB,Tamil,Good,2019
DOC-026264,26264,Sale Deed,Tamil-English,Poor,1987
DOC-026265,26265,Patta,English,Good,2001
DOC-026266,26266,A-Register,Tamil,Moderate,2004
DOC-026267,26267,Chitta,Tamil-English,Good,2011
DOC-026268,26268,Sale Deed,English,Good,1987
DOC-026269,26269,A-Register,Tamil-English,Moderate,2005
DOC-026270,26270,Patta,English,Good,1985
DOC-026271,26271,A-Register,Tamil,Good,1988
DOC-026272,26272,Chitta,Tamil,Poor,2001
DOC-026273,26273,Sale Deed,Tamil,Good,2022
DOC-026274,26274,Mutation Order,Tamil,Poor,1980
DOC-026275,26275,Sale Deed,Tamil,Good,2001
DOC-026276,26276,Mutation Order,Tamil,Moderate,1984
DOC-026277,26277,Sale Deed,Tamil,Moderate,1985
DOC-026278,26278,Chitta,Tamil,Good,2004
DOC-026279,26279,FMB,Tamil,Moderate,2016
DOC-026280,26280,A-Register,Tamil-English,Faded,2011
DOC-026281,26281,A-Register,Tamil-English,Poor,1997
DOC-026282,26282,Mutation Order,Tamil-English,Poor,1981
DOC-026283,26283,Mutation Order,Tamil,Moderate,2010
DOC-026284,26284,Mutation Order,Tamil,Moderate,2011
DOC-026285,26285,Chitta,Tamil,Good,2016
DOC-026286,26286,Mutation Order,Tamil,Good,2013
DOC-026287,26287,FMB,Tamil,Good,1998
DOC-026288,26288,A-Register,Tamil-English,Moderate,2003
DOC-026289,26289,Sale Deed,Tamil,Moderate,2020
DOC-026290,26290,Patta,English,Good,1996
DOC-026291,26291,FMB,Tamil,Moderate,2019
DOC-026292,26292,Patta,Tamil,Moderate,1998
DOC-026293,26293,FMB,Tamil,Poor,1992
DOC-026294,26294,A-Register,English,Good,1980
DOC-026295,26295,A-Register,Tamil,Poor,1983
DOC-026296,26296,Patta,Tamil,Good,2024
DOC-026297,26297,A-Register,Tamil,Moderate,2025
DOC-026298,26298,Patta,Tamil,Poor,1994
DOC-026299,26299,Chitta,Tamil,Moderate,1989
DOC-026300,26300,Chitta,Tamil,Good,1996
DOC-026301,26301,A-Register,Tamil-English,Faded,2005
DOC-026302,26302,Mutation Order,Tamil,Moderate,2017
DOC-026303,26303,FMB,Tamil,Good,2002
DOC-026304,26304,FMB,English,Faded,2021
DOC-026305,26305,FMB,Tamil,Moderate,2017
DOC-026306,26306,Sale Deed,Tamil-English,Good,2017
DOC-026307,26307,Mutation Order,Tamil,Good,2011
DOC-026308,26308,Chitta,Tamil,Moderate,1982
DOC-026309,26309,FMB,Tamil,Moderate,2019
DOC-026310,26310,Mutation Order,Tamil,Poor,2023
DOC-026311,26311,Chitta,Tamil,Poor,1985
DOC-026312,26312,A-Register,Tamil-English,Good,1986
DOC-026313,26313,A-Register,Tamil-English,Moderate,2005
DOC-026314,26314,Chitta,Tamil-English,Moderate,1983
DOC-026315,26315,FMB,Tamil-English,Moderate,2005
DOC-026316,26316,Mutation Order,Tamil,Good,2016
DOC-026317,26317,Sale Deed,Tamil-English,Poor,1984
DOC-026318,26318,Patta,Tamil,Good,1997
DOC-026319,26319,Sale Deed,English,Moderate,2023
DOC-026320,26320,Sale Deed,Tamil,Poor,2009
DOC-026321,26321,Sale Deed,Tamil,Good,1991
DOC-026322,26322,Patta,Tamil,Faded,1993
DOC-026323,26323,Sale Deed,Tamil,Moderate,2014
DOC-026324,26324,Sale Deed,Tamil,Moderate,1999
DOC-026325,26325,A-Register,Tamil,Moderate,1997
DOC-026326,26326,Mutation Order,Tamil,Moderate,2019
DOC-026327,26327,Mutation Order,Tamil,Moderate,1987
DOC-026328,26328,FMB,Tamil,Moderate,1989
DOC-026329,26329,Patta,Tamil,Good,1990
DOC-026330,26330,Chitta,Tamil,Faded,2002
DOC-026331,26331,Patta,Tamil,Good,2003
DOC-026332,26332,FMB,Tamil,Good,1993
DOC-026333,26333,Patta,Tamil-English,Moderate,1986
DOC-026334,26334,Sale Deed,Tamil,Faded,2025
DOC-026335,26335,Sale Deed,English,Moderate,2016
DOC-026336,26336,A-Register,Tamil,Moderate,1990
DOC-026337,26337,Sale Deed,Tamil-English,Poor,2022
DOC-026338,26338,FMB,Tamil,Moderate,2002
DOC-026339,26339,FMB,Tamil,Poor,1988
DOC-026340,26340,FMB,Tamil,Good,1994
DOC-026341,26341,Mutation Order,English,Poor,1995
DOC-026342,26342,Chitta,Tamil,Moderate,2001
DOC-026343,26343,Mutation Order,Tamil,Moderate,1988
DOC-026344,26344,Mutation Order,Tamil-English,Good,2014
DOC-026345,26345,Mutation Order,Tamil,Moderate,2013
DOC-026346,26346,Chitta,Tamil,Moderate,2018
DOC-026347,26347,Mutation Order,Tamil,Good,1982
DOC-026348,26348,FMB,Tamil,Poor,1999
DOC-026349,26349,Patta,Tamil,Moderate,2000
DOC-026350,26350,Chitta,English,Moderate,2016
DOC-026351,26351,Patta,Tamil-English,Good,2002
DOC-026352,26352,Mutation Order,Tamil,Good,2020
DOC-026353,26353,A-Register,Tamil,Poor,2010
DOC-026354,26354,Patta,Tamil,Good,1998
DOC-026355,26355,Mutation Order,Tamil,Poor,2011
DOC-026356,26356,Chitta,Tamil-English,Good,2013
DOC-026357,26357,FMB,Tamil,Good,1996
DOC-026358,26358,Mutation Order,Tamil-English,Good,2020
DOC-026359,26359,FMB,Tamil,Faded,2003
DOC-026360,26360,Sale Deed,Tamil,Poor,2016
DOC-026361,26361,Sale Deed,Tamil,Good,1994
DOC-026362,26362,Patta,Tamil,Poor,1985
DOC-026363,26363,FMB,Tamil-English,Good,1985
DOC-026364,26364,Patta,Tamil-English,Good,2009
DOC-026365,26365,Chitta,Tamil,Moderate,2024
DOC-026366,26366,A-Register,Tamil-English,Faded,1998
DOC-026367,26367,FMB,Tamil,Moderate,2022
DOC-026368,26368,Patta,Tamil,Good,1994
DOC-026369,26369,Patta,Tamil,Moderate,2018
DOC-026370,26370,Chitta,Tamil,Moderate,2016
DOC-026371,26371,Sale Deed,Tamil,Good,2023
DOC-026372,26372,Mutation Order,Tamil,Poor,1998
DOC-026373,26373,Mutation Order,English,Poor,2011
DOC-026374,26374,Patta,English,Moderate,2011
DOC-026375,26375,Chitta,Tamil-English,Moderate,1983
DOC-026376,26376,Mutation Order,Tamil,Poor,1990
DOC-026377,26377,Mutation Order,Tamil,Moderate,1980
DOC-026378,26378,Patta,Tamil,Good,1983
DOC-026379,26379,Sale Deed,Tamil-English,Moderate,2023
DOC-026380,26380,Sale Deed,English,Poor,1992
DOC-026381,26381,FMB,Tamil,Moderate,2019
DOC-026382,26382,Patta,Tamil,Poor,2003
DOC-026383,26383,Mutation Order,Tamil,Good,2011
DOC-026384,26384,Patta,Tamil-English,Moderate,2016
DOC-026385,26385,FMB,Tamil,Moderate,2016
DOC-026386,26386,Chitta,Tamil,Good,1994
DOC-026387,26387,Mutation Order,Tamil,Good,1989
DOC-026388,26388,Sale Deed,English,Good,2023
DOC-026389,26389,Chitta,English,Poor,1992
DOC-026390,26390,Chitta,Tamil-English,Good,1990
DOC-026391,26391,Sale Deed,Tamil,Good,1983
DOC-026392,26392,Sale Deed,Tamil-English,Moderate,1982
DOC-026393,26393,Patta,Tamil-English,Moderate,2016
DOC-026394,26394,Mutation Order,Tamil,Good,2012
DOC-026395,26395,Sale Deed,Tamil,Good,2014
DOC-026396,26396,Sale Deed,Tamil,Good,1998
DOC-026397,26397,A-Register,Tamil,Moderate,2022
DOC-026398,26398,Sale Deed,Tamil,Moderate,2021
DOC-026399,26399,Chitta,Tamil,Good,1987
DOC-026400,26400,Sale Deed,Tamil-English,Moderate,1987
DOC-026401,26401,Patta,English,Moderate,1992
DOC-026402,26402,FMB,Tamil,Good,2024
DOC-026403,26403,Chitta,Tamil,Moderate,1981
DOC-026404,26404,Mutation Order,Tamil,Moderate,1986
DOC-026405,26405,A-Register,Tamil,Poor,2023
DOC-026406,26406,Patta,Tamil,Faded,2014
DOC-026407,26407,Sale Deed,Tamil,Moderate,2016
DOC-026408,26408,Chitta,Tamil,Moderate,2006
DOC-026409,26409,Sale Deed,Tamil-English,Good,2001
DOC-026410,26410,Sale Deed,Tamil,Good,1982
DOC-026411,26411,Sale Deed,Tamil,Poor,2018
DOC-026412,26412,Patta,English,Good,2015
DOC-026413,26413,FMB,Tamil,Poor,2002
DOC-026414,26414,Mutation Order,Tamil,Poor,1986
DOC-026415,26415,Sale Deed,Tamil,Moderate,2003
DOC-026416,26416,Mutation Order,Tamil-English,Poor,1996
DOC-026417,26417,Chitta,Tamil,Moderate,1988
DOC-026418,26418,A-Register,Tamil,Poor,1989
DOC-026419,26419,Chitta,English,Faded,2000
DOC-026420,26420,A-Register,Tamil,Poor,1988
DOC-026421,26421,Sale Deed,Tamil,Moderate,1986
DOC-026422,26422,Sale Deed,Tamil,Moderate,2006
DOC-026423,26423,Patta,English,Moderate,2005
DOC-026424,26424,Patta,Tamil,Good,1989
DOC-026425,26425,Mutation Order,Tamil,Good,2024
DOC-026426,26426,Sale Deed,Tamil,Faded,2018
DOC-026427,26427,A-Register,Tamil,Moderate,2005
DOC-026428,26428,FMB,Tamil,Good,1992
DOC-026429,26429,A-Register,Tamil,Good,1982
DOC-026430,26430,A-Register,Tamil,Good,1994
DOC-026431,26431,Mutation Order,Tamil,Faded,2012
DOC-026432,26432,A-Register,Tamil,Good,1994
DOC-026433,26433,FMB,Tamil,Moderate,1990
DOC-026434,26434,Patta,Tamil-English,Poor,2018
DOC-026435,26435,Sale Deed,Tamil-English,Good,1991
DOC-026436,26436,FMB,Tamil-English,Moderate,2005
DOC-026437,26437,Sale Deed,Tamil,Good,1996
DOC-026438,26438,Mutation Order,Tamil,Good,1998
DOC-026439,26439,FMB,Tamil,Faded,2021
DOC-026440,26440,Chitta,English,Good,2017
DOC-026441,26441,Patta,Tamil-English,Good,2025
DOC-026442,26442,Mutation Order,Tamil-English,Faded,2002
DOC-026443,26443,A-Register,Tamil,Good,1986
DOC-026444,26444,FMB,Tamil,Good,2005
DOC-026445,26445,Chitta,English,Moderate,2021
DOC-026446,26446,FMB,Tamil,Good,1989
DOC-026447,26447,Patta,Tamil-English,Faded,1996
DOC-026448,26448,Mutation Order,Tamil,Good,1998
DOC-026449,26449,Patta,Tamil,Good,1994
DOC-026450,26450,Chitta,Tamil,Good,1990
DOC-026451,26451,Sale Deed,Tamil-English,Good,2015
DOC-026452,26452,Sale Deed,Tamil-English,Good,2004
DOC-026453,26453,A-Register,Tamil,Good,2017
DOC-026454,26454,FMB,Tamil,Good,1984
DOC-026455,26455,FMB,Tamil-English,Poor,1986
DOC-026456,26456,Chitta,Tamil,Moderate,1994
DOC-026457,26457,Patta,Tamil,Good,2008
DOC-026458,26458,A-Register,Tamil,Good,2017
DOC-026459,26459,Mutation Order,Tamil,Moderate,2012
DOC-026460,26460,Sale Deed,Tamil,Moderate,1990
DOC-026461,26461,Patta,English,Good,1985
DOC-026462,26462,Patta,Tamil,Moderate,1987
DOC-026463,26463,Mutation Order,Tamil-English,Moderate,2006
DOC-026464,26464,Chitta,Tamil,Poor,2002
DOC-026465,26465,Patta,Tamil,Poor,1998
DOC-026466,26466,A-Register,English,Good,2013
DOC-026467,26467,Chitta,Tamil,Moderate,1981
DOC-026468,26468,FMB,English,Good,1992
DOC-026469,26469,Patta,English,Good,2000
DOC-026470,26470,A-Register,English,Faded,2004
DOC-026471,26471,A-Register,Tamil,Good,2025
DOC-026472,26472,A-Register,Tamil,Moderate,2024
DOC-026473,26473,Patta,Tamil,Poor,2008
