weather_id,project_id,monsoon_exposure,extreme_rain_events,weather_risk_score
WX-031742,PRJ-04997,Low,3,39.8
WX-031743,PRJ-01464,Medium,3,63.4
WX-031744,PRJ-02555,Medium,1,7.8
WX-031745,PRJ-02308,Low,2,83.8
WX-031746,PRJ-00816,Low,3,69.0
WX-031747,PRJ-01274,Low,0,98.7
WX-031748,PRJ-04510,High,0,18.1
WX-031749,PRJ-01786,Low,1,72.1
WX-031750,PRJ-00535,Medium,1,79.0
WX-031751,PRJ-03063,Low,2,61.4
WX-031752,PRJ-03280,High,3,30.6
WX-031753,PRJ-04975,Medium,1,72.7
WX-031754,PRJ-00174,Medium,0,83.5
WX-031755,PRJ-00257,Low,2,55.1
WX-031756,PRJ-03714,Low,1,40.0
WX-031757,PRJ-02295,Medium,2,9.6
WX-031758,PRJ-02763,High,0,43.7
WX-031759,PRJ-01891,Medium,1,61.8
WX-031760,PRJ-01415,Medium,2,16.5
WX-031761,PRJ-01268,High,1,92.2
WX-031762,PRJ-03027,Low,0,27.7
WX-031763,PRJ-04263,Medium,1,63.7
WX-031764,PRJ-04154,Low,1,43.3
WX-031765,PRJ-02749,High,3,71.7
WX-031766,PRJ-01796,Medium,3,5.2
WX-031767,PRJ-02543,High,0,49.8
WX-031768,PRJ-04802,High,0,9.0
WX-031769,PRJ-00940,Medium,1,19.2
WX-031770,PRJ-02053,Medium,2,94.1
WX-031771,PRJ-00189,Medium,2,83.3
WX-031772,PRJ-02264,Medium,1,22.0
WX-031773,PRJ-03584,High,2,15.6
WX-031774,PRJ-02988,High,1,86.9
WX-031775,PRJ-01930,Low,1,79.1
WX-031776,PRJ-04852,Medium,0,33.0
WX-031777,PRJ-01194,Low,1,71.7
WX-031778,PRJ-02470,Low,0,70.2
WX-031779,PRJ-02819,Medium,2,38.3
WX-031780,PRJ-02322,Medium,1,29.8
WX-031781,PRJ-01144,Low,0,57.2
WX-031782,PRJ-04024,Low,1,97.5
WX-031783,PRJ-04636,Medium,0,76.5
WX-031784,PRJ-00342,Low,3,66.7
WX-031785,PRJ-04238,Low,0,10.0
WX-031786,PRJ-03773,Low,0,72.5
WX-031787,PRJ-02242,Low,1,92.1
WX-031788,PRJ-01152,High,2,94.3
WX-031789,PRJ-02935,Low,2,61.4
WX-031790,PRJ-02673,Low,1,51.2
WX-031791,PRJ-03156,Low,1,57.7
WX-031792,PRJ-03005,Low,3,18.6
WX-031793,PRJ-02489,Low,1,42.5
WX-031794,PRJ-03533,Low,2,42.5
WX-031795,PRJ-00352,Low,1,86.2
WX-031796,PRJ-04818,Low,4,26.3
WX-031797,PRJ-02865,High,1,83.3
WX-031798,PRJ-02984,Low,1,36.1
WX-031799,PRJ-03424,Medium,0,49.2
WX-031800,PRJ-03368,Low,3,66.3
WX-031801,PRJ-02017,Low,1,25.0
WX-031802,PRJ-03717,High,1,51.7
WX-031803,PRJ-01915,Low,3,72.1
WX-031804,PRJ-04369,Low,3,53.6
WX-031805,PRJ-04921,Low,1,12.7
WX-031806,PRJ-00144,Medium,2,40.2
WX-031807,PRJ-02120,Low,1,55.4
WX-031808,PRJ-01872,Medium,0,1.4
WX-031809,PRJ-01557,Low,4,12.6
WX-031810,PRJ-03251,Medium,3,42.1
WX-031811,PRJ-04279,High,1,7.6
WX-031812,PRJ-03432,Low,1,30.2
WX-031813,PRJ-04922,Medium,1,0.4
WX-031814,PRJ-02989,Medium,2,61.6
WX-031815,PRJ-01931,Low,0,60.2
WX-031816,PRJ-03939,Low,1,81.0
WX-031817,PRJ-02309,High,0,54.1
WX-031818,PRJ-04061,Low,3,87.2
WX-031819,PRJ-00937,Medium,1,32.6
WX-031820,PRJ-00838,High,4,22.1
WX-031821,PRJ-04689,Low,0,80.2
WX-031822,PRJ-00342,Medium,0,28.4
WX-031823,PRJ-03938,Medium,1,67.3
WX-031824,PRJ-00187,High,0,56.2
WX-031825,PRJ-04041,High,2,38.8
WX-031826,PRJ-04751,Low,4,27.8
WX-031827,PRJ-03951,Low,1,68.5
WX-031828,PRJ-01969,Low,1,58.5
WX-031829,PRJ-03899,Medium,2,82.8
WX-031830,PRJ-03046,Medium,1,68.4
WX-031831,PRJ-01040,Medium,2,11.5
WX-031832,PRJ-03593,High,1,80.2
WX-031833,PRJ-02525,Medium,2,89.5
WX-031834,PRJ-01748,Medium,1,46.8
WX-031835,PRJ-00341,Low,1,23.5
WX-031836,PRJ-04422,Low,0,96.9
WX-031837,PRJ-02240,Low,1,47.5
WX-031838,PRJ-03079,Medium,0,64.3
WX-031839,PRJ-04693,Low,0,18.1
WX-031840,PRJ-01521,Low,0,3.2
WX-031841,PRJ-00725,Medium,2,52.4
WX-031842,PRJ-03365,Low,2,8.5
WX-031843,PRJ-04224,Medium,1,10.2
WX-031844,PRJ-04253,Low,1,11.5
WX-031845,PRJ-01628,High,0,77.8
WX-031846,PRJ-02928,Low,0,45.0
WX-031847,PRJ-04754,Medium,3,63.6
WX-031848,PRJ-01826,Medium,1,71.8
WX-031849,PRJ-01809,Medium,1,19.4
WX-031850,PRJ-01972,Medium,0,41.9
WX-031851,PRJ-02281,Medium,2,36.2
WX-031852,PRJ-01214,Medium,2,6.0
WX-031853,PRJ-04802,Medium,2,65.3
WX-031854,PRJ-00341,Medium,3,9.4
WX-031855,PRJ-02175,High,0,9.2
WX-031856,PRJ-02118,High,4,11.1
WX-031857,PRJ-02435,Medium,2,97.3
WX-031858,PRJ-01785,Low,2,89.6
WX-031859,PRJ-03581,Low,1,35.4
WX-031860,PRJ-00485,High,3,75.4
WX-031861,PRJ-00789,Low,2,51.9
WX-031862,PRJ-00404,High,0,69.2
WX-031863,PRJ-04151,Low,3,61.4
WX-031864,PRJ-01695,Low,0,24.8
WX-031865,PRJ-04375,Medium,1,32.4
WX-031866,PRJ-01341,High,1,26.3
WX-031867,PRJ-03101,Low,0,66.8
WX-031868,PRJ-02213,High,2,29.3
WX-031869,PRJ-00114,Low,2,62.5
WX-031870,PRJ-02780,Low,0,75.1
WX-031871,PRJ-04774,Medium,2,9.6
WX-031872,PRJ-04117,High,1,85.6
WX-031873,PRJ-04331,Low,3,60.7
WX-031874,PRJ-04050,Low,2,16.7
WX-031875,PRJ-00097,Low,0,9.7
WX-031876,PRJ-04479,Low,2,14.5
WX-031877,PRJ-01180,Medium,2,52.0
WX-031878,PRJ-03296,Low,1,8.7
WX-031879,PRJ-03387,Low,3,63.7
WX-031880,PRJ-02967,High,2,92.6
WX-031881,PRJ-04708,Medium,3,96.5
WX-031882,PRJ-03984,Low,1,10.1
WX-031883,PRJ-00502,Low,2,1.0
WX-031884,PRJ-04996,Low,2,74.6
WX-031885,PRJ-03135,Low,3,24.6
WX-031886,PRJ-03523,Low,1,10.9
WX-031887,PRJ-02419,Low,1,17.9
WX-031888,PRJ-02695,High,3,78.2
WX-031889,PRJ-03474,Medium,3,61.8
WX-031890,PRJ-03357,Medium,2,9.9
WX-031891,PRJ-04214,Medium,2,83.1
WX-031892,PRJ-03834,Low,0,1.5
WX-031893,PRJ-00401,High,0,31.4
WX-031894,PRJ-01700,Medium,0,68.4
WX-031895,PRJ-03258,Low,0,38.9
WX-031896,PRJ-02664,Medium,2,84.3
WX-031897,PRJ-00064,High,1,42.5
WX-031898,PRJ-03229,Low,4,48.0
WX-031899,PRJ-02442,Medium,1,71.1
WX-031900,PRJ-01813,Medium,3,53.9
WX-031901,PRJ-03457,High,2,98.5
WX-031902,PRJ-03345,Medium,1,76.4
WX-031903,PRJ-03033,Low,0,25.9
WX-031904,PRJ-02624,High,1,83.5
WX-031905,PRJ-02043,Low,2,24.5
WX-031906,PRJ-03803,Medium,1,42.8
WX-031907,PRJ-02086,Medium,3,62.4
WX-031908,PRJ-00233,Medium,0,12.7
WX-031909,PRJ-04764,Low,1,54.6
WX-031910,PRJ-04380,Medium,0,32.4
WX-031911,PRJ-00154,Medium,1,83.4
WX-031912,PRJ-00155,High,2,34.6
WX-031913,PRJ-02634,High,4,29.2
WX-031914,PRJ-01993,Low,2,4.4
WX-031915,PRJ-04635,Low,0,34.3
WX-031916,PRJ-00472,Low,0,59.8
WX-031917,PRJ-01196,Low,0,59.0
WX-031918,PRJ-04997,Low,1,99.4
WX-031919,PRJ-00212,Low,1,16.6
WX-031920,PRJ-00428,Low,1,5.5
WX-031921,PRJ-04122,Low,0,27.6
WX-031922,PRJ-01935,Low,1,25.7
WX-031923,PRJ-01383,High,4,85.7
WX-031924,PRJ-02597,Low,3,54.5
WX-031925,PRJ-01256,Low,0,20.5
WX-031926,PRJ-02389,Medium,1,12.5
WX-031927,PRJ-03456,Medium,2,56.6
WX-031928,PRJ-01602,Medium,0,80.3
WX-031929,PRJ-01111,Low,1,19.3
WX-031930,PRJ-03202,Medium,1,24.4
WX-031931,PRJ-00327,Low,2,4.0
WX-031932,PRJ-02055,Medium,4,24.0
WX-031933,PRJ-00900,High,1,87.9
WX-031934,PRJ-01213,Medium,0,88.0
WX-031935,PRJ-04221,High,0,97.8
WX-031936,PRJ-00429,Medium,2,69.6
WX-031937,PRJ-04656,High,0,57.8
WX-031938,PRJ-02054,High,1,13.0
WX-031939,PRJ-03429,Medium,1,93.6
WX-031940,PRJ-03770,Medium,1,17.0
WX-031941,PRJ-03590,Medium,2,97.0
WX-031942,PRJ-00920,Low,0,70.0
WX-031943,PRJ-00830,Medium,0,17.3
WX-031944,PRJ-01677,Medium,2,46.5
WX-031945,PRJ-00464,Medium,0,0.3
WX-031946,PRJ-00848,Medium,1,45.7
WX-031947,PRJ-02382,Low,1,92.7
WX-031948,PRJ-04194,Low,2,22.9
WX-031949,PRJ-02240,Low,0,0.5
WX-031950,PRJ-01780,Low,4,42.6
WX-031951,PRJ-01426,Medium,1,22.7
WX-031952,PRJ-01675,High,0,79.6
WX-031953,PRJ-02624,Medium,0,30.9
WX-031954,PRJ-04479,Low,0,66.4
WX-031955,PRJ-03705,Medium,1,71.3
WX-031956,PRJ-00487,Low,0,21.5
WX-031957,PRJ-04467,Low,2,12.5
WX-031958,PRJ-00994,Low,0,15.8
WX-031959,PRJ-01280,Low,4,19.9
WX-031960,PRJ-04516,High,2,43.4
WX-031961,PRJ-00295,Low,1,79.3
WX-031962,PRJ-00953,Low,0,65.0
WX-031963,PRJ-01560,Low,0,49.2
WX-031964,PRJ-03831,Medium,1,68.3
WX-031965,PRJ-01786,High,0,61.1
WX-031966,PRJ-00997,High,3,95.8
WX-031967,PRJ-02808,High,3,36.0
WX-031968,PRJ-01478,Medium,1,62.4
WX-031969,PRJ-04601,Medium,0,64.2
WX-031970,PRJ-01687,Low,0,51.4
WX-031971,PRJ-04209,Low,0,22.4
WX-031972,PRJ-03850,Medium,3,58.5
WX-031973,PRJ-03300,Medium,3,73.6
WX-031974,PRJ-01859,Low,3,9.7
WX-031975,PRJ-00062,Medium,3,95.7
WX-031976,PRJ-01363,Low,1,90.0
WX-031977,PRJ-03536,Low,1,34.9
WX-031978,PRJ-03568,Low,1,29.2
WX-031979,PRJ-00640,Medium,3,12.9
WX-031980,PRJ-01652,Medium,2,20.5
WX-031981,PRJ-03868,Medium,1,26.8
WX-031982,PRJ-00582,Medium,3,88.0
WX-031983,PRJ-00455,Medium,3,59.7
WX-031984,PRJ-00441,Low,1,86.9
WX-031985,PRJ-02707,Medium,3,0.3
WX-031986,PRJ-00015,Low,1,84.8
WX-031987,PRJ-01723,Medium,0,18.5
WX-031988,PRJ-01831,Low,2,96.6
WX-031989,PRJ-02665,Medium,3,16.5
WX-031990,PRJ-04907,Low,2,17.1
WX-031991,PRJ-00015,High,1,46.9
WX-031992,PRJ-01815,Medium,1,61.9
WX-031993,PRJ-03956,Medium,1,30.4
WX-031994,PRJ-01866,Low,0,72.0
WX-031995,PRJ-00215,Low,1,79.6
WX-031996,PRJ-00605,Medium,3,38.5
WX-031997,PRJ-00946,High,0,90.7
WX-031998,PRJ-01550,Low,2,80.7
WX-031999,PRJ-01770,Low,1,35.6
WX-032000,PRJ-00025,Low,2,9.1
WX-032001,PRJ-04680,Low,3,34.0
WX-032002,PRJ-02375,Low,0,12.5
WX-032003,PRJ-02100,Low,3,58.9
WX-032004,PRJ-00982,Low,2,67.3
WX-032005,PRJ-01201,High,1,24.2
WX-032006,PRJ-02647,Low,2,5.7
WX-032007,PRJ-04601,Low,2,47.0
WX-032008,PRJ-00577,Low,0,34.0
WX-032009,PRJ-03635,High,2,73.9
WX-032010,PRJ-01347,Low,3,3.5
WX-032011,PRJ-03143,High,1,29.5
WX-032012,PRJ-02666,Medium,0,5.2
WX-032013,PRJ-03172,Medium,0,16.6
WX-032014,PRJ-01611,Low,1,79.9
WX-032015,PRJ-02849,Low,0,30.9
WX-032016,PRJ-04639,Low,1,94.4
WX-032017,PRJ-00867,Low,3,15.3
WX-032018,PRJ-03812,Low,0,82.1
WX-032019,PRJ-02463,High,1,19.4
WX-032020,PRJ-03482,High,2,6.2
WX-032021,PRJ-02696,Low,0,78.0
WX-032022,PRJ-00632,High,2,18.1
WX-032023,PRJ-02336,Low,1,47.9
WX-032024,PRJ-00240,High,0,15.2
WX-032025,PRJ-01997,Medium,1,41.6
WX-032026,PRJ-00486,Low,3,9.5
WX-032027,PRJ-03380,High,0,22.7
WX-032028,PRJ-00629,Medium,1,40.7
WX-032029,PRJ-00637,Low,3,90.5
WX-032030,PRJ-01794,High,0,1.9
WX-032031,PRJ-04413,High,5,28.6
WX-032032,PRJ-00804,Medium,0,79.0
WX-032033,PRJ-01567,Low,2,11.0
WX-032034,PRJ-00735,Medium,2,16.3
WX-032035,PRJ-00654,Low,1,90.7
WX-032036,PRJ-02403,Low,1,99.6
WX-032037,PRJ-01879,Low,1,75.3
WX-032038,PRJ-02258,High,3,60.6
WX-032039,PRJ-04477,Medium,1,86.9
WX-032040,PRJ-01951,Low,4,29.0
WX-032041,PRJ-01912,Medium,2,13.2
WX-032042,PRJ-04968,Low,4,81.8
WX-032043,PRJ-01847,Low,1,19.2
WX-032044,PRJ-04382,Medium,1,21.1
WX-032045,PRJ-02400,Medium,1,95.7
WX-032046,PRJ-01001,Low,2,60.0
WX-032047,PRJ-01260,Low,1,54.5
WX-032048,PRJ-03338,Medium,2,52.4
WX-032049,PRJ-02035,High,0,52.2
WX-032050,PRJ-00635,Low,1,66.1
WX-032051,PRJ-00834,Medium,3,72.0
WX-032052,PRJ-02479,Medium,3,3.4
WX-032053,PRJ-01848,Low,1,59.2
WX-032054,PRJ-04146,Medium,2,6.2
WX-032055,PRJ-03785,Medium,1,37.0
WX-032056,PRJ-00223,Medium,1,93.7
WX-032057,PRJ-01630,Medium,1,75.3
WX-032058,PRJ-03807,Medium,1,54.7
WX-032059,PRJ-00472,Medium,1,49.4
WX-032060,PRJ-02925,Medium,0,88.2
WX-032061,PRJ-02643,Medium,0,0.3
WX-032062,PRJ-02815,High,0,7.5
WX-032063,PRJ-00609,High,0,78.8
WX-032064,PRJ-01474,Medium,0,1.7
WX-032065,PRJ-02357,High,1,30.8
WX-032066,PRJ-00379,High,0,84.1
WX-032067,PRJ-03902,Low,1,61.8
WX-032068,PRJ-02853,High,0,27.9
WX-032069,PRJ-00003,Medium,3,4.7
WX-032070,PRJ-03632,Medium,0,78.0
WX-032071,PRJ-04827,High,0,84.3
WX-032072,PRJ-03886,Medium,2,7.5
WX-032073,PRJ-00040,Medium,1,9.7
WX-032074,PRJ-04435,Low,2,12.8
WX-032075,PRJ-01118,Medium,2,89.1
WX-032076,PRJ-00710,Medium,2,59.0
WX-032077,PRJ-00395,Low,2,30.3
WX-032078,PRJ-04288,Low,5,20.0
WX-032079,PRJ-04840,Medium,3,63.5
WX-032080,PRJ-01788,High,2,78.5
WX-032081,PRJ-04810,Low,3,49.3
WX-032082,PRJ-02902,Medium,0,69.2
WX-032083,PRJ-02321,High,1,88.2
WX-032084,PRJ-02029,High,1,77.2
WX-032085,PRJ-02964,Low,1,24.5
WX-032086,PRJ-04763,Low,2,96.4
WX-032087,PRJ-02300,Medium,4,41.0
WX-032088,PRJ-02026,Low,2,8.8
WX-032089,PRJ-03936,Medium,0,14.9
WX-032090,PRJ-03153,Medium,1,36.2
WX-032091,PRJ-04127,Low,3,39.3
WX-032092,PRJ-00845,Low,1,54.7
WX-032093,PRJ-03007,High,1,26.5
WX-032094,PRJ-01507,Low,4,75.5
WX-032095,PRJ-01012,Low,2,97.2
WX-032096,PRJ-00182,Low,1,68.1
WX-032097,PRJ-01278,Low,2,64.8
WX-032098,PRJ-03436,Medium,3,79.2
WX-032099,PRJ-01449,Medium,1,23.4
WX-032100,PRJ-00428,Medium,0,91.5
WX-032101,PRJ-00473,Medium,1,48.0
WX-032102,PRJ-01261,Medium,1,67.5
WX-032103,PRJ-00042,Low,1,92.7
WX-032104,PRJ-03753,High,2,83.9
WX-032105,PRJ-02302,Medium,2,17.2
WX-032106,PRJ-03174,Low,1,47.8
WX-032107,PRJ-03512,Low,3,14.2
WX-032108,PRJ-03302,Low,0,10.1
WX-032109,PRJ-04064,Medium,1,2.9
WX-032110,PRJ-00128,Medium,2,17.9
WX-032111,PRJ-03664,Medium,4,5.1
WX-032112,PRJ-00460,Low,0,83.5
WX-032113,PRJ-01715,Medium,0,39.6
WX-032114,PRJ-01161,High,0,41.6
WX-032115,PRJ-00695,Medium,3,53.1
WX-032116,PRJ-04582,Medium,1,42.9
WX-032117,PRJ-01731,Medium,2,45.4
WX-032118,PRJ-04254,Low,3,43.0
WX-032119,PRJ-02353,High,0,37.1
WX-032120,PRJ-04771,Low,1,5.1
WX-032121,PRJ-02758,Low,0,0.7
WX-032122,PRJ-02163,Medium,0,73.3
WX-032123,PRJ-03527,Low,1,57.9
WX-032124,PRJ-04291,Low,1,55.4
WX-032125,PRJ-02184,Medium,0,7.7
WX-032126,PRJ-04842,Low,1,87.3
WX-032127,PRJ-02221,Medium,1,98.7
WX-032128,PRJ-04227,Low,2,75.0
WX-032129,PRJ-03285,Medium,0,61.0
WX-032130,PRJ-02823,Medium,1,14.5
WX-032131,PRJ-03947,Medium,4,58.8
WX-032132,PRJ-00481,Medium,3,23.1
WX-032133,PRJ-02478,High,0,60.5
WX-032134,PRJ-03806,Medium,2,67.8
WX-032135,PRJ-01257,Medium,3,40.9
WX-032136,PRJ-03394,Medium,2,59.6
WX-032137,PRJ-01701,Medium,0,16.8
WX-032138,PRJ-01284,Medium,4,66.2
WX-032139,PRJ-02252,Low,2,73.0
WX-032140,PRJ-01452,Medium,1,17.0
WX-032141,PRJ-02270,Medium,3,83.6
WX-032142,PRJ-02542,Low,2,0.0
WX-032143,PRJ-00502,Low,2,76.5
WX-032144,PRJ-00705,Low,2,56.6
WX-032145,PRJ-04565,Medium,1,3.7
WX-032146,PRJ-02646,Medium,3,85.5
WX-032147,PRJ-03649,Medium,0,30.5
WX-032148,PRJ-02761,Low,3,89.4
WX-032149,PRJ-02404,Medium,4,17.2
WX-032150,PRJ-01108,Low,3,81.3
WX-032151,PRJ-00153,High,1,60.2
WX-032152,PRJ-01346,Medium,2,6.7
WX-032153,PRJ-04470,Low,2,88.5
WX-032154,PRJ-02837,Medium,0,49.7
WX-032155,PRJ-02832,Medium,1,25.9
WX-032156,PRJ-01692,High,2,15.4
WX-032157,PRJ-01374,Medium,0,56.3
WX-032158,PRJ-01306,Low,0,50.3
WX-032159,PRJ-02317,Medium,0,50.1
WX-032160,PRJ-02577,Low,2,7.9
WX-032161,PRJ-03888,Low,0,50.0
WX-032162,PRJ-01523,High,4,18.2
WX-032163,PRJ-01655,Medium,0,2.5
WX-032164,PRJ-04584,Low,1,24.5
WX-032165,PRJ-01562,High,2,30.2
WX-032166,PRJ-00865,Low,3,94.0
WX-032167,PRJ-02645,Low,1,34.3
WX-032168,PRJ-02782,Medium,0,4.1
WX-032169,PRJ-02876,High,2,31.8
WX-032170,PRJ-04638,Medium,0,2.0
WX-032171,PRJ-02469,Medium,1,2.8
WX-032172,PRJ-01262,High,2,42.3
WX-032173,PRJ-00728,Low,0,31.0
WX-032174,PRJ-02276,Medium,0,49.9
WX-032175,PRJ-03987,Low,2,31.6
WX-032176,PRJ-00884,Low,2,31.7
WX-032177,PRJ-04342,Medium,3,90.3
WX-032178,PRJ-01890,Low,2,83.7
WX-032179,PRJ-00641,Low,0,79.1
WX-032180,PRJ-01403,Low,3,35.6
WX-032181,PRJ-00883,Low,1,86.7
WX-032182,PRJ-04344,Medium,1,38.3
WX-032183,PRJ-04045,Low,0,26.2
WX-032184,PRJ-02403,Medium,1,21.8
WX-032185,PRJ-04379,Medium,0,17.9
WX-032186,PRJ-00910,Medium,0,78.3
WX-032187,PRJ-03679,Low,1,57.5
WX-032188,PRJ-03791,Low,5,75.6
WX-032189,PRJ-03386,Low,2,96.3
WX-032190,PRJ-00244,Medium,3,99.2
WX-032191,PRJ-01125,Medium,1,43.9
WX-032192,PRJ-04841,Medium,1,33.8
WX-032193,PRJ-03101,Low,2,15.1
WX-032194,PRJ-03257,Medium,1,76.4
WX-032195,PRJ-02469,Low,2,52.3
WX-032196,PRJ-04557,Low,1,80.1
WX-032197,PRJ-03042,Low,0,46.3
WX-032198,PRJ-01578,Medium,1,41.9
WX-032199,PRJ-03906,Medium,3,82.4
WX-032200,PRJ-01667,Medium,2,55.6
WX-032201,PRJ-00386,Medium,0,9.1
WX-032202,PRJ-03935,Low,1,97.0
WX-032203,PRJ-00597,Medium,1,15.0
WX-032204,PRJ-00595,Low,1,19.6
WX-032205,PRJ-03019,Low,1,66.9
WX-032206,PRJ-02924,Medium,1,44.7
WX-032207,PRJ-00453,Medium,2,44.0
WX-032208,PRJ-02784,Low,3,32.6
WX-032209,PRJ-00108,Low,1,41.4
WX-032210,PRJ-02387,High,0,75.4
WX-032211,PRJ-00049,Low,1,35.0
WX-032212,PRJ-03104,Medium,3,15.3
WX-032213,PRJ-04381,Medium,0,53.2
WX-032214,PRJ-04868,Medium,2,2.0
WX-032215,PRJ-02654,Medium,2,63.0
WX-032216,PRJ-00713,Low,1,79.4
WX-032217,PRJ-02643,Medium,1,10.7
WX-032218,PRJ-02135,High,2,39.9
WX-032219,PRJ-01043,Low,1,77.9
WX-032220,PRJ-03834,Low,0,63.1
WX-032221,PRJ-00605,High,3,85.7
WX-032222,PRJ-04529,High,1,22.9
WX-032223,PRJ-00976,Low,1,66.9
WX-032224,PRJ-00034,Low,1,25.8
WX-032225,PRJ-03584,Low,3,92.3
WX-032226,PRJ-03568,Low,1,99.9
WX-032227,PRJ-03340,Medium,1,39.9
WX-032228,PRJ-00915,High,3,9.6
WX-032229,PRJ-00238,Medium,0,37.3
WX-032230,PRJ-03031,Medium,4,62.5
WX-032231,PRJ-03441,Medium,3,51.5
WX-032232,PRJ-02886,Low,1,1.0
WX-032233,PRJ-00560,Medium,0,69.2
WX-032234,PRJ-04978,Medium,2,73.1
WX-032235,PRJ-03749,Low,1,46.4
WX-032236,PRJ-03740,High,2,26.8
WX-032237,PRJ-04786,Low,2,53.6
WX-032238,PRJ-04563,High,0,97.2
WX-032239,PRJ-01469,Low,1,55.8
WX-032240,PRJ-00252,High,1,74.4
WX-032241,PRJ-03245,Low,0,21.8
WX-032242,PRJ-02454,Medium,1,18.2
WX-032243,PRJ-01749,Low,3,18.9
WX-032244,PRJ-02813,Low,1,66.1
WX-032245,PRJ-02740,Medium,1,37.1
WX-032246,PRJ-00084,Low,1,37.4
WX-032247,PRJ-03420,Low,2,6.3
WX-032248,PRJ-01719,Low,2,38.9
WX-032249,PRJ-04154,Medium,0,82.2
WX-032250,PRJ-00109,Low,2,76.7
WX-032251,PRJ-00557,High,2,65.0
WX-032252,PRJ-04896,Low,2,33.5
WX-032253,PRJ-04217,High,1,2.8
WX-032254,PRJ-03539,High,1,83.6
WX-032255,PRJ-04647,Medium,0,29.5
WX-032256,PRJ-04564,Medium,1,83.6
WX-032257,PRJ-02921,Medium,0,71.3
WX-032258,PRJ-04928,Low,1,39.3
WX-032259,PRJ-02027,Low,1,22.1
WX-032260,PRJ-00507,Low,0,98.7
WX-032261,PRJ-00651,Medium,2,27.8
WX-032262,PRJ-01909,High,1,44.5
WX-032263,PRJ-01695,Low,1,48.2
WX-032264,PRJ-03779,Low,2,22.0
WX-032265,PRJ-03694,Medium,1,36.0
WX-032266,PRJ-03695,Medium,0,18.1
WX-032267,PRJ-03268,High,2,37.8
WX-032268,PRJ-04197,Medium,1,33.8
WX-032269,PRJ-02135,Medium,3,13.5
WX-032270,PRJ-03239,Medium,2,86.8
WX-032271,PRJ-03827,High,3,80.5
WX-032272,PRJ-03383,Low,2,67.7
WX-032273,PRJ-01578,Low,2,91.7
WX-032274,PRJ-04752,Medium,2,72.1
WX-032275,PRJ-04027,Low,1,79.7
WX-032276,PRJ-04256,High,1,26.3
WX-032277,PRJ-03076,Low,3,35.4
WX-032278,PRJ-03145,Medium,1,98.0
WX-032279,PRJ-02298,High,3,2.7
WX-032280,PRJ-03207,Medium,2,67.5
WX-032281,PRJ-02263,Low,0,80.9
WX-032282,PRJ-04338,Low,1,33.6
WX-032283,PRJ-01251,Low,1,49.7
WX-032284,PRJ-04916,Low,0,44.5
WX-032285,PRJ-02038,Medium,2,42.6
WX-032286,PRJ-00513,High,2,50.7
WX-032287,PRJ-02761,Low,0,14.6
WX-032288,PRJ-01299,Medium,2,68.8
WX-032289,PRJ-01262,Low,2,41.8
WX-032290,PRJ-04725,Low,0,85.8
WX-032291,PRJ-00351,Medium,1,34.0
WX-032292,PRJ-02388,Medium,1,65.2
WX-032293,PRJ-02898,Low,2,74.2
WX-032294,PRJ-00754,Medium,1,41.9
WX-032295,PRJ-00316,Medium,5,45.4
WX-032296,PRJ-03227,High,2,77.1
WX-032297,PRJ-02101,Medium,0,4.7
WX-032298,PRJ-03789,High,1,7.7
WX-032299,PRJ-00448,Medium,2,22.1
WX-032300,PRJ-03088,Low,2,57.6
WX-032301,PRJ-01559,Low,2,32.3
WX-032302,PRJ-04603,Low,4,73.7
WX-032303,PRJ-02508,Low,3,95.9
WX-032304,PRJ-00394,Medium,4,6.8
WX-032305,PRJ-02911,Medium,1,53.5
WX-032306,PRJ-04559,Low,1,34.4
WX-032307,PRJ-03051,High,4,11.7
WX-032308,PRJ-04007,Low,1,51.0
WX-032309,PRJ-02273,Medium,2,16.5
WX-032310,PRJ-04932,Medium,2,74.5
WX-032311,PRJ-04410,Low,1,5.4
WX-032312,PRJ-01368,High,0,57.2
WX-032313,PRJ-03392,Medium,1,90.5
WX-032314,PRJ-03442,Low,0,22.7
WX-032315,PRJ-01021,Low,4,77.3
WX-032316,PRJ-02906,High,3,33.1
WX-032317,PRJ-03892,Low,1,40.5
WX-032318,PRJ-00732,Low,2,55.7
WX-032319,PRJ-04914,High,1,98.7
WX-032320,PRJ-00913,High,1,31.6
WX-032321,PRJ-01907,High,1,61.3
WX-032322,PRJ-04046,Medium,1,15.5
WX-032323,PRJ-00203,Low,1,57.9
WX-032324,PRJ-00679,Medium,1,94.7
WX-032325,PRJ-00118,Low,3,73.6
WX-032326,PRJ-02902,Low,3,94.9
WX-032327,PRJ-02630,Low,0,61.4
WX-032328,PRJ-03553,Medium,3,38.2
WX-032329,PRJ-02107,Low,3,84.2
WX-032330,PRJ-00070,Low,0,42.0
WX-032331,PRJ-03798,Low,1,86.1
WX-032332,PRJ-04524,Medium,1,39.0
WX-032333,PRJ-02282,Low,2,15.7
WX-032334,PRJ-00023,Low,3,60.4
WX-032335,PRJ-04434,High,3,19.0
WX-032336,PRJ-02347,Medium,3,18.0
WX-032337,PRJ-03521,Low,1,83.0
WX-032338,PRJ-00097,Medium,1,52.5
WX-032339,PRJ-00893,Low,3,6.5
WX-032340,PRJ-02830,Low,0,91.2
WX-032341,PRJ-02590,Medium,1,49.6
WX-032342,PRJ-00425,Medium,4,91.5
