project_id,parcel_id,case_id,land_required,affected_family_count,priority
PRJ-01964,PAR-002132,CASE-002132,1.29,3,Normal
PRJ-01595,PAR-002133,CASE-002133,0.647,1,Normal
PRJ-02445,PAR-002134,CASE-002134,0.342,3,Normal
PRJ-02254,PAR-002135,CASE-002135,1.104,2,Normal
PRJ-04693,PAR-002136,CASE-002136,0.547,2,Normal
PRJ-01363,PAR-002137,CASE-002137,0.62,2,High
PRJ-00195,PAR-002138,CASE-002138,6.67,1,Normal
PRJ-04006,PAR-002139,CASE-002139,1.471,5,Normal
PRJ-02207,PAR-002140,CASE-002140,0.091,3,High
PRJ-02256,PAR-002141,CASE-002141,0.315,4,High
PRJ-02451,PAR-002142,CASE-002142,1.334,1,High
PRJ-02477,PAR-002143,CASE-002143,0.405,2,Normal
PRJ-03350,PAR-002144,CASE-002144,0.575,1,Normal
PRJ-02046,PAR-002145,CASE-002145,0.985,1,Strategic
PRJ-02123,PAR-002146,CASE-002146,0.787,4,High
PRJ-01354,PAR-002147,CASE-002147,2.305,2,Normal
PRJ-04403,PAR-002148,CASE-002148,0.783,1,Normal
PRJ-02871,PAR-002149,CASE-002149,0.366,3,Normal
PRJ-04712,PAR-002150,CASE-002150,0.591,1,High
PRJ-00289,PAR-002151,CASE-002151,0.445,3,Normal
PRJ-04584,PAR-002152,CASE-002152,0.534,1,Normal
PRJ-04543,PAR-002153,CASE-002153,1.197,3,Normal
PRJ-01886,PAR-002154,CASE-002154,2.847,1,Normal
PRJ-03165,PAR-002155,CASE-002155,1.797,2,High
PRJ-02524,PAR-002156,CASE-002156,1.263,4,Normal
PRJ-00815,PAR-002157,CASE-002157,0.176,2,Normal
PRJ-00371,PAR-002158,CASE-002158,0.291,2,High
PRJ-01438,PAR-002159,CASE-002159,0.665,2,High
PRJ-01051,PAR-002160,CASE-002160,1.12,2,Normal
PRJ-01154,PAR-002161,CASE-002161,0.884,2,Normal
PRJ-04644,PAR-002162,CASE-002162,2.319,1,Normal
PRJ-00654,PAR-002163,CASE-002163,0.128,2,Normal
PRJ-03059,PAR-002164,CASE-002164,0.418,3,Normal
PRJ-00060,PAR-002165,CASE-002165,0.499,3,Normal
PRJ-00339,PAR-002166,CASE-002166,0.911,3,Normal
PRJ-03101,PAR-002167,CASE-002167,7.663,3,High
PRJ-01040,PAR-002168,CASE-002168,0.853,2,Normal
PRJ-02757,PAR-002169,CASE-002169,0.078,3,Normal
PRJ-02927,PAR-002170,CASE-002170,0.461,1,Normal
PRJ-03199,PAR-002171,CASE-002171,1.538,1,High
PRJ-02632,PAR-002172,CASE-002172,1.386,3,Normal
PRJ-02934,PAR-002173,CASE-002173,1.834,3,Normal
PRJ-02405,PAR-002174,CASE-002174,1.096,1,Normal
PRJ-03363,PAR-002175,CASE-002175,1.694,1,Normal
PRJ-03556,PAR-002176,CASE-002176,3.16,1,Normal
PRJ-01128,PAR-002177,CASE-002177,1.582,1,Normal
PRJ-02566,PAR-002178,CASE-002178,0.314,1,High
PRJ-01591,PAR-002179,CASE-002179,0.625,3,Normal
PRJ-03213,PAR-002180,CASE-002180,0.369,2,Normal
PRJ-02879,PAR-002181,CASE-002181,1.094,2,Normal
PRJ-04206,PAR-002182,CASE-002182,0.501,3,High
PRJ-03003,PAR-002183,CASE-002183,1.367,2,Normal
PRJ-02572,PAR-002184,CASE-002184,1.182,2,High
PRJ-02016,PAR-002185,CASE-002185,1.006,2,Normal
PRJ-02760,PAR-002186,CASE-002186,0.89,2,Normal
PRJ-02518,PAR-002187,CASE-002187,0.712,2,High
PRJ-01420,PAR-002188,CASE-002188,0.586,3,Normal
PRJ-04958,PAR-002189,CASE-002189,0.533,2,Normal
PRJ-02124,PAR-002190,CASE-002190,1.67,1,Normal
PRJ-02489,PAR-002191,CASE-002191,0.365,1,High
PRJ-04536,PAR-002192,CASE-002192,0.842,3,Strategic
PRJ-04634,PAR-002193,CASE-002193,0.322,1,Normal
PRJ-00857,PAR-002194,CASE-002194,0.325,2,High
PRJ-04636,PAR-002195,CASE-002195,0.513,1,Strategic
PRJ-01543,PAR-002196,CASE-002196,0.819,2,Normal
PRJ-02482,PAR-002197,CASE-002197,0.524,1,Normal
PRJ-01395,PAR-002198,CASE-002198,2.259,3,Normal
PRJ-01173,PAR-002199,CASE-002199,1.138,2,High
PRJ-01147,PAR-002200,CASE-002200,1.41,2,Normal
PRJ-02705,PAR-002201,CASE-002201,0.364,2,High
PRJ-00055,PAR-002202,CASE-002202,1.499,2,Strategic
PRJ-00682,PAR-002203,CASE-002203,0.54,2,Normal
PRJ-04066,PAR-002204,CASE-002204,1.166,1,High
PRJ-03363,PAR-002205,CASE-002205,0.18,3,Normal
PRJ-01319,PAR-002206,CASE-002206,0.486,3,Strategic
PRJ-02512,PAR-002207,CASE-002207,0.183,2,Normal
PRJ-00203,PAR-002208,CASE-002208,0.846,2,Strategic
PRJ-03502,PAR-002209,CASE-002209,5.02,1,Strategic
PRJ-02464,PAR-002210,CASE-002210,1.145,3,Strategic
PRJ-00545,PAR-002211,CASE-002211,1.504,2,High
PRJ-00836,PAR-002212,CASE-002212,0.896,2,Normal
PRJ-03358,PAR-002213,CASE-002213,0.723,2,Normal
PRJ-01578,PAR-002214,CASE-002214,0.442,3,Normal
PRJ-04611,PAR-002215,CASE-002215,0.464,4,Normal
PRJ-02979,PAR-002216,CASE-002216,1.088,2,Normal
PRJ-02856,PAR-002217,CASE-002217,0.497,3,Normal
PRJ-00696,PAR-002218,CASE-002218,1.053,2,Strategic
PRJ-00505,PAR-002219,CASE-002219,1.101,5,Normal
PRJ-01673,PAR-002220,CASE-002220,1.12,3,High
PRJ-00777,PAR-002221,CASE-002221,0.134,1,Normal
PRJ-00147,PAR-002222,CASE-002222,0.858,2,High
PRJ-02472,PAR-002223,CASE-002223,1.97,3,Normal
PRJ-00763,PAR-002224,CASE-002224,0.445,1,High
PRJ-04620,PAR-002225,CASE-002225,2.392,1,Normal
PRJ-04322,PAR-002226,CASE-002226,1.618,2,Strategic
PRJ-02129,PAR-002227,CASE-002227,1.352,3,Normal
PRJ-03228,PAR-002228,CASE-002228,5.11,1,Normal
PRJ-03807,PAR-002229,CASE-002229,0.626,2,Normal
PRJ-03600,PAR-002230,CASE-002230,0.764,3,Normal
PRJ-00933,PAR-002231,CASE-002231,0.308,2,Normal
PRJ-02299,PAR-002232,CASE-002232,0.307,2,High
PRJ-04135,PAR-002233,CASE-002233,1.538,1,Normal
PRJ-01550,PAR-002234,CASE-002234,0.57,3,Normal
PRJ-04446,PAR-002235,CASE-002235,0.416,2,Normal
PRJ-03805,PAR-002236,CASE-002236,1.565,1,Normal
PRJ-03459,PAR-002237,CASE-002237,3.91,2,High
PRJ-01559,PAR-002238,CASE-002238,2.14,1,Strategic
PRJ-00502,PAR-002239,CASE-002239,0.544,1,Normal
PRJ-01525,PAR-002240,CASE-002240,1.711,3,Normal
PRJ-01230,PAR-002241,CASE-002241,1.04,2,High
PRJ-03001,PAR-002242,CASE-002242,1.714,2,Normal
PRJ-04214,PAR-002243,CASE-002243,0.725,1,High
PRJ-01348,PAR-002244,CASE-002244,1.412,3,Normal
PRJ-03936,PAR-002245,CASE-002245,0.312,1,Strategic
PRJ-03617,PAR-002246,CASE-002246,0.291,2,High
PRJ-01352,PAR-002247,CASE-002247,4.545,2,High
PRJ-04312,PAR-002248,CASE-002248,0.337,2,Normal
PRJ-01900,PAR-002249,CASE-002249,2.631,3,Normal
PRJ-03493,PAR-002250,CASE-002250,0.802,3,High
PRJ-03579,PAR-002251,CASE-002251,0.485,2,Normal
PRJ-03441,PAR-002252,CASE-002252,0.42,4,Normal
PRJ-01084,PAR-002253,CASE-002253,0.493,1,High
PRJ-02977,PAR-002254,CASE-002254,0.202,3,Normal
PRJ-02831,PAR-002255,CASE-002255,1.96,2,Normal
PRJ-03982,PAR-002256,CASE-002256,2.704,3,Normal
PRJ-04609,PAR-002257,CASE-002257,0.687,2,Normal
PRJ-02275,PAR-002258,CASE-002258,0.358,1,Normal
PRJ-04865,PAR-002259,CASE-002259,0.345,4,High
PRJ-01371,PAR-002260,CASE-002260,0.83,3,Normal
PRJ-00208,PAR-002261,CASE-002261,1.19,3,High
PRJ-03241,PAR-002262,CASE-002262,0.57,2,Normal
PRJ-03274,PAR-002263,CASE-002263,5.722,2,Normal
PRJ-01913,PAR-002264,CASE-002264,0.47,1,Normal
PRJ-00080,PAR-002265,CASE-002265,0.695,2,High
PRJ-00606,PAR-002266,CASE-002266,0.256,1,Normal
PRJ-04499,PAR-002267,CASE-002267,0.334,1,Normal
PRJ-04309,PAR-002268,CASE-002268,1.071,5,Normal
PRJ-03269,PAR-002269,CASE-002269,0.679,3,High
PRJ-00205,PAR-002270,CASE-002270,2.201,1,Normal
PRJ-01512,PAR-002271,CASE-002271,3.132,4,High
PRJ-00143,PAR-002272,CASE-002272,2.057,3,High
PRJ-01728,PAR-002273,CASE-002273,0.385,1,High
PRJ-00461,PAR-002274,CASE-002274,0.822,2,Normal
PRJ-04137,PAR-002275,CASE-002275,0.401,3,Normal
PRJ-03253,PAR-002276,CASE-002276,0.43,4,High
PRJ-03838,PAR-002277,CASE-002277,1.636,2,Strategic
PRJ-02596,PAR-002278,CASE-002278,0.683,1,Strategic
PRJ-03746,PAR-002279,CASE-002279,0.185,3,Strategic
PRJ-00247,PAR-002280,CASE-002280,0.679,3,Normal
PRJ-00214,PAR-002281,CASE-002281,0.615,2,Normal
PRJ-04657,PAR-002282,CASE-002282,0.975,3,Normal
PRJ-04220,PAR-002283,CASE-002283,1.054,1,Strategic
PRJ-01788,PAR-002284,CASE-002284,0.356,4,Normal
PRJ-04072,PAR-002285,CASE-002285,2.783,3,Normal
PRJ-03293,PAR-002286,CASE-002286,0.728,3,Normal
PRJ-03033,PAR-002287,CASE-002287,1.045,1,Normal
PRJ-01421,PAR-002288,CASE-002288,0.242,1,Normal
PRJ-01433,PAR-002289,CASE-002289,0.461,2,High
PRJ-02920,PAR-002290,CASE-002290,0.715,2,Normal
PRJ-02708,PAR-002291,CASE-002291,0.149,2,Normal
PRJ-02497,PAR-002292,CASE-002292,0.216,3,Normal
PRJ-00760,PAR-002293,CASE-002293,0.363,3,Normal
PRJ-00233,PAR-002294,CASE-002294,0.615,2,Normal
PRJ-01081,PAR-002295,CASE-002295,0.383,2,Normal
PRJ-02002,PAR-002296,CASE-002296,1.44,3,Normal
PRJ-00435,PAR-002297,CASE-002297,3.589,1,Normal
PRJ-00391,PAR-002298,CASE-002298,0.733,2,High
PRJ-00861,PAR-002299,CASE-002299,0.406,1,High
PRJ-04014,PAR-002300,CASE-002300,0.939,2,High
PRJ-03751,PAR-002301,CASE-002301,1.385,1,High
PRJ-04476,PAR-002302,CASE-002302,0.428,2,Normal
PRJ-00228,PAR-002303,CASE-002303,1.028,2,Normal
PRJ-01441,PAR-002304,CASE-002304,0.391,2,Normal
PRJ-01119,PAR-002305,CASE-002305,0.939,1,Normal
PRJ-04489,PAR-002306,CASE-002306,1.654,2,High
PRJ-03504,PAR-002307,CASE-002307,3.613,2,Normal
PRJ-04972,PAR-002308,CASE-002308,0.731,3,Strategic
PRJ-01508,PAR-002309,CASE-002309,0.61,3,Strategic
PRJ-00718,PAR-002310,CASE-002310,0.606,1,Normal
PRJ-03163,PAR-002311,CASE-002311,1.969,2,High
PRJ-00712,PAR-002312,CASE-002312,1.094,1,High
PRJ-04071,PAR-002313,CASE-002313,0.779,1,Normal
PRJ-02978,PAR-002314,CASE-002314,0.468,3,Normal
PRJ-04260,PAR-002315,CASE-002315,2.235,1,Strategic
PRJ-00670,PAR-002316,CASE-002316,0.65,2,High
PRJ-03112,PAR-002317,CASE-002317,1.667,2,Normal
PRJ-03912,PAR-002318,CASE-002318,0.344,2,Normal
PRJ-03472,PAR-002319,CASE-002319,0.748,3,Normal
PRJ-00014,PAR-002320,CASE-002320,0.242,2,High
PRJ-00317,PAR-002321,CASE-002321,0.384,2,Normal
PRJ-04026,PAR-002322,CASE-002322,0.221,1,Strategic
PRJ-03228,PAR-002323,CASE-002323,0.535,1,Strategic
PRJ-00585,PAR-002324,CASE-002324,2.812,3,High
PRJ-04862,PAR-002325,CASE-002325,0.228,1,Normal
PRJ-03891,PAR-002326,CASE-002326,0.687,4,Normal
PRJ-02882,PAR-002327,CASE-002327,2.822,3,Normal
PRJ-00359,PAR-002328,CASE-002328,0.649,1,High
PRJ-03735,PAR-002329,CASE-002329,0.93,1,Strategic
PRJ-04086,PAR-002330,CASE-002330,1.349,4,Normal
PRJ-04996,PAR-002331,CASE-002331,0.859,1,Normal
PRJ-01318,PAR-002332,CASE-002332,0.265,2,Normal
PRJ-01026,PAR-002333,CASE-002333,0.702,2,High
PRJ-02269,PAR-002334,CASE-002334,0.241,2,Normal
PRJ-04729,PAR-002335,CASE-002335,0.483,2,Normal
PRJ-01960,PAR-002336,CASE-002336,0.968,3,High
PRJ-03769,PAR-002337,CASE-002337,0.294,3,High
PRJ-01313,PAR-002338,CASE-002338,1.265,3,Strategic
PRJ-01592,PAR-002339,CASE-002339,1.332,4,Normal
PRJ-03591,PAR-002340,CASE-002340,0.73,3,Normal
PRJ-01720,PAR-002341,CASE-002341,2.056,1,High
PRJ-00082,PAR-002342,CASE-002342,2.279,3,Normal
PRJ-01293,PAR-002343,CASE-002343,0.463,4,Normal
PRJ-02992,PAR-002344,CASE-002344,0.363,4,High
PRJ-00976,PAR-002345,CASE-002345,2.487,2,Normal
PRJ-03705,PAR-002346,CASE-002346,0.353,3,High
PRJ-03516,PAR-002347,CASE-002347,1.417,1,Normal
PRJ-01906,PAR-002348,CASE-002348,0.48,3,High
PRJ-04568,PAR-002349,CASE-002349,0.743,2,High
PRJ-00618,PAR-002350,CASE-002350,0.816,3,Normal
PRJ-03922,PAR-002351,CASE-002351,0.82,2,High
PRJ-02340,PAR-002352,CASE-002352,1.238,2,Normal
PRJ-00102,PAR-002353,CASE-002353,0.764,1,Normal
PRJ-00880,PAR-002354,CASE-002354,0.411,3,Normal
PRJ-03087,PAR-002355,CASE-002355,0.753,2,High
PRJ-00779,PAR-002356,CASE-002356,2.278,2,High
PRJ-01008,PAR-002357,CASE-002357,0.889,3,Strategic
PRJ-00755,PAR-002358,CASE-002358,1.208,2,Strategic
PRJ-03889,PAR-002359,CASE-002359,3.634,2,Normal
PRJ-01889,PAR-002360,CASE-002360,0.335,2,Normal
PRJ-01320,PAR-002361,CASE-002361,0.883,2,Normal
PRJ-04158,PAR-002362,CASE-002362,0.99,3,Normal
PRJ-01375,PAR-002363,CASE-002363,0.184,1,Normal
PRJ-02546,PAR-002364,CASE-002364,2.167,2,Normal
PRJ-00888,PAR-002365,CASE-002365,1.489,3,Normal
PRJ-01339,PAR-002366,CASE-002366,3.365,3,High
PRJ-04981,PAR-002367,CASE-002367,0.118,2,High
PRJ-04893,PAR-002368,CASE-002368,3.654,3,Normal
PRJ-01991,PAR-002369,CASE-002369,1.141,2,High
PRJ-02193,PAR-002370,CASE-002370,0.942,2,Strategic
PRJ-02448,PAR-002371,CASE-002371,2.794,3,Strategic
PRJ-03660,PAR-002372,CASE-002372,2.094,2,High
PRJ-03046,PAR-002373,CASE-002373,0.913,2,Normal
PRJ-03718,PAR-002374,CASE-002374,0.795,2,Strategic
PRJ-00906,PAR-002375,CASE-002375,2.58,1,Normal
PRJ-04400,PAR-002376,CASE-002376,0.869,3,Normal
PRJ-03827,PAR-002377,CASE-002377,0.591,4,High
PRJ-02352,PAR-002378,CASE-002378,0.76,2,Normal
PRJ-04586,PAR-002379,CASE-002379,0.853,4,Normal
PRJ-01605,PAR-002380,CASE-002380,1.194,2,Normal
PRJ-04420,PAR-002381,CASE-002381,0.142,2,Normal
PRJ-01915,PAR-002382,CASE-002382,1.0,1,Normal
PRJ-03222,PAR-002383,CASE-002383,0.559,1,Normal
PRJ-04903,PAR-002384,CASE-002384,2.29,1,Strategic
PRJ-01483,PAR-002385,CASE-002385,0.69,3,Normal
PRJ-03685,PAR-002386,CASE-002386,0.733,1,Normal
PRJ-00403,PAR-002387,CASE-002387,0.268,3,Normal
PRJ-02035,PAR-002388,CASE-002388,2.341,3,High
PRJ-04660,PAR-002389,CASE-002389,1.354,1,High
PRJ-02484,PAR-002390,CASE-002390,0.971,4,Normal
PRJ-04303,PAR-002391,CASE-002391,0.416,1,High
PRJ-01359,PAR-002392,CASE-002392,0.281,1,High
PRJ-00273,PAR-002393,CASE-002393,2.926,4,Normal
PRJ-03523,PAR-002394,CASE-002394,0.865,2,High
PRJ-03821,PAR-002395,CASE-002395,0.768,3,Normal
PRJ-03786,PAR-002396,CASE-002396,1.953,4,High
PRJ-03771,PAR-002397,CASE-002397,0.842,2,High
PRJ-00741,PAR-002398,CASE-002398,0.638,3,High
PRJ-04083,PAR-002399,CASE-002399,0.66,1,Normal
PRJ-00473,PAR-002400,CASE-002400,1.08,1,Normal
PRJ-01748,PAR-002401,CASE-002401,0.248,3,Normal
PRJ-03125,PAR-002402,CASE-002402,0.721,2,Normal
PRJ-02969,PAR-002403,CASE-002403,1.141,4,Normal
PRJ-04781,PAR-002404,CASE-002404,0.311,1,Normal
PRJ-04866,PAR-002405,CASE-002405,1.035,5,Normal
PRJ-02441,PAR-002406,CASE-002406,1.792,1,Normal
PRJ-04640,PAR-002407,CASE-002407,1.834,3,Normal
PRJ-04551,PAR-002408,CASE-002408,0.568,5,Normal
PRJ-00167,PAR-002409,CASE-002409,1.94,4,Normal
PRJ-01463,PAR-002410,CASE-002410,0.861,1,High
PRJ-04289,PAR-002411,CASE-002411,0.857,2,Normal
PRJ-04156,PAR-002412,CASE-002412,0.728,5,High
PRJ-01903,PAR-002413,CASE-002413,1.219,2,Normal
PRJ-02622,PAR-002414,CASE-002414,0.647,2,Normal
PRJ-03126,PAR-002415,CASE-002415,3.44,3,Normal
PRJ-00926,PAR-002416,CASE-002416,0.445,4,High
PRJ-04732,PAR-002417,CASE-002417,1.558,3,Normal
PRJ-00225,PAR-002418,CASE-002418,2.132,2,Normal
PRJ-03637,PAR-002419,CASE-002419,0.637,1,Normal
PRJ-00094,PAR-002420,CASE-002420,1.237,3,Normal
PRJ-04236,PAR-002421,CASE-002421,2.384,1,Normal
PRJ-00209,PAR-002422,CASE-002422,0.984,3,Normal
PRJ-02106,PAR-002423,CASE-002423,1.46,1,Normal
PRJ-00829,PAR-002424,CASE-002424,0.415,2,Normal
PRJ-02497,PAR-002425,CASE-002425,0.449,1,Normal
PRJ-02797,PAR-002426,CASE-002426,0.331,3,Strategic
PRJ-04649,PAR-002427,CASE-002427,2.554,3,Normal
PRJ-00604,PAR-002428,CASE-002428,0.747,5,Normal
PRJ-00911,PAR-002429,CASE-002429,2.27,1,Normal
PRJ-02982,PAR-002430,CASE-002430,0.698,3,High
PRJ-04787,PAR-002431,CASE-002431,0.151,2,High
PRJ-02408,PAR-002432,CASE-002432,1.518,2,Strategic
PRJ-01306,PAR-002433,CASE-002433,0.837,2,High
PRJ-01665,PAR-002434,CASE-002434,0.693,2,Normal
PRJ-03598,PAR-002435,CASE-002435,1.014,2,Normal
PRJ-04882,PAR-002436,CASE-002436,0.706,2,Normal
PRJ-00205,PAR-002437,CASE-002437,0.486,2,Normal
PRJ-02525,PAR-002438,CASE-002438,0.469,2,Normal
PRJ-04932,PAR-002439,CASE-002439,1.862,3,Normal
PRJ-02833,PAR-002440,CASE-002440,1.267,1,High
PRJ-03588,PAR-002441,CASE-002441,0.635,1,Strategic
PRJ-01784,PAR-002442,CASE-002442,1.478,2,Normal
PRJ-01440,PAR-002443,CASE-002443,0.762,4,Normal
PRJ-03884,PAR-002444,CASE-002444,0.123,3,Normal
PRJ-00344,PAR-002445,CASE-002445,0.588,3,Normal
PRJ-01091,PAR-002446,CASE-002446,0.79,1,Strategic
PRJ-04883,PAR-002447,CASE-002447,0.792,1,Normal
PRJ-01308,PAR-002448,CASE-002448,1.168,1,High
PRJ-04861,PAR-002449,CASE-002449,0.964,2,Normal
PRJ-02187,PAR-002450,CASE-002450,2.036,1,High
PRJ-01855,PAR-002451,CASE-002451,0.348,1,Strategic
PRJ-02686,PAR-002452,CASE-002452,1.405,1,Normal
PRJ-04156,PAR-002453,CASE-002453,1.754,2,Normal
PRJ-01728,PAR-002454,CASE-002454,0.785,3,Normal
PRJ-03235,PAR-002455,CASE-002455,8.566,6,Normal
PRJ-01549,PAR-002456,CASE-002456,0.778,3,Normal
PRJ-03791,PAR-002457,CASE-002457,0.193,2,Normal
PRJ-02227,PAR-002458,CASE-002458,1.108,2,Normal
PRJ-04035,PAR-002459,CASE-002459,1.521,2,Normal
PRJ-03512,PAR-002460,CASE-002460,0.931,3,Normal
PRJ-02351,PAR-002461,CASE-002461,0.413,2,Normal
PRJ-00814,PAR-002462,CASE-002462,0.535,2,High
PRJ-00647,PAR-002463,CASE-002463,2.378,1,Normal
PRJ-01965,PAR-002464,CASE-002464,1.445,2,Normal
PRJ-04412,PAR-002465,CASE-002465,2.472,3,Normal
PRJ-01145,PAR-002466,CASE-002466,0.63,1,High
PRJ-04313,PAR-002467,CASE-002467,0.267,1,Normal
PRJ-03757,PAR-002468,CASE-002468,0.707,3,High
PRJ-00491,PAR-002469,CASE-002469,3.265,2,High
PRJ-02643,PAR-002470,CASE-002470,1.698,3,Normal
PRJ-00937,PAR-002471,CASE-002471,12.975,2,Normal
PRJ-03142,PAR-002472,CASE-002472,0.362,3,High
PRJ-01596,PAR-002473,CASE-002473,0.832,2,Normal
PRJ-03000,PAR-002474,CASE-002474,1.746,2,High
PRJ-02355,PAR-002475,CASE-002475,0.549,2,Normal
PRJ-03742,PAR-002476,CASE-002476,0.39,2,Strategic
PRJ-04737,PAR-002477,CASE-002477,0.74,4,Normal
PRJ-00060,PAR-002478,CASE-002478,0.712,2,Normal
PRJ-02246,PAR-002479,CASE-002479,0.984,1,Normal
PRJ-00694,PAR-002480,CASE-002480,0.264,2,Normal
PRJ-00582,PAR-002481,CASE-002481,1.004,2,Normal
PRJ-00565,PAR-002482,CASE-002482,0.567,3,High
PRJ-03216,PAR-002483,CASE-002483,0.987,1,Normal
PRJ-02150,PAR-002484,CASE-002484,1.306,3,Normal
PRJ-03739,PAR-002485,CASE-002485,1.07,5,Strategic
PRJ-03812,PAR-002486,CASE-002486,0.623,7,Normal
PRJ-02614,PAR-002487,CASE-002487,2.291,3,Normal
PRJ-00434,PAR-002488,CASE-002488,0.391,3,Normal
PRJ-03228,PAR-002489,CASE-002489,1.324,3,High
PRJ-03807,PAR-002490,CASE-002490,2.687,3,High
PRJ-01062,PAR-002491,CASE-002491,1.557,2,High
PRJ-01818,PAR-002492,CASE-002492,0.624,3,Normal
PRJ-01281,PAR-002493,CASE-002493,1.443,3,Normal
PRJ-00291,PAR-002494,CASE-002494,0.944,3,High
PRJ-01960,PAR-002495,CASE-002495,0.338,3,Normal
PRJ-01159,PAR-002496,CASE-002496,1.101,3,Normal
PRJ-00731,PAR-002497,CASE-002497,1.006,3,Strategic
PRJ-02247,PAR-002498,CASE-002498,0.594,2,Normal
PRJ-04483,PAR-002499,CASE-002499,1.663,4,Normal
PRJ-00848,PAR-002500,CASE-002500,2.164,2,Normal
PRJ-03237,PAR-002501,CASE-002501,1.671,2,High
PRJ-00403,PAR-002502,CASE-002502,0.658,3,High
PRJ-03995,PAR-002503,CASE-002503,1.259,1,Normal
PRJ-00943,PAR-002504,CASE-002504,0.574,1,High
PRJ-04453,PAR-002505,CASE-002505,1.251,3,Normal
PRJ-01672,PAR-002506,CASE-002506,1.752,2,Normal
PRJ-04180,PAR-002507,CASE-002507,0.552,2,High
PRJ-02242,PAR-002508,CASE-002508,0.405,2,High
PRJ-03078,PAR-002509,CASE-002509,1.811,3,High
PRJ-00064,PAR-002510,CASE-002510,2.745,2,Strategic
PRJ-03991,PAR-002511,CASE-002511,1.389,1,Normal
PRJ-02967,PAR-002512,CASE-002512,2.943,2,Normal
PRJ-04767,PAR-002513,CASE-002513,1.153,2,High
PRJ-02052,PAR-002514,CASE-002514,0.344,2,Normal
PRJ-00162,PAR-002515,CASE-002515,1.326,1,Normal
PRJ-01024,PAR-002516,CASE-002516,0.449,2,High
PRJ-02590,PAR-002517,CASE-002517,1.67,5,Strategic
PRJ-04845,PAR-002518,CASE-002518,0.507,3,Normal
PRJ-02545,PAR-002519,CASE-002519,0.875,4,Normal
PRJ-01065,PAR-002520,CASE-002520,3.456,2,High
PRJ-00032,PAR-002521,CASE-002521,1.69,4,High
PRJ-00023,PAR-002522,CASE-002522,0.104,2,High
PRJ-01680,PAR-002523,CASE-002523,0.938,3,Normal
PRJ-00420,PAR-002524,CASE-002524,0.207,3,Normal
PRJ-03205,PAR-002525,CASE-002525,1.329,1,High
PRJ-02173,PAR-002526,CASE-002526,0.681,4,Normal
PRJ-02822,PAR-002527,CASE-002527,1.275,4,High
PRJ-00901,PAR-002528,CASE-002528,0.447,5,High
PRJ-00193,PAR-002529,CASE-002529,2.181,2,Normal
PRJ-00655,PAR-002530,CASE-002530,1.82,2,Normal
PRJ-01497,PAR-002531,CASE-002531,1.108,1,High
PRJ-00006,PAR-002532,CASE-002532,0.534,3,High
PRJ-01003,PAR-002533,CASE-002533,0.111,1,Normal
PRJ-04739,PAR-002534,CASE-002534,2.193,2,Strategic
PRJ-03637,PAR-002535,CASE-002535,0.477,3,High
PRJ-03021,PAR-002536,CASE-002536,0.585,4,Normal
PRJ-01499,PAR-002537,CASE-002537,3.648,3,High
PRJ-00129,PAR-002538,CASE-002538,0.373,4,Normal
PRJ-01227,PAR-002539,CASE-002539,3.229,2,Normal
PRJ-04595,PAR-002540,CASE-002540,0.389,1,Normal
PRJ-01408,PAR-002541,CASE-002541,0.537,3,Normal
PRJ-04046,PAR-002542,CASE-002542,0.425,1,Strategic
PRJ-03295,PAR-002543,CASE-002543,2.185,3,Normal
PRJ-04283,PAR-002544,CASE-002544,8.735,1,Normal
PRJ-04386,PAR-002545,CASE-002545,0.895,1,Strategic
PRJ-03079,PAR-002546,CASE-002546,0.696,2,Normal
PRJ-01647,PAR-002547,CASE-002547,0.801,2,High
PRJ-02992,PAR-002548,CASE-002548,1.314,2,Normal
PRJ-02999,PAR-002549,CASE-002549,0.452,1,Normal
PRJ-01016,PAR-002550,CASE-002550,6.371,2,Normal
PRJ-03209,PAR-002551,CASE-002551,0.84,2,Normal
PRJ-03411,PAR-002552,CASE-002552,0.981,1,Normal
PRJ-02011,PAR-002553,CASE-002553,2.16,3,Normal
PRJ-04691,PAR-002554,CASE-002554,1.286,2,High
PRJ-00721,PAR-002555,CASE-002555,1.056,3,Normal
PRJ-00234,PAR-002556,CASE-002556,1.689,1,High
PRJ-02893,PAR-002557,CASE-002557,2.229,3,Normal
PRJ-01105,PAR-002558,CASE-002558,0.694,2,High
PRJ-00856,PAR-002559,CASE-002559,0.592,1,Normal
PRJ-04927,PAR-002560,CASE-002560,1.403,3,High
PRJ-03674,PAR-002561,CASE-002561,0.12,2,Normal
PRJ-03207,PAR-002562,CASE-002562,0.334,3,High
PRJ-00159,PAR-002563,CASE-002563,0.673,4,High
PRJ-02129,PAR-002564,CASE-002564,2.196,1,Strategic
PRJ-03509,PAR-002565,CASE-002565,0.597,4,High
PRJ-00243,PAR-002566,CASE-002566,0.717,3,High
PRJ-00229,PAR-002567,CASE-002567,0.717,2,High
PRJ-01759,PAR-002568,CASE-002568,0.552,3,High
PRJ-04717,PAR-002569,CASE-002569,0.913,3,Strategic
PRJ-03108,PAR-002570,CASE-002570,1.127,3,Normal
PRJ-02535,PAR-002571,CASE-002571,1.306,1,Normal
PRJ-04902,PAR-002572,CASE-002572,2.724,2,Normal
PRJ-00984,PAR-002573,CASE-002573,0.455,2,Normal
PRJ-03651,PAR-002574,CASE-002574,1.414,4,Normal
