response_id,project_id,stakeholder_type,response_time_days,responsiveness_score
RESP-031869,PRJ-00114,Project Manager,11,92.8
RESP-031870,PRJ-02780,Revenue Officer,13,96.5
RESP-031871,PRJ-04774,Contractor,18,100.0
RESP-031872,PRJ-04117,Contractor,24,91.3
RESP-031873,PRJ-04331,Revenue Officer,6,100.0
RESP-031874,PRJ-04050,Contractor,8,99.3
RESP-031875,PRJ-00097,RDO,3,100.0
RESP-031876,PRJ-04479,Revenue Officer,13,80.2
RESP-031877,PRJ-01180,Project Manager,5,87.6
RESP-031878,PRJ-03296,Contractor,21,85.1
RESP-031879,PRJ-03387,Landowner,2,89.3
RESP-031880,PRJ-02967,Contractor,10,100.0
RESP-031881,PRJ-04708,RDO,16,85.1
RESP-031882,PRJ-03984,Revenue Officer,7,87.5
RESP-031883,PRJ-00502,Landowner,4,99.0
RESP-031884,PRJ-04996,Revenue Officer,8,86.7
RESP-031885,PRJ-03135,Project Manager,10,80.1
RESP-031886,PRJ-03523,Landowner,7,100.0
RESP-031887,PRJ-02419,Contractor,17,99.4
RESP-031888,PRJ-02695,RDO,5,100.0
RESP-031889,PRJ-03474,Landowner,10,100.0
RESP-031890,PRJ-03357,RDO,5,85.6
RESP-031891,PRJ-04214,Project Manager,14,100.0
RESP-031892,PRJ-03834,Revenue Officer,17,78.2
RESP-031893,PRJ-00401,Contractor,26,91.4
RESP-031894,PRJ-01700,Revenue Officer,9,100.0
RESP-031895,PRJ-03258,RDO,6,89.5
RESP-031896,PRJ-02664,Project Manager,21,80.7
RESP-031897,PRJ-00064,RDO,9,96.0
RESP-031898,PRJ-03229,Contractor,10,100.0
RESP-031899,PRJ-02442,Contractor,5,100.0
RESP-031900,PRJ-01813,Project Manager,6,85.5
RESP-031901,PRJ-03457,Project Manager,4,91.3
RESP-031902,PRJ-03345,RDO,18,66.8
RESP-031903,PRJ-03033,Revenue Officer,13,79.8
RESP-031904,PRJ-02624,Landowner,21,70.2
RESP-031905,PRJ-02043,RDO,11,59.2
RESP-031906,PRJ-03803,Landowner,16,86.6
RESP-031907,PRJ-02086,Landowner,17,80.8
RESP-031908,PRJ-00233,RDO,4,86.2
RESP-031909,PRJ-04764,Project Manager,27,69.1
RESP-031910,PRJ-04380,Contractor,4,96.7
RESP-031911,PRJ-00154,Project Manager,11,100.0
RESP-031912,PRJ-00155,RDO,3,81.0
RESP-031913,PRJ-02634,Project Manager,7,70.5
RESP-031914,PRJ-01993,RDO,27,90.9
RESP-031915,PRJ-04635,Contractor,13,69.9
RESP-031916,PRJ-00472,Revenue Officer,5,100.0
RESP-031917,PRJ-01196,Contractor,12,100.0
RESP-031918,PRJ-04997,Revenue Officer,11,90.2
RESP-031919,PRJ-00212,Contractor,13,75.0
RESP-031920,PRJ-00428,RDO,5,92.2
RESP-031921,PRJ-04122,Contractor,7,96.8
RESP-031922,PRJ-01935,Landowner,8,96.1
RESP-031923,PRJ-01383,Revenue Officer,30,97.5
RESP-031924,PRJ-02597,Project Manager,7,96.4
RESP-031925,PRJ-01256,Revenue Officer,2,85.0
RESP-031926,PRJ-02389,Project Manager,9,84.3
RESP-031927,PRJ-03456,Project Manager,10,76.0
RESP-031928,PRJ-01602,Contractor,18,78.4
RESP-031929,PRJ-01111,RDO,7,100.0
RESP-031930,PRJ-03202,Landowner,5,73.0
RESP-031931,PRJ-00327,Contractor,12,78.0
RESP-031932,PRJ-02055,RDO,10,95.0
RESP-031933,PRJ-00900,Landowner,2,98.0
RESP-031934,PRJ-01213,RDO,2,82.7
RESP-031935,PRJ-04221,Revenue Officer,11,95.0
RESP-031936,PRJ-00429,RDO,2,94.0
RESP-031937,PRJ-04656,Revenue Officer,18,67.2
RESP-031938,PRJ-02054,RDO,16,94.9
RESP-031939,PRJ-03429,RDO,11,86.1
RESP-031940,PRJ-03770,Contractor,10,96.5
RESP-031941,PRJ-03590,Revenue Officer,5,71.9
RESP-031942,PRJ-00920,Landowner,23,87.7
RESP-031943,PRJ-00830,Revenue Officer,11,83.5
RESP-031944,PRJ-01677,RDO,11,67.2
RESP-031945,PRJ-00464,Contractor,16,100.0
RESP-031946,PRJ-00848,Contractor,8,82.0
RESP-031947,PRJ-02382,Project Manager,5,100.0
RESP-031948,PRJ-04194,RDO,12,100.0
RESP-031949,PRJ-02240,RDO,12,63.6
RESP-031950,PRJ-01780,RDO,4,81.9
RESP-031951,PRJ-01426,Landowner,12,98.4
RESP-031952,PRJ-01675,Landowner,6,86.3
RESP-031953,PRJ-02624,RDO,2,100.0
RESP-031954,PRJ-04479,Revenue Officer,11,100.0
RESP-031955,PRJ-03705,RDO,25,93.3
RESP-031956,PRJ-00487,Revenue Officer,5,84.4
RESP-031957,PRJ-04467,RDO,8,67.3
RESP-031958,PRJ-00994,Project Manager,22,100.0
RESP-031959,PRJ-01280,RDO,13,84.9
RESP-031960,PRJ-04516,Revenue Officer,10,100.0
RESP-031961,PRJ-00295,Project Manager,13,95.1
RESP-031962,PRJ-00953,Contractor,6,62.5
RESP-031963,PRJ-01560,RDO,8,92.3
RESP-031964,PRJ-03831,Contractor,7,93.0
RESP-031965,PRJ-01786,Landowner,4,92.1
RESP-031966,PRJ-00997,Revenue Officer,10,71.9
RESP-031967,PRJ-02808,Project Manager,31,92.6
RESP-031968,PRJ-01478,Project Manager,5,67.1
RESP-031969,PRJ-04601,Revenue Officer,14,67.7
RESP-031970,PRJ-01687,Revenue Officer,4,83.1
RESP-031971,PRJ-04209,Contractor,20,83.0
RESP-031972,PRJ-03850,Project Manager,15,87.0
RESP-031973,PRJ-03300,RDO,7,84.3
RESP-031974,PRJ-01859,Landowner,9,87.2
RESP-031975,PRJ-00062,Revenue Officer,11,89.3
RESP-031976,PRJ-01363,Revenue Officer,20,98.5
RESP-031977,PRJ-03536,RDO,7,91.6
RESP-031978,PRJ-03568,Project Manager,12,58.9
RESP-031979,PRJ-00640,Project Manager,7,98.1
RESP-031980,PRJ-01652,Contractor,7,100.0
RESP-031981,PRJ-03868,Landowner,40,96.0
RESP-031982,PRJ-00582,RDO,11,100.0
RESP-031983,PRJ-00455,Project Manager,6,94.3
RESP-031984,PRJ-00441,RDO,9,100.0
RESP-031985,PRJ-02707,RDO,14,100.0
RESP-031986,PRJ-00015,RDO,5,88.6
RESP-031987,PRJ-01723,Landowner,3,93.8
RESP-031988,PRJ-01831,RDO,14,86.6
RESP-031989,PRJ-02665,Revenue Officer,17,86.5
RESP-031990,PRJ-04907,Revenue Officer,19,78.9
RESP-031991,PRJ-00015,Landowner,13,77.4
RESP-031992,PRJ-01815,Revenue Officer,18,100.0
RESP-031993,PRJ-03956,Landowner,12,100.0
RESP-031994,PRJ-01866,Landowner,11,89.7
RESP-031995,PRJ-00215,Contractor,12,100.0
RESP-031996,PRJ-00605,Contractor,28,75.4
RESP-031997,PRJ-00946,Revenue Officer,18,88.9
RESP-031998,PRJ-01550,Contractor,13,90.3
RESP-031999,PRJ-01770,Landowner,21,93.1
RESP-032000,PRJ-00025,Contractor,2,95.3
RESP-032001,PRJ-04680,Revenue Officer,10,87.7
RESP-032002,PRJ-02375,Landowner,7,97.3
RESP-032003,PRJ-02100,RDO,17,100.0
RESP-032004,PRJ-00982,RDO,9,68.1
RESP-032005,PRJ-01201,Contractor,12,100.0
RESP-032006,PRJ-02647,Landowner,23,87.1
RESP-032007,PRJ-04601,RDO,11,83.1
RESP-032008,PRJ-00577,Contractor,16,75.5
RESP-032009,PRJ-03635,Revenue Officer,7,86.5
RESP-032010,PRJ-01347,RDO,7,69.1
RESP-032011,PRJ-03143,Contractor,7,96.7
RESP-032012,PRJ-02666,Project Manager,30,82.8
RESP-032013,PRJ-03172,Contractor,8,81.6
RESP-032014,PRJ-01611,Landowner,13,92.3
RESP-032015,PRJ-02849,Landowner,12,94.0
RESP-032016,PRJ-04639,Project Manager,16,71.7
RESP-032017,PRJ-00867,Contractor,15,91.7
RESP-032018,PRJ-03812,Contractor,45,94.4
RESP-032019,PRJ-02463,Contractor,6,66.7
RESP-032020,PRJ-03482,Project Manager,24,89.1
RESP-032021,PRJ-02696,Project Manager,33,94.7
RESP-032022,PRJ-00632,Project Manager,18,90.2
RESP-032023,PRJ-02336,Revenue Officer,15,87.1
RESP-032024,PRJ-00240,Contractor,14,81.9
RESP-032025,PRJ-01997,Revenue Officer,9,79.7
RESP-032026,PRJ-00486,RDO,6,93.5
RESP-032027,PRJ-03380,Revenue Officer,8,90.0
RESP-032028,PRJ-00629,RDO,13,84.5
RESP-032029,PRJ-00637,Revenue Officer,35,77.6
RESP-032030,PRJ-01794,Project Manager,13,100.0
RESP-032031,PRJ-04413,RDO,11,99.4
RESP-032032,PRJ-00804,Landowner,39,78.8
RESP-032033,PRJ-01567,Revenue Officer,14,89.5
RESP-032034,PRJ-00735,RDO,12,86.0
RESP-032035,PRJ-00654,RDO,26,91.3
RESP-032036,PRJ-02403,Revenue Officer,6,93.8
RESP-032037,PRJ-01879,Contractor,10,77.1
RESP-032038,PRJ-02258,Revenue Officer,27,60.7
RESP-032039,PRJ-04477,Contractor,21,97.8
RESP-032040,PRJ-01951,Project Manager,19,86.2
RESP-032041,PRJ-01912,Project Manager,11,82.8
RESP-032042,PRJ-04968,Revenue Officer,17,100.0
RESP-032043,PRJ-01847,Project Manager,7,93.8
RESP-032044,PRJ-04382,Landowner,13,82.1
RESP-032045,PRJ-02400,Contractor,24,97.4
RESP-032046,PRJ-01001,RDO,8,65.1
RESP-032047,PRJ-01260,Revenue Officer,18,74.3
RESP-032048,PRJ-03338,RDO,10,93.1
RESP-032049,PRJ-02035,RDO,11,89.1
RESP-032050,PRJ-00635,Project Manager,7,100.0
RESP-032051,PRJ-00834,Landowner,8,82.0
RESP-032052,PRJ-02479,Revenue Officer,5,95.7
RESP-032053,PRJ-01848,Project Manager,4,96.0
RESP-032054,PRJ-04146,RDO,11,100.0
RESP-032055,PRJ-03785,Revenue Officer,3,86.1
RESP-032056,PRJ-00223,RDO,9,95.9
RESP-032057,PRJ-01630,Project Manager,9,97.2
RESP-032058,PRJ-03807,RDO,15,88.1
RESP-032059,PRJ-00472,Revenue Officer,16,88.7
RESP-032060,PRJ-02925,RDO,18,97.5
RESP-032061,PRJ-02643,Contractor,5,92.3
RESP-032062,PRJ-02815,Project Manager,12,68.1
RESP-032063,PRJ-00609,Revenue Officer,9,80.5
RESP-032064,PRJ-01474,Contractor,11,100.0
RESP-032065,PRJ-02357,Landowner,32,83.1
RESP-032066,PRJ-00379,Project Manager,6,82.4
RESP-032067,PRJ-03902,Contractor,4,90.6
RESP-032068,PRJ-02853,Landowner,4,75.8
RESP-032069,PRJ-00003,Revenue Officer,5,88.7
RESP-032070,PRJ-03632,Landowner,8,100.0
RESP-032071,PRJ-04827,Landowner,14,96.2
RESP-032072,PRJ-03886,Contractor,4,92.9
RESP-032073,PRJ-00040,Revenue Officer,20,87.7
RESP-032074,PRJ-04435,Revenue Officer,14,84.6
RESP-032075,PRJ-01118,RDO,3,76.8
RESP-032076,PRJ-00710,Revenue Officer,4,69.2
RESP-032077,PRJ-00395,Landowner,12,77.4
RESP-032078,PRJ-04288,Landowner,14,80.1
RESP-032079,PRJ-04840,Project Manager,13,97.6
RESP-032080,PRJ-01788,Landowner,10,65.0
RESP-032081,PRJ-04810,Contractor,11,88.1
RESP-032082,PRJ-02902,Contractor,6,96.3
RESP-032083,PRJ-02321,RDO,7,96.8
RESP-032084,PRJ-02029,Landowner,14,68.7
RESP-032085,PRJ-02964,RDO,8,100.0
RESP-032086,PRJ-04763,Revenue Officer,5,76.9
RESP-032087,PRJ-02300,Revenue Officer,7,87.0
RESP-032088,PRJ-02026,Landowner,12,100.0
RESP-032089,PRJ-03936,Contractor,11,99.6
RESP-032090,PRJ-03153,Contractor,13,87.9
RESP-032091,PRJ-04127,RDO,12,87.4
RESP-032092,PRJ-00845,Contractor,12,91.9
RESP-032093,PRJ-03007,Project Manager,6,100.0
RESP-032094,PRJ-01507,Contractor,12,100.0
RESP-032095,PRJ-01012,Project Manager,20,83.6
RESP-032096,PRJ-00182,RDO,5,88.4
RESP-032097,PRJ-01278,Revenue Officer,20,79.9
RESP-032098,PRJ-03436,Project Manager,16,77.8
RESP-032099,PRJ-01449,Revenue Officer,9,100.0
RESP-032100,PRJ-00428,Project Manager,14,88.3
RESP-032101,PRJ-00473,Project Manager,19,97.9
RESP-032102,PRJ-01261,Project Manager,5,90.6
RESP-032103,PRJ-00042,Contractor,12,72.3
RESP-032104,PRJ-03753,Project Manager,6,82.0
RESP-032105,PRJ-02302,Project Manager,16,69.4
RESP-032106,PRJ-03174,Landowner,13,82.1
RESP-032107,PRJ-03512,Contractor,18,97.6
RESP-032108,PRJ-03302,RDO,14,78.0
RESP-032109,PRJ-04064,Contractor,13,82.3
RESP-032110,PRJ-00128,Contractor,23,96.0
RESP-032111,PRJ-03664,Revenue Officer,27,100.0
RESP-032112,PRJ-00460,Revenue Officer,18,94.7
RESP-032113,PRJ-01715,Project Manager,17,97.3
RESP-032114,PRJ-01161,Contractor,25,85.0
RESP-032115,PRJ-00695,Contractor,19,99.9
RESP-032116,PRJ-04582,Project Manager,29,95.9
RESP-032117,PRJ-01731,Contractor,6,93.4
RESP-032118,PRJ-04254,Project Manager,8,83.3
RESP-032119,PRJ-02353,Contractor,5,100.0
RESP-032120,PRJ-04771,Contractor,9,87.9
RESP-032121,PRJ-02758,Contractor,10,94.2
RESP-032122,PRJ-02163,Revenue Officer,9,83.7
RESP-032123,PRJ-03527,RDO,21,81.0
RESP-032124,PRJ-04291,Contractor,7,84.4
RESP-032125,PRJ-02184,Landowner,7,100.0
RESP-032126,PRJ-04842,RDO,8,88.8
RESP-032127,PRJ-02221,Landowner,39,77.2
RESP-032128,PRJ-04227,Landowner,19,91.4
RESP-032129,PRJ-03285,Revenue Officer,6,95.3
RESP-032130,PRJ-02823,Project Manager,10,83.2
RESP-032131,PRJ-03947,RDO,4,100.0
RESP-032132,PRJ-00481,Project Manager,10,70.9
RESP-032133,PRJ-02478,RDO,14,100.0
RESP-032134,PRJ-03806,Landowner,35,69.5
RESP-032135,PRJ-01257,RDO,16,72.4
RESP-032136,PRJ-03394,Revenue Officer,26,92.5
RESP-032137,PRJ-01701,Revenue Officer,6,87.4
RESP-032138,PRJ-01284,Landowner,4,88.1
RESP-032139,PRJ-02252,Contractor,10,99.5
RESP-032140,PRJ-01452,Revenue Officer,6,87.5
RESP-032141,PRJ-02270,RDO,6,92.5
RESP-032142,PRJ-02542,Landowner,4,100.0
RESP-032143,PRJ-00502,Project Manager,18,100.0
RESP-032144,PRJ-00705,Contractor,13,95.7
RESP-032145,PRJ-04565,Contractor,10,80.9
RESP-032146,PRJ-02646,Contractor,14,77.1
RESP-032147,PRJ-03649,Project Manager,9,82.4
RESP-032148,PRJ-02761,Landowner,6,97.0
RESP-032149,PRJ-02404,Revenue Officer,15,77.9
RESP-032150,PRJ-01108,Project Manager,13,88.4
RESP-032151,PRJ-00153,RDO,4,91.3
RESP-032152,PRJ-01346,Landowner,16,72.3
RESP-032153,PRJ-04470,Project Manager,19,83.4
RESP-032154,PRJ-02837,Revenue Officer,12,85.2
RESP-032155,PRJ-02832,RDO,2,91.4
RESP-032156,PRJ-01692,Landowner,19,82.2
RESP-032157,PRJ-01374,Project Manager,5,89.9
RESP-032158,PRJ-01306,Contractor,10,96.4
RESP-032159,PRJ-02317,Landowner,20,95.0
RESP-032160,PRJ-02577,Landowner,2,100.0
RESP-032161,PRJ-03888,Project Manager,15,100.0
RESP-032162,PRJ-01523,Revenue Officer,25,100.0
RESP-032163,PRJ-01655,RDO,22,100.0
RESP-032164,PRJ-04584,Revenue Officer,23,85.0
RESP-032165,PRJ-01562,Landowner,23,77.0
RESP-032166,PRJ-00865,Contractor,8,85.9
RESP-032167,PRJ-02645,Landowner,6,77.1
RESP-032168,PRJ-02782,Project Manager,18,77.3
RESP-032169,PRJ-02876,Landowner,18,96.7
RESP-032170,PRJ-04638,Project Manager,2,100.0
RESP-032171,PRJ-02469,Landowner,7,87.2
RESP-032172,PRJ-01262,Contractor,16,100.0
RESP-032173,PRJ-00728,Project Manager,11,97.6
RESP-032174,PRJ-02276,RDO,16,70.0
RESP-032175,PRJ-03987,RDO,13,83.3
RESP-032176,PRJ-00884,Project Manager,13,74.5
RESP-032177,PRJ-04342,RDO,10,80.1
RESP-032178,PRJ-01890,Contractor,4,100.0
RESP-032179,PRJ-00641,Revenue Officer,16,100.0
RESP-032180,PRJ-01403,Landowner,7,100.0
RESP-032181,PRJ-00883,RDO,8,97.4
RESP-032182,PRJ-04344,RDO,5,88.7
RESP-032183,PRJ-04045,Contractor,6,64.6
RESP-032184,PRJ-02403,Revenue Officer,7,90.7
RESP-032185,PRJ-04379,Project Manager,17,73.3
RESP-032186,PRJ-00910,Landowner,10,94.2
RESP-032187,PRJ-03679,Revenue Officer,25,73.0
RESP-032188,PRJ-03791,Contractor,5,89.3
RESP-032189,PRJ-03386,Revenue Officer,4,60.1
RESP-032190,PRJ-00244,RDO,24,89.9
RESP-032191,PRJ-01125,Project Manager,7,93.8
RESP-032192,PRJ-04841,Contractor,14,90.3
RESP-032193,PRJ-03101,Revenue Officer,8,100.0
RESP-032194,PRJ-03257,Project Manager,8,84.7
RESP-032195,PRJ-02469,Revenue Officer,2,85.6
RESP-032196,PRJ-04557,Landowner,15,47.7
RESP-032197,PRJ-03042,Project Manager,3,100.0
RESP-032198,PRJ-01578,RDO,6,78.6
RESP-032199,PRJ-03906,RDO,8,96.4
RESP-032200,PRJ-01667,Revenue Officer,6,87.4
RESP-032201,PRJ-00386,RDO,6,83.1
RESP-032202,PRJ-03935,Contractor,9,92.7
RESP-032203,PRJ-00597,Contractor,8,77.6
RESP-032204,PRJ-00595,Contractor,8,100.0
RESP-032205,PRJ-03019,Landowner,8,82.5
RESP-032206,PRJ-02924,Contractor,3,96.8
RESP-032207,PRJ-00453,Project Manager,11,72.7
RESP-032208,PRJ-02784,Revenue Officer,10,86.8
RESP-032209,PRJ-00108,Revenue Officer,7,91.0
RESP-032210,PRJ-02387,Project Manager,21,93.6
RESP-032211,PRJ-00049,Revenue Officer,4,82.1
RESP-032212,PRJ-03104,Project Manager,18,95.5
RESP-032213,PRJ-04381,Revenue Officer,7,100.0
RESP-032214,PRJ-04868,RDO,25,89.2
RESP-032215,PRJ-02654,Landowner,6,83.3
RESP-032216,PRJ-00713,Project Manager,6,77.7
RESP-032217,PRJ-02643,Landowner,27,86.2
RESP-032218,PRJ-02135,Contractor,29,80.1
RESP-032219,PRJ-01043,Revenue Officer,25,89.4
RESP-032220,PRJ-03834,Contractor,23,94.4
RESP-032221,PRJ-00605,Project Manager,7,85.5
RESP-032222,PRJ-04529,Revenue Officer,8,85.4
RESP-032223,PRJ-00976,Revenue Officer,13,91.5
RESP-032224,PRJ-00034,Project Manager,16,70.7
RESP-032225,PRJ-03584,Landowner,14,95.6
RESP-032226,PRJ-03568,Project Manager,8,86.3
RESP-032227,PRJ-03340,Project Manager,3,69.5
RESP-032228,PRJ-00915,Landowner,16,91.6
RESP-032229,PRJ-00238,Revenue Officer,5,58.9
RESP-032230,PRJ-03031,Revenue Officer,4,97.3
RESP-032231,PRJ-03441,Revenue Officer,7,66.5
RESP-032232,PRJ-02886,RDO,13,90.6
RESP-032233,PRJ-00560,Landowner,4,87.8
RESP-032234,PRJ-04978,Contractor,5,84.1
RESP-032235,PRJ-03749,Revenue Officer,7,75.8
RESP-032236,PRJ-03740,Contractor,8,100.0
RESP-032237,PRJ-04786,Landowner,9,100.0
RESP-032238,PRJ-04563,Project Manager,8,100.0
RESP-032239,PRJ-01469,Landowner,16,96.7
RESP-032240,PRJ-00252,Project Manager,10,90.9
RESP-032241,PRJ-03245,Contractor,5,91.3
RESP-032242,PRJ-02454,Contractor,14,91.5
RESP-032243,PRJ-01749,Revenue Officer,8,89.4
RESP-032244,PRJ-02813,Project Manager,11,88.0
RESP-032245,PRJ-02740,Revenue Officer,10,63.1
RESP-032246,PRJ-00084,RDO,17,89.5
RESP-032247,PRJ-03420,Contractor,17,97.1
RESP-032248,PRJ-01719,Contractor,10,89.3
RESP-032249,PRJ-04154,Revenue Officer,3,88.3
RESP-032250,PRJ-00109,Landowner,17,78.4
RESP-032251,PRJ-00557,Revenue Officer,25,100.0
RESP-032252,PRJ-04896,Landowner,9,82.8
RESP-032253,PRJ-04217,Contractor,13,80.8
RESP-032254,PRJ-03539,Project Manager,6,100.0
RESP-032255,PRJ-04647,Contractor,10,53.2
RESP-032256,PRJ-04564,RDO,8,89.9
RESP-032257,PRJ-02921,Contractor,16,100.0
RESP-032258,PRJ-04928,Revenue Officer,2,72.6
RESP-032259,PRJ-02027,Revenue Officer,9,91.6
RESP-032260,PRJ-00507,Project Manager,9,66.2
RESP-032261,PRJ-00651,Revenue Officer,16,100.0
RESP-032262,PRJ-01909,Landowner,9,68.4
RESP-032263,PRJ-01695,Revenue Officer,27,87.9
RESP-032264,PRJ-03779,Contractor,9,83.9
RESP-032265,PRJ-03694,RDO,28,85.3
RESP-032266,PRJ-03695,Landowner,4,92.2
RESP-032267,PRJ-03268,RDO,21,100.0
RESP-032268,PRJ-04197,Project Manager,5,93.6
RESP-032269,PRJ-02135,RDO,16,84.7
RESP-032270,PRJ-03239,Revenue Officer,21,87.5
RESP-032271,PRJ-03827,Project Manager,6,81.6
RESP-032272,PRJ-03383,RDO,23,88.6
RESP-032273,PRJ-01578,Revenue Officer,10,88.8
RESP-032274,PRJ-04752,Revenue Officer,16,88.2
RESP-032275,PRJ-04027,Contractor,30,100.0
RESP-032276,PRJ-04256,Revenue Officer,19,80.8
RESP-032277,PRJ-03076,Landowner,31,93.7
RESP-032278,PRJ-03145,Revenue Officer,14,87.4
RESP-032279,PRJ-02298,Revenue Officer,10,79.7
RESP-032280,PRJ-03207,Project Manager,13,99.9
RESP-032281,PRJ-02263,Contractor,12,93.2
RESP-032282,PRJ-04338,RDO,21,82.8
RESP-032283,PRJ-01251,Project Manager,7,86.9
RESP-032284,PRJ-04916,Revenue Officer,9,100.0
RESP-032285,PRJ-02038,RDO,4,96.8
RESP-032286,PRJ-00513,Contractor,11,62.8
RESP-032287,PRJ-02761,RDO,11,99.0
RESP-032288,PRJ-01299,Contractor,9,85.6
RESP-032289,PRJ-01262,Contractor,19,86.9
RESP-032290,PRJ-04725,Contractor,4,93.8
RESP-032291,PRJ-00351,Landowner,4,93.4
RESP-032292,PRJ-02388,Project Manager,16,50.7
RESP-032293,PRJ-02898,Revenue Officer,8,92.2
RESP-032294,PRJ-00754,Contractor,10,88.6
RESP-032295,PRJ-00316,RDO,3,100.0
RESP-032296,PRJ-03227,Landowner,2,99.0
RESP-032297,PRJ-02101,RDO,5,84.0
RESP-032298,PRJ-03789,Landowner,6,90.2
RESP-032299,PRJ-00448,Landowner,9,100.0
RESP-032300,PRJ-03088,Contractor,26,88.4
RESP-032301,PRJ-01559,Project Manager,8,69.0
RESP-032302,PRJ-04603,RDO,13,84.6
RESP-032303,PRJ-02508,Landowner,11,79.6
RESP-032304,PRJ-00394,Landowner,15,97.6
RESP-032305,PRJ-02911,Contractor,13,58.3
RESP-032306,PRJ-04559,Project Manager,15,72.4
RESP-032307,PRJ-03051,RDO,26,89.0
RESP-032308,PRJ-04007,Landowner,7,100.0
RESP-032309,PRJ-02273,Landowner,3,90.7
RESP-032310,PRJ-04932,Contractor,7,87.5
RESP-032311,PRJ-04410,Contractor,11,100.0
RESP-032312,PRJ-01368,Project Manager,10,100.0
RESP-032313,PRJ-03392,RDO,15,84.4
RESP-032314,PRJ-03442,Revenue Officer,12,86.2
RESP-032315,PRJ-01021,RDO,16,100.0
RESP-032316,PRJ-02906,Contractor,4,100.0
RESP-032317,PRJ-03892,Landowner,31,86.8
RESP-032318,PRJ-00732,RDO,12,95.5
RESP-032319,PRJ-04914,Project Manager,5,66.1
RESP-032320,PRJ-00913,Revenue Officer,12,92.9
RESP-032321,PRJ-01907,RDO,30,89.0
RESP-032322,PRJ-04046,RDO,52,74.2
RESP-032323,PRJ-00203,Landowner,3,75.5
RESP-032324,PRJ-00679,Landowner,10,72.2
RESP-032325,PRJ-00118,Landowner,15,61.6
RESP-032326,PRJ-02902,Project Manager,14,80.3
RESP-032327,PRJ-02630,Contractor,33,93.0
RESP-032328,PRJ-03553,Project Manager,12,90.7
RESP-032329,PRJ-02107,Revenue Officer,7,100.0
RESP-032330,PRJ-00070,Project Manager,5,88.1
RESP-032331,PRJ-03798,Revenue Officer,5,81.1
RESP-032332,PRJ-04524,Project Manager,10,89.4
RESP-032333,PRJ-02282,Contractor,17,52.1
RESP-032334,PRJ-00023,Contractor,7,100.0
RESP-032335,PRJ-04434,Landowner,7,87.4
RESP-032336,PRJ-02347,RDO,10,81.8
RESP-032337,PRJ-03521,Project Manager,19,91.6
RESP-032338,PRJ-00097,Landowner,17,86.5
RESP-032339,PRJ-00893,Landowner,7,71.8
RESP-032340,PRJ-02830,Landowner,32,75.6
RESP-032341,PRJ-02590,Project Manager,41,84.7
RESP-032342,PRJ-00425,RDO,4,100.0
RESP-032343,PRJ-00813,Landowner,4,98.3
RESP-032344,PRJ-04936,Landowner,7,95.5
RESP-032345,PRJ-00126,RDO,3,100.0
RESP-032346,PRJ-00999,Contractor,5,76.1
RESP-032347,PRJ-00237,RDO,2,92.7
RESP-032348,PRJ-00369,Project Manager,17,73.8
RESP-032349,PRJ-04799,RDO,16,85.4
RESP-032350,PRJ-03070,RDO,16,90.6
RESP-032351,PRJ-04977,Revenue Officer,35,71.9
RESP-032352,PRJ-03203,Project Manager,29,84.5
RESP-032353,PRJ-03275,RDO,7,91.7
RESP-032354,PRJ-04139,Revenue Officer,10,86.6
RESP-032355,PRJ-01489,Contractor,31,89.7
RESP-032356,PRJ-02588,Contractor,21,100.0
RESP-032357,PRJ-00709,Revenue Officer,7,86.8
RESP-032358,PRJ-00457,Project Manager,9,69.5
RESP-032359,PRJ-01872,Project Manager,7,95.3
RESP-032360,PRJ-02215,Landowner,11,82.6
RESP-032361,PRJ-00210,Contractor,6,97.2
RESP-032362,PRJ-02333,Revenue Officer,4,91.4
RESP-032363,PRJ-04958,Landowner,10,93.7
RESP-032364,PRJ-00907,RDO,15,99.3
RESP-032365,PRJ-03303,Landowner,6,97.6
RESP-032366,PRJ-02228,Project Manager,17,93.9
RESP-032367,PRJ-01835,Project Manager,8,55.8
RESP-032368,PRJ-04271,Project Manager,3,100.0
RESP-032369,PRJ-02963,Project Manager,15,93.4
RESP-032370,PRJ-02456,RDO,18,77.3
RESP-032371,PRJ-01309,Contractor,10,63.9
RESP-032372,PRJ-04014,Contractor,9,99.9
RESP-032373,PRJ-00982,Project Manager,7,100.0
RESP-032374,PRJ-00087,Revenue Officer,13,100.0
RESP-032375,PRJ-01136,Revenue Officer,4,95.4
RESP-032376,PRJ-01136,Project Manager,7,85.7
RESP-032377,PRJ-03715,Project Manager,6,69.3
RESP-032378,PRJ-01390,Revenue Officer,15,87.7
RESP-032379,PRJ-01148,RDO,14,57.9
RESP-032380,PRJ-01021,Revenue Officer,6,81.5
RESP-032381,PRJ-01521,Revenue Officer,4,76.0
RESP-032382,PRJ-04878,RDO,24,93.8
RESP-032383,PRJ-03482,RDO,8,94.9
RESP-032384,PRJ-00863,Contractor,9,66.1
RESP-032385,PRJ-04315,Project Manager,7,89.2
RESP-032386,PRJ-03669,Revenue Officer,19,76.8
RESP-032387,PRJ-02390,Revenue Officer,5,72.7
RESP-032388,PRJ-03701,Project Manager,9,59.2
RESP-032389,PRJ-01810,RDO,5,67.9
RESP-032390,PRJ-00109,Project Manager,7,91.8
RESP-032391,PRJ-00790,Revenue Officer,13,92.1
RESP-032392,PRJ-00952,Landowner,14,100.0
