project_id,project_type,land_required,affected_parcels,affected_families,legal_disputes,compensation_pending,approval_pending,documentation_pending,rehabilitation_pending,notification_pending,award_pending,possession_pending,stakeholder_responsiveness,environmental_risk,weather_risk,risk_score,delay_probability,delay_risk_label,delay_days
PRJ-03930,Rail,1.27,7,8,1,1,1,1,0,0,0,0,60.9,13.81,83.65,72.9,0.7595,HIGH,197
PRJ-02675,Urban Development,4.1,8,5,0,1,0,0,0,0,0,1,88.5,37.81,63.85,30.3,0.2891,MEDIUM,0
PRJ-04384,Road,0.65,11,4,0,0,0,0,0,0,1,0,75.1,48.99,76.67,14.7,0.1419,LOW,0
PRJ-02349,Renewable Energy,3.19,6,5,0,0,0,1,0,0,0,0,96.0,81.32,37.39,16.7,0.1978,LOW,0
PRJ-03843,Renewable Energy,1.35,10,5,0,0,0,0,0,0,0,0,77.6,86.19,7.74,18.3,0.0998,LOW,0
PRJ-04309,Industrial Corridor,1.0,6,3,0,0,0,0,0,0,0,0,97.2,71.47,15.24,7.8,0.0998,LOW,0
PRJ-02181,Road,3.63,5,4,0,0,0,0,0,0,0,0,92.0,21.38,89.37,11.6,0.0998,LOW,0
PRJ-01075,Renewable Energy,0.28,5,4,1,0,0,0,0,0,0,1,97.2,45.59,90.51,31.6,0.31,MEDIUM,72
PRJ-04131,Renewable Energy,3.78,6,4,0,0,0,0,0,0,0,0,100.0,91.36,21.86,11.0,0.0998,LOW,0
PRJ-02193,Renewable Energy,8.57,8,4,0,1,0,0,0,0,0,0,80.4,73.61,9.94,18.2,0.1978,LOW,109
PRJ-00560,Road,4.07,4,8,0,0,0,1,0,0,0,0,99.0,88.0,32.0,23.7,0.2405,LOW,0
PRJ-00851,Road,1.14,5,5,0,0,0,0,0,1,0,0,100.0,35.89,50.92,13.5,0.1545,LOW,0
PRJ-03954,Road,1.89,9,7,1,0,0,0,0,0,0,0,85.7,47.42,19.6,21.4,0.2592,LOW,48
PRJ-04212,Road,1.67,7,8,0,1,0,0,0,0,0,0,68.0,70.54,94.77,24.7,0.2405,LOW,0
PRJ-04001,Road,1.85,7,5,0,1,1,0,0,0,1,0,88.6,43.25,40.67,34.2,0.4013,MEDIUM,0
PRJ-03156,Road,1.08,2,5,0,0,0,0,0,0,1,1,100.0,82.07,3.06,23.6,0.2142,LOW,0
PRJ-03408,Renewable Energy,1.07,6,2,0,0,0,0,0,0,0,0,100.0,27.22,27.97,9.2,0.0998,LOW,0
PRJ-03843,Road,0.78,3,6,0,0,0,0,0,0,0,0,87.7,36.87,97.56,6.6,0.0998,LOW,0
PRJ-02226,Irrigation,4.09,6,6,0,0,0,0,0,0,0,0,97.9,41.33,72.2,8.9,0.0998,LOW,0
PRJ-04832,Irrigation,0.35,4,5,0,0,0,0,1,0,0,0,99.8,3.4,51.48,11.1,0.1545,LOW,0
PRJ-02758,Irrigation,1.94,8,5,0,0,0,1,0,1,0,0,77.9,54.86,32.85,28.7,0.2891,MEDIUM,0
PRJ-00698,Rail,1.2,9,3,0,1,0,0,0,0,0,0,98.7,21.2,76.48,20.7,0.1978,LOW,95
PRJ-04534,Urban Development,0.64,8,4,0,0,1,0,0,0,0,0,87.9,20.35,23.98,18.5,0.168,LOW,45
PRJ-04770,Irrigation,0.99,3,7,0,0,0,0,0,0,0,0,86.4,18.83,59.93,14.3,0.1246,LOW,0
PRJ-03360,Renewable Energy,2.58,8,6,0,1,0,0,0,0,0,1,87.9,61.86,21.39,28.3,0.2891,MEDIUM,0
PRJ-02699,Urban Development,0.81,5,5,1,0,0,0,0,0,0,0,100.0,4.42,43.7,20.4,0.2142,LOW,89
PRJ-02779,Road,1.1,7,7,0,0,0,0,0,0,0,0,100.0,57.06,6.88,17.3,0.1246,LOW,0
PRJ-04580,Road,2.2,7,10,0,0,0,0,0,0,0,0,100.0,80.12,30.37,9.7,0.1246,LOW,0
PRJ-03547,Urban Development,4.42,5,6,0,0,0,0,0,1,0,0,100.0,81.12,5.28,9.4,0.1545,LOW,0
PRJ-01654,Rail,4.24,8,6,0,0,0,0,0,1,0,0,88.6,54.17,92.2,16.2,0.1545,LOW,0
PRJ-00947,Irrigation,3.45,3,6,0,0,0,0,0,1,0,0,79.2,89.63,43.7,10.8,0.1545,LOW,0
PRJ-03490,Road,1.05,4,5,0,0,0,0,0,0,0,0,100.0,50.82,46.29,14.7,0.0998,LOW,0
PRJ-02851,Road,0.29,3,7,0,0,0,0,0,0,0,0,92.5,66.56,8.37,12.4,0.1246,LOW,0
PRJ-02922,Renewable Energy,1.04,8,5,0,0,0,0,1,0,1,0,80.5,76.62,53.83,18.6,0.2142,LOW,0
PRJ-04318,Irrigation,0.71,6,3,0,0,0,1,0,1,0,0,73.7,36.45,69.68,28.0,0.2891,MEDIUM,0
PRJ-03182,Road,0.81,6,4,0,0,0,0,0,0,0,0,98.0,54.99,44.74,8.7,0.0998,LOW,0
PRJ-03273,Urban Development,1.99,3,6,0,0,0,1,0,0,0,1,72.0,89.23,53.01,34.1,0.2891,MEDIUM,0
PRJ-00148,Road,1.5,3,7,0,0,0,0,1,0,0,0,99.1,56.41,71.1,15.9,0.19,LOW,54
PRJ-04886,Irrigation,0.61,7,2,1,0,0,0,0,1,0,0,85.7,66.54,42.11,30.4,0.31,MEDIUM,0
PRJ-00562,Road,2.43,4,6,0,0,0,0,0,0,0,0,87.7,29.11,77.62,12.0,0.0998,LOW,0
PRJ-02111,Urban Development,2.8,5,6,0,0,0,0,0,0,0,0,87.1,22.8,14.22,8.4,0.0998,LOW,0
PRJ-04384,Road,3.12,5,7,0,0,0,0,0,0,0,1,97.9,9.75,65.23,23.4,0.19,LOW,157
PRJ-04251,Industrial Corridor,0.34,7,6,0,1,1,0,0,0,0,0,87.8,31.12,79.23,34.2,0.31,MEDIUM,0
PRJ-03435,Renewable Energy,2.76,11,5,0,0,0,0,0,1,0,0,81.2,85.88,7.87,23.0,0.1545,LOW,0
PRJ-02698,Irrigation,1.45,5,4,1,0,1,0,0,0,0,0,77.3,57.72,97.09,34.0,0.3318,MEDIUM,0
PRJ-00105,Road,0.2,6,4,0,0,0,0,0,0,0,0,88.5,22.65,62.08,6.4,0.0998,LOW,0
PRJ-02533,Urban Development,1.79,7,7,0,0,0,0,0,1,0,0,100.0,23.45,5.68,15.8,0.19,LOW,0
PRJ-00708,Renewable Energy,1.24,3,5,0,0,0,0,0,0,0,0,100.0,82.36,54.42,5.6,0.0998,LOW,0
PRJ-02386,Irrigation,9.55,7,6,1,0,0,0,0,0,0,1,93.1,29.92,78.99,39.4,0.3659,MEDIUM,0
PRJ-01662,Urban Development,1.62,4,4,0,0,0,0,0,1,0,0,82.0,37.52,6.68,12.8,0.1545,LOW,0
PRJ-04876,Road,0.74,5,3,0,0,0,0,0,0,0,0,95.7,26.14,60.61,7.9,0.0998,LOW,53
PRJ-01356,Urban Development,1.05,8,8,0,0,0,0,1,0,0,0,82.3,34.36,84.87,17.7,0.19,LOW,36
PRJ-01032,Irrigation,1.0,6,4,0,0,0,1,0,0,0,0,80.3,71.82,28.81,16.2,0.1978,LOW,0
PRJ-00652,Industrial Corridor,1.82,5,3,0,0,0,0,0,0,1,0,100.0,37.34,24.82,13.9,0.1419,LOW,0
PRJ-00582,Urban Development,2.26,8,4,0,0,0,0,0,0,0,0,72.8,31.31,2.71,13.8,0.0998,LOW,0
PRJ-02519,Urban Development,2.81,6,3,0,0,0,0,0,0,0,0,79.9,58.6,41.09,14.4,0.0998,LOW,41
PRJ-04865,Renewable Energy,2.91,5,11,0,0,1,0,0,0,0,0,84.6,83.01,33.53,20.9,0.2059,LOW,0
PRJ-02103,Road,2.2,7,3,0,0,0,0,0,0,0,0,99.3,37.19,36.91,5.3,0.0998,LOW,0
PRJ-01751,Urban Development,2.3,6,3,0,0,0,0,0,1,0,0,93.0,51.64,32.27,17.6,0.1545,LOW,0
PRJ-03941,Road,2.81,8,4,0,0,0,0,0,0,0,0,88.0,23.19,96.1,7.7,0.0998,LOW,0
PRJ-00920,Urban Development,0.81,7,4,0,0,0,0,0,0,1,0,100.0,42.23,23.57,13.3,0.1419,LOW,0
PRJ-03854,Road,0.98,6,4,0,0,1,0,0,0,0,0,100.0,54.65,11.63,14.5,0.168,LOW,48
PRJ-03958,Industrial Corridor,4.24,7,3,0,0,0,0,0,0,0,0,100.0,34.17,3.39,5.0,0.0998,LOW,49
PRJ-04744,Renewable Energy,2.99,11,5,0,0,0,0,0,0,0,0,88.2,34.8,6.37,13.6,0.0998,LOW,0
PRJ-00848,Urban Development,1.67,10,9,1,0,1,1,0,0,0,0,74.2,72.07,94.4,64.8,0.5866,HIGH,135
PRJ-02977,Renewable Energy,0.83,7,11,0,0,0,0,1,0,0,0,87.3,58.89,93.71,19.0,0.19,LOW,0
PRJ-04595,Road,1.58,4,2,0,0,1,0,1,1,0,0,84.1,32.19,3.09,30.0,0.3543,MEDIUM,0
PRJ-00235,Industrial Corridor,2.47,7,4,0,0,0,0,0,0,0,0,100.0,37.68,63.03,9.9,0.0998,LOW,151
PRJ-03316,Road,1.61,4,10,0,0,0,0,0,1,0,0,100.0,55.1,76.8,16.9,0.19,LOW,0
PRJ-02962,Industrial Corridor,0.99,4,2,0,0,0,0,1,0,1,0,100.0,94.61,56.27,14.8,0.2142,LOW,0
PRJ-01452,Renewable Energy,0.41,5,3,0,0,0,0,1,0,0,0,83.4,93.27,49.72,10.6,0.1545,LOW,232
PRJ-00265,Industrial Corridor,1.83,7,6,0,1,0,0,0,0,1,0,78.8,45.47,28.09,22.8,0.2689,LOW,0
PRJ-02731,Industrial Corridor,1.43,10,6,0,0,0,0,0,0,1,0,96.2,16.4,9.95,10.4,0.1419,LOW,0
PRJ-02676,Renewable Energy,0.89,4,8,0,0,0,0,0,0,0,0,100.0,36.65,99.07,17.2,0.1246,LOW,0
PRJ-04489,Rail,4.21,7,4,0,0,0,0,0,0,1,1,100.0,37.38,34.53,23.3,0.2142,LOW,0
PRJ-03674,Urban Development,1.78,6,1,0,0,0,0,0,0,0,0,97.8,65.01,21.03,8.7,0.0998,LOW,0
PRJ-01684,Irrigation,0.55,4,5,0,0,0,0,0,0,0,0,100.0,33.71,36.46,11.1,0.0998,LOW,0
PRJ-02658,Road,4.56,7,3,0,0,0,0,0,0,0,0,93.7,36.63,81.71,9.6,0.0998,LOW,0
PRJ-03828,Industrial Corridor,1.51,14,5,0,0,0,0,0,0,0,0,86.0,10.85,73.64,9.8,0.0998,LOW,0
PRJ-02072,Road,4.39,7,5,0,0,0,0,0,0,0,0,75.6,86.9,20.24,10.5,0.0998,LOW,0
PRJ-00843,Road,1.78,5,5,0,0,0,0,0,0,0,0,77.9,22.8,57.05,12.6,0.0998,LOW,0
PRJ-02461,Urban Development,3.44,5,8,0,0,0,0,0,0,0,0,96.2,79.02,41.61,9.9,0.1246,LOW,0
PRJ-03047,Industrial Corridor,0.64,6,6,1,0,0,0,0,0,0,1,75.2,52.38,89.64,29.8,0.31,MEDIUM,0
PRJ-04530,Road,0.41,4,2,0,0,0,0,0,0,0,0,79.4,61.18,35.71,13.9,0.0998,LOW,195
PRJ-03008,Urban Development,0.39,5,3,0,0,0,0,0,0,0,0,98.4,58.76,64.23,7.3,0.0998,LOW,0
PRJ-01236,Road,2.28,5,2,0,0,0,0,0,0,0,0,93.3,94.93,2.81,11.5,0.0998,LOW,0
PRJ-03375,Rail,0.2,6,5,0,0,0,0,0,0,0,0,94.0,70.05,36.45,11.3,0.0998,LOW,0
PRJ-02821,Rail,0.69,6,3,0,0,0,0,0,0,0,0,78.6,36.17,27.52,9.1,0.0998,LOW,0
PRJ-04849,Urban Development,1.14,10,3,0,0,0,1,0,0,1,1,90.9,26.45,75.32,32.3,0.3775,MEDIUM,0
PRJ-00511,Road,2.17,7,7,0,0,0,0,0,0,0,0,100.0,73.86,3.83,12.5,0.1246,LOW,0
PRJ-02586,Road,1.22,6,9,0,0,0,0,0,0,0,0,91.3,3.28,63.13,14.0,0.1246,LOW,0
PRJ-04259,Road,3.25,6,3,0,0,0,0,0,0,0,0,91.5,88.41,84.79,16.6,0.0998,LOW,0
PRJ-02344,Industrial Corridor,0.9,5,3,0,0,1,1,0,1,0,0,85.6,42.14,77.63,45.3,0.4256,MEDIUM,0
PRJ-01111,Road,0.73,2,6,0,0,0,0,0,0,1,1,92.2,79.16,45.55,20.6,0.2142,LOW,0
PRJ-02668,Road,1.26,5,7,0,0,0,0,0,0,0,0,100.0,3.8,22.42,15.3,0.1246,LOW,0
PRJ-00735,Irrigation,0.74,4,8,0,0,0,0,1,0,0,0,92.2,62.26,22.92,15.3,0.19,LOW,0
PRJ-02419,Road,1.5,6,5,0,0,0,1,0,0,0,0,98.9,88.15,17.75,18.9,0.1978,LOW,53
PRJ-04693,Rail,1.92,6,4,0,0,0,1,0,0,0,0,83.5,47.01,49.26,14.7,0.1978,LOW,0
PRJ-04587,Road,1.07,6,6,0,1,0,0,0,0,0,0,88.5,24.64,58.29,19.1,0.1978,LOW,0
PRJ-04585,Road,2.14,5,2,0,1,0,0,0,0,0,0,100.0,12.9,87.37,15.9,0.1978,LOW,0
PRJ-04251,Industrial Corridor,2.18,1,5,0,0,0,0,0,0,0,0,100.0,4.16,97.25,6.6,0.0998,LOW,0
PRJ-03462,Road,4.82,7,8,0,0,0,0,0,1,0,0,90.9,55.14,62.59,20.0,0.19,LOW,0
PRJ-00167,Irrigation,1.56,8,5,0,0,0,0,0,1,0,0,84.8,91.38,31.98,17.3,0.1545,LOW,0
PRJ-00140,Renewable Energy,0.99,8,5,0,0,0,0,0,0,0,0,91.2,97.49,12.22,12.7,0.0998,LOW,0
PRJ-04720,Road,2.73,5,5,1,0,0,0,0,0,0,0,98.0,70.62,41.5,21.8,0.2142,LOW,0
PRJ-04495,Industrial Corridor,0.87,4,3,0,0,0,0,0,0,0,0,96.9,47.76,7.01,12.3,0.0998,LOW,52
PRJ-02377,Road,1.66,7,2,0,0,0,0,0,0,1,0,84.4,31.13,2.94,17.5,0.1419,LOW,0
PRJ-04693,Renewable Energy,3.42,5,5,0,0,0,0,0,0,0,0,100.0,46.28,58.27,7.0,0.0998,LOW,0
PRJ-00008,Renewable Energy,0.88,8,10,0,0,0,0,0,0,0,1,96.8,93.02,22.24,18.7,0.19,LOW,0
PRJ-00852,Renewable Energy,1.28,5,7,0,0,0,0,1,0,0,0,84.7,86.36,23.68,21.8,0.19,LOW,0
PRJ-03796,Renewable Energy,0.92,6,6,0,0,0,0,0,0,0,0,100.0,61.69,25.29,7.1,0.0998,LOW,0
PRJ-00575,Renewable Energy,1.29,8,7,0,0,0,0,1,0,0,0,97.0,5.6,81.49,22.3,0.19,LOW,0
PRJ-01373,Rail,1.8,7,5,1,0,0,1,0,1,0,0,77.2,8.13,69.02,46.3,0.5,MEDIUM,112
PRJ-04021,Industrial Corridor,1.39,6,3,0,0,0,0,0,0,0,0,100.0,93.78,29.43,11.1,0.0998,LOW,0
PRJ-03817,Industrial Corridor,1.24,4,5,0,0,0,0,0,0,0,0,79.5,60.15,96.24,7.3,0.0998,LOW,0
PRJ-03316,Urban Development,2.94,11,6,0,0,0,0,0,1,0,0,95.9,2.37,53.17,19.1,0.1545,LOW,0
PRJ-00599,Industrial Corridor,2.01,5,6,0,0,0,1,0,0,0,0,100.0,34.04,43.39,15.4,0.1978,LOW,0
PRJ-03246,Road,0.92,4,6,0,0,0,0,0,0,0,0,100.0,77.59,71.16,8.8,0.0998,LOW,0
PRJ-02383,Urban Development,1.21,10,4,0,0,0,0,0,0,0,0,94.8,80.58,71.32,13.2,0.0998,LOW,0
PRJ-02975,Industrial Corridor,1.8,6,4,0,0,0,0,0,0,0,1,76.4,68.72,66.45,15.2,0.1545,LOW,0
PRJ-01594,Rail,1.96,9,5,0,1,0,0,0,0,1,0,73.8,60.25,67.07,23.1,0.2689,LOW,0
PRJ-01712,Renewable Energy,0.46,5,3,0,0,0,0,0,0,1,0,100.0,14.47,78.89,10.6,0.1419,LOW,0
PRJ-00711,Urban Development,1.71,6,6,0,0,1,0,0,0,0,0,69.4,54.18,67.35,13.5,0.168,LOW,0
PRJ-04468,Renewable Energy,0.58,3,2,0,0,0,1,0,0,0,0,82.2,49.64,29.24,23.1,0.1978,LOW,0
PRJ-02693,Road,4.65,7,6,0,0,0,1,0,0,0,1,81.5,71.01,98.08,31.5,0.2891,MEDIUM,104
PRJ-00476,Urban Development,0.33,4,4,0,0,0,1,1,0,0,0,85.5,90.35,47.69,32.4,0.2891,MEDIUM,0
PRJ-01060,Irrigation,1.15,5,7,0,0,0,0,0,0,0,0,100.0,57.98,85.31,12.5,0.1246,LOW,0
PRJ-02204,Industrial Corridor,2.17,9,6,0,0,0,0,0,0,0,1,93.1,86.76,67.1,11.2,0.1545,LOW,0
PRJ-00205,Road,1.18,4,6,0,1,0,0,0,0,0,1,84.5,81.96,94.14,31.0,0.2891,MEDIUM,0
PRJ-00736,Road,0.7,6,8,0,0,0,0,1,0,0,0,86.7,62.92,54.83,23.9,0.19,LOW,0
PRJ-01088,Urban Development,1.29,8,6,0,1,0,0,0,0,0,1,80.0,7.17,81.64,24.1,0.2891,LOW,0
PRJ-02184,Renewable Energy,1.18,5,4,0,0,1,0,0,0,0,0,98.2,17.96,56.33,20.1,0.168,LOW,0
PRJ-03761,Road,1.76,3,3,0,0,0,1,0,0,0,0,100.0,88.36,61.04,23.4,0.1978,LOW,0
PRJ-03587,Road,1.48,8,7,0,0,0,0,0,0,0,1,89.1,77.99,0.74,16.9,0.19,LOW,0
PRJ-02560,Renewable Energy,0.88,3,2,0,0,1,0,0,0,0,0,100.0,18.13,74.8,12.5,0.168,LOW,96
PRJ-01248,Road,2.36,6,5,0,0,0,0,0,1,0,0,95.2,25.51,38.44,14.1,0.1545,LOW,0
PRJ-00279,Renewable Energy,1.63,4,5,0,0,1,0,0,0,0,0,95.8,58.01,60.04,15.3,0.168,LOW,0
PRJ-04338,Irrigation,1.08,1,5,0,0,0,1,0,1,1,1,62.3,53.3,23.51,51.2,0.5,HIGH,0
PRJ-01216,Urban Development,0.69,2,2,0,0,0,0,0,0,0,0,99.4,79.57,61.95,11.5,0.0998,LOW,0
PRJ-01239,Road,1.57,7,4,0,0,0,0,0,0,0,0,100.0,75.05,64.32,9.3,0.0998,LOW,0
PRJ-00296,Urban Development,0.41,8,3,0,0,0,0,0,1,0,0,87.5,47.52,50.16,17.4,0.1545,LOW,0
PRJ-04323,Renewable Energy,2.01,4,3,1,0,0,0,0,0,0,0,100.0,12.82,19.09,19.4,0.2142,LOW,0
PRJ-01767,Road,3.2,3,5,0,1,0,1,0,0,0,0,55.4,17.32,17.14,40.4,0.3543,MEDIUM,0
PRJ-03623,Irrigation,0.58,9,2,0,1,0,0,0,0,0,0,97.1,51.46,1.13,19.9,0.1978,LOW,0
PRJ-04590,Irrigation,1.61,6,3,0,0,0,0,0,0,0,1,85.1,17.09,16.41,23.0,0.1545,LOW,0
PRJ-02576,Renewable Energy,2.48,6,5,0,0,0,0,0,0,1,0,100.0,63.06,11.95,12.9,0.1419,LOW,181
PRJ-03854,Industrial Corridor,0.25,17,3,0,0,0,0,0,0,0,0,92.5,94.12,58.17,8.5,0.0998,LOW,0
PRJ-00258,Urban Development,2.03,4,6,0,0,0,0,0,0,0,0,96.5,12.95,76.17,6.2,0.0998,LOW,0
PRJ-01435,Road,11.3,7,4,0,0,0,0,0,0,0,0,92.1,8.55,26.86,11.2,0.1246,LOW,0
PRJ-00924,Industrial Corridor,2.86,5,7,0,0,0,0,0,0,0,0,100.0,31.64,58.37,13.9,0.1246,LOW,0
PRJ-01918,Urban Development,1.81,5,3,0,0,1,0,0,0,0,0,100.0,29.33,94.6,14.9,0.168,LOW,0
PRJ-02771,Industrial Corridor,0.79,5,6,0,0,0,1,0,1,1,0,85.4,68.56,8.74,39.6,0.3775,MEDIUM,0
PRJ-03776,Urban Development,0.49,3,7,0,0,0,0,0,0,0,0,90.7,58.63,38.09,8.3,0.1246,LOW,0
PRJ-00915,Road,1.83,6,3,0,0,0,0,0,0,0,0,79.8,43.03,1.25,15.6,0.0998,LOW,0
PRJ-01417,Irrigation,3.16,5,1,0,1,1,0,1,0,1,0,70.2,49.4,2.29,52.6,0.525,HIGH,0
PRJ-03486,Road,0.24,6,1,0,0,0,0,0,0,0,1,75.0,30.41,30.39,17.1,0.1545,LOW,0
PRJ-00085,Industrial Corridor,2.85,7,3,0,0,0,0,0,1,0,0,100.0,60.7,57.78,11.1,0.1545,LOW,0
PRJ-02872,Urban Development,0.82,4,5,1,0,0,0,0,1,0,0,91.1,3.44,91.37,38.3,0.31,MEDIUM,149
PRJ-03426,Irrigation,0.33,7,5,0,0,0,1,0,0,0,0,100.0,64.54,39.86,19.1,0.1978,LOW,0
PRJ-02437,Road,0.62,6,5,0,1,0,0,0,0,0,0,100.0,14.03,92.01,16.2,0.1978,LOW,0
PRJ-03120,Urban Development,1.9,1,2,0,0,0,0,0,0,0,0,87.6,95.28,78.39,10.1,0.0998,LOW,0
PRJ-03453,Road,5.95,9,6,1,0,0,1,0,0,0,0,77.3,93.07,25.66,40.7,0.3775,MEDIUM,105
PRJ-01245,Road,1.43,5,4,0,0,0,0,0,1,1,0,100.0,28.71,31.66,17.7,0.2142,LOW,91
PRJ-01232,Renewable Energy,0.44,6,3,0,0,0,0,0,0,0,0,93.7,15.18,4.38,5.1,0.0998,LOW,0
PRJ-04417,Industrial Corridor,1.56,6,7,0,0,0,0,0,0,0,0,81.8,64.73,72.46,9.1,0.1246,LOW,0
PRJ-04807,Rail,2.52,8,5,0,0,0,0,0,0,0,0,88.4,6.2,0.05,9.9,0.0998,LOW,0
PRJ-01981,Road,2.53,8,7,0,0,0,0,1,0,0,0,84.8,41.32,80.23,24.4,0.19,LOW,78
PRJ-03228,Rail,3.08,7,5,0,0,0,0,0,0,1,0,100.0,97.47,20.99,12.2,0.1419,LOW,47
PRJ-00141,Road,0.81,3,8,0,0,0,0,0,0,0,0,100.0,6.44,63.78,10.1,0.1246,LOW,0
PRJ-00642,Industrial Corridor,0.67,5,5,0,0,0,0,0,0,0,0,100.0,80.86,41.46,13.8,0.0998,LOW,0
PRJ-01023,Road,1.49,8,6,0,0,0,0,0,0,0,0,83.9,13.91,0.29,13.7,0.0998,LOW,0
PRJ-00904,Renewable Energy,0.28,6,3,0,0,0,0,0,0,0,0,91.7,62.01,83.33,9.9,0.0998,LOW,0
PRJ-03113,Industrial Corridor,0.4,7,3,0,0,0,0,0,0,0,0,97.2,76.41,18.19,9.0,0.0998,LOW,0
PRJ-02160,Rail,1.58,6,6,0,1,0,0,0,1,0,0,84.7,30.46,52.57,31.7,0.2891,MEDIUM,232
PRJ-00947,Road,0.52,7,5,0,0,0,0,0,1,0,0,82.5,47.86,86.53,14.2,0.1545,LOW,0
PRJ-04283,Urban Development,0.92,10,9,0,1,0,0,1,0,0,0,70.6,65.78,44.4,34.6,0.343,MEDIUM,0
PRJ-00818,Urban Development,1.29,8,7,0,0,0,0,1,0,0,0,80.8,14.72,51.87,21.6,0.19,LOW,0
PRJ-00259,Road,1.53,9,7,0,0,0,0,1,0,0,0,100.0,89.96,83.83,13.7,0.19,LOW,0
PRJ-02150,Industrial Corridor,2.16,8,4,0,1,1,0,0,1,0,1,74.7,99.26,74.32,55.7,0.5498,HIGH,202
PRJ-01739,Industrial Corridor,1.04,8,3,0,0,0,0,0,0,0,0,91.7,59.57,54.06,7.8,0.0998,LOW,0
PRJ-04993,Road,1.5,2,5,0,1,0,0,0,1,0,1,69.2,9.55,40.9,40.1,0.4013,MEDIUM,64
PRJ-04678,Irrigation,5.1,3,4,0,1,0,0,0,0,0,1,93.4,27.71,79.47,30.7,0.2891,MEDIUM,135
PRJ-03928,Industrial Corridor,1.46,5,3,0,0,0,0,0,0,0,0,100.0,11.88,79.56,6.2,0.0998,LOW,0
PRJ-01809,Irrigation,5.3,7,6,0,0,0,0,0,0,0,0,95.7,75.25,47.0,4.5,0.0998,LOW,0
PRJ-00483,Road,2.33,10,6,0,1,1,0,0,0,0,0,91.7,53.72,84.06,26.3,0.31,MEDIUM,60
PRJ-04385,Industrial Corridor,2.05,4,3,0,0,0,0,0,0,0,1,96.6,12.24,32.75,18.2,0.1545,LOW,0
PRJ-02366,Road,1.85,5,4,1,1,0,0,0,0,1,0,67.0,76.94,87.22,47.0,0.475,MEDIUM,0
PRJ-03123,Road,2.37,5,2,0,0,0,0,0,0,0,0,100.0,71.72,40.74,5.3,0.0998,LOW,0
PRJ-02931,Urban Development,1.0,5,5,0,0,0,0,0,0,0,0,80.0,42.82,1.86,8.1,0.0998,LOW,0
PRJ-00555,Industrial Corridor,1.07,7,2,0,0,0,0,0,0,0,0,81.9,92.38,22.0,9.0,0.0998,LOW,0
PRJ-03768,Industrial Corridor,0.91,4,5,0,0,0,0,0,0,0,0,100.0,55.41,36.04,17.2,0.0998,LOW,220
PRJ-02728,Industrial Corridor,6.11,10,4,0,0,0,0,0,0,0,0,100.0,98.44,1.92,8.7,0.0998,LOW,0
PRJ-01492,Road,3.58,5,5,0,0,0,0,0,0,0,0,99.0,47.74,16.73,11.9,0.0998,LOW,0
PRJ-01145,Road,2.59,10,3,0,0,0,0,0,0,0,0,79.4,94.05,92.27,14.6,0.0998,LOW,0
PRJ-00986,Renewable Energy,2.54,5,6,1,0,0,0,0,0,0,0,89.4,65.83,2.28,25.1,0.2142,MEDIUM,0
PRJ-02518,Urban Development,3.87,5,7,0,0,0,0,1,0,0,0,92.3,79.11,38.05,17.2,0.19,LOW,0
PRJ-04921,Road,0.62,7,7,0,0,1,0,0,0,0,0,64.1,52.27,26.44,21.9,0.2059,LOW,0
PRJ-00183,Road,4.04,9,3,0,0,0,0,0,0,0,0,94.0,85.74,96.27,6.6,0.0998,LOW,0
PRJ-02107,Industrial Corridor,0.84,4,4,0,0,1,0,0,0,0,0,96.0,39.95,53.09,18.8,0.168,LOW,0
PRJ-00389,Urban Development,4.56,8,4,1,0,0,0,0,0,0,0,78.9,51.41,95.28,22.6,0.2142,LOW,0
PRJ-01920,Road,5.25,2,2,0,0,0,0,0,1,0,0,100.0,68.37,57.96,19.7,0.19,LOW,0
PRJ-04970,Road,1.04,5,5,0,0,0,0,0,0,0,0,79.9,14.21,4.05,9.7,0.0998,LOW,0
PRJ-04606,Industrial Corridor,1.66,4,7,0,0,0,0,0,0,0,0,86.4,10.1,87.64,5.2,0.1246,LOW,0
PRJ-00865,Urban Development,1.08,8,9,0,0,0,0,0,0,0,0,80.9,12.65,39.17,10.9,0.1246,LOW,0
PRJ-04573,Irrigation,1.47,3,6,0,1,0,0,0,0,0,0,90.2,59.89,7.11,20.4,0.1978,LOW,152
PRJ-00921,Road,2.43,9,6,0,1,0,0,1,0,0,1,82.0,27.52,42.05,39.7,0.4013,MEDIUM,156
PRJ-00314,Urban Development,3.13,8,3,0,0,0,0,0,0,0,0,100.0,6.8,85.02,2.8,0.0998,LOW,0
PRJ-00829,Urban Development,1.19,7,4,0,0,0,0,0,1,0,0,86.6,78.31,74.52,18.0,0.1545,LOW,0
PRJ-03516,Renewable Energy,3.5,7,7,0,0,0,0,0,1,0,0,88.5,63.77,88.46,17.1,0.19,LOW,0
PRJ-04878,Industrial Corridor,0.63,3,3,0,0,0,0,0,0,0,0,93.1,91.7,0.3,12.7,0.0998,LOW,0
PRJ-04687,Irrigation,2.09,7,4,0,0,0,1,0,0,0,0,76.2,12.92,49.75,20.7,0.1978,LOW,122
PRJ-00502,Road,0.41,5,6,0,0,0,0,0,1,0,0,93.4,54.16,36.68,14.2,0.1545,LOW,28
PRJ-03365,Irrigation,1.16,6,6,0,0,1,0,0,0,0,0,84.4,22.43,94.23,14.3,0.168,LOW,42
